frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
24413,21:40.000,2,1801.0,419.0,1971.0,677.0,693.0,615.0,847.0,839.0,,,,,,,,
24414,26:22.257,2,1816.0,419.0,1990.0,675.0,707.0,617.0,859.0,837.0,,,,,,,,
24415,26:22.290,2,1833.0,418.0,2011.0,676.0,725.0,618.0,876.0,838.0,,,,,,,,
24416,26:22.323,2,1858.0,416.0,2037.0,677.0,747.0,623.0,898.0,839.0,,,,,,,,
24417,26:22.357,2,1884.0,415.0,2067.0,679.0,772.0,628.0,919.0,842.0,,,,,,,,
24418,26:22.390,2,1917.0,417.0,2101.0,683.0,798.0,628.0,947.0,848.0,,,,,,,,
24419,26:22.423,2,1945.0,421.0,2137.0,688.0,823.0,637.0,970.0,855.0,,,,,,,,
24420,26:22.457,2,1976.0,429.0,2169.0,694.0,846.0,644.0,993.0,864.0,,,,,,,,
24421,26:22.490,2,2002.0,433.0,2203.0,701.0,871.0,653.0,1015.0,871.0,,,,,,,,
24422,26:22.523,2,893.0,658.0,1039.0,877.0,2035.0,441.0,2241.0,709.0,,,,,,,,
24423,26:22.557,2,2070.0,446.0,2277.0,720.0,920.0,667.0,1065.0,886.0,,,,,,,,
24424,26:22.590,2,2107.0,457.0,2324.0,729.0,948.0,678.0,1091.0,895.0,,,,,,,,
24425,26:22.623,2,2143.0,466.0,2357.0,742.0,972.0,692.0,1114.0,907.0,,,,,,,,
24426,26:22.657,2,2180.0,473.0,2386.0,750.0,998.0,704.0,1142.0,917.0,,,,,,,,
24427,26:22.690,2,2220.0,484.0,2419.0,756.0,1027.0,715.0,1170.0,928.0,,,,,,,,
24428,26:22.723,2,1054.0,725.0,1195.0,934.0,2263.0,496.0,2448.0,763.0,,,,,,,,
24429,26:22.757,1,1081.0,729.0,1221.0,940.0,,,,,,,,,,,,
24430,26:22.790,1,1107.0,739.0,1248.0,949.0,,,,,,,,,,,,
24431,26:22.823,1,1134.0,748.0,1275.0,958.0,,,,,,,,,,,,
24432,26:22.857,1,1161.0,757.0,1299.0,966.0,,,,,,,,,,,,
24433,26:22.890,1,1188.0,768.0,1326.0,978.0,,,,,,,,,,,,
24434,26:22.923,1,1214.0,778.0,1352.0,985.0,,,,,,,,,,,,
24435,26:22.957,2,1234.0,783.0,1372.0,992.0,-85.0,762.0,106.0,1030.0,,,,,,,,
24436,26:22.990,2,-63.0,762.0,132.0,1029.0,1252.0,787.0,1390.0,996.0,,,,,,,,
24437,26:23.023,2,-33.0,763.0,152.0,1026.0,1261.0,788.0,1404.0,1002.0,,,,,,,,
24438,26:23.057,2,-22.0,758.0,165.0,1025.0,1268.0,789.0,1413.0,1002.0,,,,,,,,
