frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
17179,15:45.000,1,957.0,637.0,1192.0,964.0
17180,18:50.833,1,956.0,640.0,1192.0,964.0
17181,18:50.867,1,956.0,640.0,1193.0,964.0
17182,18:50.900,1,956.0,639.0,1192.0,962.0
17183,18:50.933,1,957.0,637.0,1192.0,960.0
17184,18:50.967,1,958.0,634.0,1193.0,958.0
17185,18:51.000,1,959.0,633.0,1193.0,965.0
17186,18:51.033,1,960.0,636.0,1194.0,965.0
17187,18:51.067,1,960.0,633.0,1195.0,962.0
17188,18:51.100,1,961.0,635.0,1195.0,958.0
17189,18:51.133,1,963.0,633.0,1196.0,959.0
17190,18:51.167,1,964.0,633.0,1197.0,962.0
17191,18:51.200,1,964.0,634.0,1197.0,964.0
17192,18:51.233,1,964.0,634.0,1197.0,963.0
17193,18:51.267,1,964.0,633.0,1197.0,963.0
17194,18:51.300,1,962.0,633.0,1197.0,962.0
17195,18:51.333,1,961.0,631.0,1195.0,963.0
17196,18:51.367,1,960.0,632.0,1193.0,963.0
17197,18:51.400,1,959.0,633.0,1193.0,963.0
17198,18:51.433,1,957.0,634.0,1192.0,964.0
17199,18:51.467,1,956.0,634.0,1190.0,964.0
17200,18:51.500,1,955.0,635.0,1188.0,964.0
17201,18:51.533,1,955.0,637.0,1187.0,965.0
17202,18:51.567,1,954.0,635.0,1187.0,963.0
17203,18:51.600,1,954.0,634.0,1187.0,962.0
17204,18:51.633,1,954.0,634.0,1187.0,962.0
17205,18:51.667,1,955.0,633.0,1187.0,960.0
17206,18:51.700,1,956.0,634.0,1188.0,959.0
17207,18:51.733,1,957.0,633.0,1190.0,956.0
17208,18:51.767,1,958.0,633.0,1190.0,956.0
17209,18:51.800,1,959.0,634.0,1190.0,956.0
17210,18:51.833,1,958.0,633.0,1188.0,958.0
17211,18:51.867,1,956.0,632.0,1186.0,959.0
17212,18:51.900,1,954.0,631.0,1185.0,959.0
17213,18:51.933,1,953.0,631.0,1185.0,958.0
17214,18:51.967,1,953.0,629.0,1185.0,956.0
17215,18:52.000,1,953.0,629.0,1185.0,956.0
17216,18:52.017,1,955.0,629.0,1186.0,954.0
17217,18:52.033,1,955.0,628.0,1186.0,954.0
17218,18:52.050,1,956.0,628.0,1187.0,954.0
17219,18:52.067,1,956.0,628.0,1187.0,954.0
17220,18:52.083,1,956.0,627.0,1187.0,954.0
17221,18:52.100,1,956.0,627.0,1187.0,954.0
17222,18:52.117,1,956.0,627.0,1187.0,954.0
17223,18:52.133,1,956.0,627.0,1187.0,954.0
17224,18:52.150,1,956.0,627.0,1187.0,955.0
17225,18:52.167,1,956.0,627.0,1187.0,955.0
17226,18:52.183,1,956.0,627.0,1187.0,957.0
17227,18:52.200,1,956.0,628.0,1187.0,957.0
17228,18:52.217,1,957.0,630.0,1188.0,958.0
17229,18:52.233,1,957.0,630.0,1188.0,958.0
17230,18:52.250,1,957.0,630.0,1188.0,958.0
17231,18:52.267,1,957.0,630.0,1188.0,958.0
17232,18:52.283,1,957.0,630.0,1188.0,959.0
17233,18:52.300,1,957.0,630.0,1188.0,959.0
17234,18:52.317,1,957.0,631.0,1188.0,963.0
17235,18:52.333,1,957.0,631.0,1188.0,963.0
17236,18:52.350,1,958.0,630.0,1188.0,966.0
17237,18:52.367,1,958.0,630.0,1188.0,966.0
17238,18:52.383,1,960.0,628.0,1191.0,965.0
17239,18:52.400,1,960.0,628.0,1191.0,965.0
17240,18:52.417,1,963.0,627.0,1195.0,962.0
17241,18:52.433,1,963.0,627.0,1195.0,962.0
17242,18:52.450,1,964.0,625.0,1197.0,955.0
17243,18:52.467,1,964.0,625.0,1197.0,955.0
17244,18:52.483,1,967.0,621.0,1199.0,946.0
17245,18:52.500,1,967.0,621.0,1199.0,946.0
17246,18:52.517,1,968.0,616.0,1200.0,942.0
17247,18:52.533,1,968.0,616.0,1200.0,942.0
17248,18:52.550,1,967.0,613.0,1201.0,941.0
17249,18:52.567,1,967.0,613.0,1201.0,941.0
17250,18:52.583,1,968.0,613.0,1201.0,941.0
17251,18:52.600,1,968.0,613.0,1201.0,941.0
17252,18:52.617,1,966.0,613.0,1201.0,941.0
17253,18:52.633,1,966.0,613.0,1201.0,941.0
17254,18:52.650,1,966.0,613.0,1200.0,940.0
17255,18:52.667,1,966.0,613.0,1200.0,940.0
17256,18:52.683,1,965.0,614.0,1198.0,941.0
17257,18:52.700,1,965.0,614.0,1198.0,941.0
17258,18:52.717,1,965.0,615.0,1198.0,942.0
17259,18:52.733,1,965.0,615.0,1198.0,942.0
17260,18:52.750,1,965.0,617.0,1198.0,943.0
17261,18:52.767,1,965.0,617.0,1198.0,943.0
17262,18:52.783,1,966.0,619.0,1198.0,945.0
17263,18:52.800,1,966.0,619.0,1198.0,945.0
17264,18:52.817,1,967.0,622.0,1199.0,949.0
17265,18:52.833,1,967.0,622.0,1199.0,949.0
17266,18:52.850,1,968.0,626.0,1199.0,951.0
17267,18:52.867,1,968.0,626.0,1199.0,951.0
17268,18:52.883,1,966.0,627.0,1198.0,953.0
17269,18:52.900,1,966.0,627.0,1198.0,953.0
17270,18:52.917,1,964.0,628.0,1195.0,954.0
17271,18:52.933,1,964.0,628.0,1195.0,954.0
17272,18:52.950,1,962.0,627.0,1194.0,955.0
17273,18:52.967,1,962.0,627.0,1194.0,955.0
17274,18:52.983,1,961.0,628.0,1194.0,956.0
17275,18:53.000,1,961.0,628.0,1194.0,956.0
17276,18:53.017,1,962.0,629.0,1195.0,956.0
17277,18:53.033,1,962.0,629.0,1195.0,956.0
17278,18:53.050,1,963.0,631.0,1196.0,956.0
17279,18:53.067,1,963.0,631.0,1196.0,956.0
17280,18:53.083,1,963.0,630.0,1196.0,956.0
17281,18:53.100,1,963.0,630.0,1196.0,956.0
17282,18:53.117,1,963.0,630.0,1196.0,955.0
17283,18:53.133,1,963.0,630.0,1195.0,955.0
17284,18:53.150,1,963.0,629.0,1195.0,955.0
17285,18:53.167,1,963.0,629.0,1195.0,955.0
17286,18:53.183,1,963.0,628.0,1196.0,954.0
17287,18:53.200,1,963.0,628.0,1196.0,954.0
17288,18:53.217,1,963.0,628.0,1195.0,953.0
17289,18:53.233,1,963.0,628.0,1195.0,953.0
17290,18:53.250,1,963.0,628.0,1196.0,954.0
17291,18:53.267,1,963.0,628.0,1196.0,954.0
17292,18:53.283,1,963.0,628.0,1196.0,953.0
17293,18:53.300,1,963.0,627.0,1196.0,953.0
17294,18:53.317,1,963.0,628.0,1196.0,954.0
17295,18:53.333,1,963.0,628.0,1196.0,954.0
17296,18:53.350,1,963.0,630.0,1196.0,959.0
17297,18:53.367,1,963.0,630.0,1196.0,959.0
17298,18:53.383,1,963.0,634.0,1194.0,963.0
17299,18:53.400,1,963.0,634.0,1194.0,963.0
17300,18:53.417,1,963.0,637.0,1193.0,964.0
17301,18:53.433,1,963.0,637.0,1193.0,964.0
17302,18:53.450,1,962.0,639.0,1193.0,964.0
17303,18:53.467,1,962.0,639.0,1193.0,964.0
17304,18:53.483,1,961.0,642.0,1192.0,965.0
17305,18:53.500,1,961.0,642.0,1192.0,965.0
17306,18:53.517,1,959.0,644.0,1191.0,965.0
17307,18:53.533,1,959.0,643.0,1191.0,965.0
17308,18:53.550,1,958.0,645.0,1190.0,968.0
17309,18:53.567,1,958.0,645.0,1190.0,968.0
17310,18:53.583,1,957.0,651.0,1187.0,971.0
17311,18:53.600,1,957.0,650.0,1187.0,971.0
17312,18:53.617,1,956.0,653.0,1186.0,975.0
17313,18:53.633,1,956.0,653.0,1186.0,975.0
17314,18:53.650,1,956.0,653.0,1186.0,977.0
17315,18:53.667,1,956.0,653.0,1186.0,977.0
17316,18:53.683,1,955.0,653.0,1186.0,977.0
17317,18:53.700,1,955.0,653.0,1186.0,977.0
17318,18:53.717,1,953.0,651.0,1186.0,974.0
17319,18:53.733,1,954.0,651.0,1186.0,974.0
17320,18:53.750,1,952.0,652.0,1185.0,971.0
17321,18:53.767,1,952.0,652.0,1185.0,971.0
17322,18:53.783,1,952.0,654.0,1185.0,971.0
17323,18:53.800,1,952.0,654.0,1185.0,971.0
17324,18:53.817,1,952.0,654.0,1185.0,971.0
17325,18:53.833,1,952.0,654.0,1185.0,971.0
17326,18:53.850,1,953.0,656.0,1185.0,973.0
17327,18:53.867,1,953.0,657.0,1185.0,973.0
17328,18:53.883,1,954.0,657.0,1185.0,972.0
17329,18:53.900,1,954.0,657.0,1185.0,972.0
17330,18:53.917,1,954.0,659.0,1185.0,972.0
17331,18:53.933,1,954.0,660.0,1185.0,972.0
17332,18:53.950,1,953.0,657.0,1185.0,973.0
17333,18:53.967,1,953.0,657.0,1185.0,973.0
17334,18:53.983,1,952.0,656.0,1185.0,972.0
17335,18:54.000,1,952.0,656.0,1185.0,972.0
17336,18:54.017,1,952.0,654.0,1184.0,970.0
17337,18:54.033,1,952.0,654.0,1184.0,970.0
17338,18:54.050,1,952.0,653.0,1184.0,969.0
17339,18:54.067,1,952.0,653.0,1184.0,969.0
17340,18:54.083,1,953.0,648.0,1184.0,968.0
17341,18:54.100,1,953.0,648.0,1184.0,968.0
17342,18:54.117,1,955.0,642.0,1186.0,968.0
17343,18:54.133,1,955.0,642.0,1186.0,968.0
17344,18:54.150,1,956.0,637.0,1187.0,963.0
17345,18:54.167,1,956.0,637.0,1187.0,963.0
17346,18:54.183,1,956.0,632.0,1186.0,960.0
17347,18:54.200,1,956.0,632.0,1186.0,960.0
17348,18:54.217,1,955.0,630.0,1187.0,955.0
17349,18:54.233,1,955.0,630.0,1187.0,955.0
17350,18:54.250,1,955.0,628.0,1187.0,952.0
17351,18:54.267,1,955.0,627.0,1187.0,952.0
17352,18:54.283,1,956.0,626.0,1188.0,951.0
17353,18:54.300,1,956.0,626.0,1188.0,951.0
17354,18:54.317,1,956.0,625.0,1188.0,950.0
17355,18:54.333,1,956.0,625.0,1188.0,950.0
17356,18:54.350,1,956.0,626.0,1188.0,951.0
17357,18:54.367,1,956.0,626.0,1188.0,951.0
17358,18:54.383,1,957.0,626.0,1189.0,951.0
17359,18:54.400,1,957.0,626.0,1189.0,951.0
17360,18:54.417,1,957.0,627.0,1189.0,953.0
17361,18:54.433,1,957.0,627.0,1189.0,953.0
17362,18:54.450,1,957.0,628.0,1189.0,955.0
17363,18:54.467,1,957.0,628.0,1189.0,955.0
17364,18:54.483,1,956.0,629.0,1189.0,956.0
17365,18:54.500,1,957.0,629.0,1189.0,956.0
17366,18:54.517,1,957.0,629.0,1189.0,956.0
17367,18:54.533,1,957.0,629.0,1189.0,955.0
17368,18:54.552,1,956.0,628.0,1189.0,958.0
17369,18:54.568,1,956.0,628.0,1189.0,958.0
17370,18:54.585,1,957.0,628.0,1190.0,961.0
17371,18:54.602,1,957.0,628.0,1190.0,961.0
17372,18:54.618,1,958.0,629.0,1190.0,963.0
17373,18:54.635,1,957.0,629.0,1190.0,963.0
17374,18:54.652,1,958.0,628.0,1192.0,965.0
17375,18:54.668,1,958.0,628.0,1192.0,965.0
17376,18:54.685,1,959.0,627.0,1193.0,965.0
17377,18:54.702,1,959.0,627.0,1193.0,965.0
17378,18:54.718,1,959.0,627.0,1194.0,964.0
17379,18:54.735,1,959.0,626.0,1194.0,964.0
17380,18:54.752,1,959.0,626.0,1194.0,960.0
17381,18:54.768,1,959.0,626.0,1194.0,960.0
17382,18:54.785,1,959.0,627.0,1194.0,957.0
17383,18:54.802,1,959.0,627.0,1194.0,957.0
17384,18:54.818,1,959.0,627.0,1194.0,955.0
17385,18:54.835,1,959.0,627.0,1194.0,955.0
17386,18:54.852,1,958.0,626.0,1194.0,954.0
17387,18:54.868,1,959.0,626.0,1194.0,954.0
17388,18:54.885,1,958.0,627.0,1193.0,954.0
17389,18:54.902,1,958.0,626.0,1193.0,954.0
17390,18:54.918,1,958.0,627.0,1193.0,955.0
17391,18:54.935,1,958.0,627.0,1193.0,955.0
17392,18:54.952,1,958.0,629.0,1192.0,958.0
17393,18:54.968,1,958.0,629.0,1192.0,958.0
17394,18:54.985,1,958.0,632.0,1190.0,963.0
17395,18:55.002,1,958.0,632.0,1190.0,963.0
17396,18:55.018,1,957.0,634.0,1188.0,964.0
17397,18:55.035,1,957.0,634.0,1188.0,964.0
