frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
25105,22:55.000,3,1067,803,1234,1019,1532.0,750.0,1697.0,959.0,541.0,717.0,713.0,933.0
25106,27:40.803,3,1067,804,1234,1019,1533.0,750.0,1699.0,959.0,542.0,718.0,714.0,935.0
25107,27:40.837,3,1068,804,1235,1019,1533.0,750.0,1699.0,959.0,542.0,717.0,714.0,935.0
25108,27:40.870,3,1067,802,1235,1017,1533.0,749.0,1699.0,958.0,542.0,716.0,714.0,934.0
25109,27:40.903,3,1067,801,1235,1017,1533.0,749.0,1699.0,957.0,542.0,713.0,713.0,933.0
25110,27:40.937,3,1066,799,1235,1015,1533.0,748.0,1698.0,956.0,542.0,713.0,713.0,933.0
25111,27:40.970,3,1065,798,1234,1015,1532.0,747.0,1697.0,955.0,541.0,711.0,712.0,932.0
25112,27:41.003,3,1065,799,1233,1015,1531.0,748.0,1696.0,956.0,540.0,710.0,712.0,931.0
25113,27:41.037,3,1064,800,1232,1015,1530.0,748.0,1695.0,957.0,540.0,710.0,712.0,931.0
25114,27:41.072,3,1064,801,1232,1017,1530.0,750.0,1695.0,958.0,541.0,711.0,713.0,932.0
25115,27:41.105,3,1066,803,1233,1018,1531.0,750.0,1697.0,958.0,542.0,713.0,715.0,932.0
25116,27:41.138,3,1066,804,1234,1018,1532.0,751.0,1699.0,959.0,544.0,714.0,718.0,933.0
25117,27:41.172,3,1067,805,1235,1018,1533.0,752.0,1700.0,960.0,546.0,715.0,721.0,932.0
25118,27:41.205,3,1068,805,1235,1018,1533.0,751.0,1700.0,960.0,547.0,714.0,722.0,932.0
25119,27:41.238,3,1068,807,1235,1019,1533.0,752.0,1700.0,962.0,547.0,714.0,722.0,932.0
25120,27:41.272,3,1067,809,1235,1021,1532.0,753.0,1699.0,962.0,548.0,714.0,722.0,933.0
25121,27:41.305,3,1067,809,1234,1021,1532.0,754.0,1698.0,962.0,548.0,715.0,722.0,934.0
25122,27:41.338,3,1066,810,1234,1022,1531.0,753.0,1698.0,963.0,548.0,715.0,722.0,936.0
25123,27:41.372,3,1067,809,1234,1022,1532.0,752.0,1698.0,963.0,548.0,716.0,722.0,937.0
25124,27:41.405,3,1067,811,1235,1022,1532.0,752.0,1698.0,963.0,549.0,717.0,723.0,938.0
