frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
10817,09:48.333,1,1054.0,539.0,1148.0,666.0,,,,
10818,11:49.418,1,1054.0,539.0,1148.0,666.0,,,,
10819,11:49.452,1,1054.0,539.0,1148.0,666.0,,,,
10820,11:49.485,1,1054.0,539.0,1148.0,666.0,,,,
10821,11:49.518,1,1054.0,539.0,1147.0,665.0,,,,
10822,11:49.552,1,1054.0,540.0,1147.0,665.0,,,,
10823,11:49.585,1,1053.0,539.0,1146.0,665.0,,,,
10824,11:49.618,1,1052.0,540.0,1146.0,665.0,,,,
10825,11:49.652,1,1051.0,540.0,1145.0,665.0,,,,
10826,11:49.685,1,1050.0,539.0,1144.0,665.0,,,,
10827,11:49.718,1,1050.0,537.0,1144.0,665.0,,,,
10828,11:49.752,1,1049.0,538.0,1142.0,665.0,,,,
10829,11:49.785,1,1049.0,537.0,1141.0,665.0,,,,
10830,11:49.818,1,1048.0,538.0,1141.0,666.0,,,,
10831,11:49.852,1,1048.0,537.0,1141.0,666.0,,,,
10832,11:49.885,1,1047.0,539.0,1140.0,666.0,,,,
10833,11:49.918,1,1047.0,538.0,1140.0,666.0,,,,
10834,11:49.952,1,1047.0,539.0,1140.0,666.0,,,,
10835,11:49.985,1,1048.0,542.0,1141.0,667.0,,,,
10836,11:50.018,1,1048.0,543.0,1141.0,667.0,,,,
10837,11:50.052,1,1048.0,543.0,1141.0,667.0,,,,
10838,11:50.085,1,1048.0,543.0,1141.0,667.0,,,,
10839,11:50.118,1,1047.0,543.0,1142.0,668.0,,,,
10840,11:50.152,1,1047.0,543.0,1142.0,668.0,,,,
10841,11:50.185,1,1048.0,544.0,1142.0,668.0,,,,
10842,11:50.218,1,1048.0,543.0,1142.0,667.0,,,,
10843,11:50.252,1,1048.0,543.0,1143.0,668.0,,,,
10844,11:50.285,1,1049.0,543.0,1143.0,668.0,,,,
10845,11:50.318,1,1050.0,543.0,1144.0,667.0,,,,
10846,11:50.352,1,1050.0,544.0,1144.0,667.0,,,,
10847,11:50.385,1,1050.0,543.0,1144.0,667.0,,,,
10848,11:50.418,1,1049.0,541.0,1143.0,667.0,,,,
10849,11:50.452,1,1049.0,538.0,1143.0,666.0,,,,
10850,11:50.485,1,1049.0,538.0,1142.0,665.0,,,,
10851,11:50.518,1,1048.0,537.0,1141.0,665.0,,,,
10852,11:50.552,1,1047.0,537.0,1141.0,664.0,,,,
10853,11:50.585,1,1047.0,536.0,1140.0,663.0,,,,
10854,11:50.618,1,1046.0,535.0,1140.0,663.0,,,,
10855,11:50.652,1,1047.0,536.0,1139.0,662.0,,,,
10856,11:50.685,1,1047.0,537.0,1139.0,662.0,,,,
10857,11:50.718,1,1047.0,537.0,1139.0,662.0,,,,
10858,11:50.752,1,1047.0,538.0,1139.0,661.0,,,,
10859,11:50.785,1,1047.0,537.0,1140.0,661.0,,,,
10860,11:50.818,1,1047.0,537.0,1140.0,661.0,,,,
10861,11:50.852,1,1047.0,536.0,1140.0,661.0,,,,
10862,11:50.885,1,1044.0,534.0,1137.0,662.0,,,,
10863,11:50.918,1,1041.0,538.0,1134.0,662.0,,,,
10864,11:50.952,1,1038.0,539.0,1130.0,661.0,,,,
10865,11:50.985,1,1032.0,536.0,1125.0,662.0,,,,
10866,11:51.018,1,1026.0,537.0,1120.0,661.0,,,,
10867,11:51.052,1,1020.0,536.0,1114.0,658.0,,,,
10868,11:51.085,1,1014.0,534.0,1107.0,658.0,,,,
10869,11:51.118,1,1008.0,533.0,1102.0,657.0,,,,
10870,11:51.152,1,1001.0,531.0,1096.0,659.0,,,,
10871,11:51.185,1,995.0,532.0,1091.0,661.0,,,,
10872,11:51.218,1,990.0,535.0,1085.0,661.0,,,,
10873,11:51.252,1,985.0,536.0,1080.0,662.0,,,,
10874,11:51.285,1,981.0,539.0,1077.0,665.0,,,,
10875,11:51.318,1,979.0,539.0,1073.0,665.0,,,,
10876,11:51.352,1,977.0,542.0,1071.0,665.0,,,,
10877,11:51.385,1,975.0,542.0,1070.0,667.0,,,,
10878,11:51.418,1,973.0,543.0,1067.0,668.0,,,,
10879,11:51.452,1,967.0,545.0,1063.0,669.0,,,,
10880,11:51.487,1,962.0,545.0,1057.0,668.0,,,,
10881,11:51.520,1,958.0,543.0,1053.0,668.0,,,,
10882,11:51.553,1,951.0,541.0,1047.0,667.0,,,,
10883,11:51.587,1,947.0,541.0,1041.0,666.0,,,,
10884,11:51.620,1,942.0,541.0,1036.0,665.0,,,,
10885,11:51.653,1,938.0,537.0,1033.0,664.0,,,,
10886,11:51.687,1,935.0,535.0,1030.0,662.0,,,,
10887,11:51.720,1,932.0,534.0,1028.0,661.0,,,,
10888,11:51.753,1,932.0,534.0,1028.0,661.0,,,,
10889,11:51.787,1,933.0,534.0,1028.0,659.0,,,,
10890,11:51.820,1,935.0,532.0,1030.0,658.0,,,,
10891,11:51.853,1,937.0,533.0,1032.0,658.0,,,,
10892,11:51.887,1,940.0,534.0,1033.0,659.0,,,,
10893,11:51.920,1,942.0,532.0,1035.0,660.0,,,,
10894,11:51.953,1,944.0,535.0,1036.0,661.0,,,,
10895,11:51.987,1,946.0,534.0,1039.0,662.0,,,,
10896,11:52.020,1,948.0,538.0,1040.0,663.0,,,,
10897,11:52.053,1,949.0,540.0,1043.0,664.0,,,,
10898,11:52.087,1,952.0,540.0,1044.0,664.0,,,,
10899,11:52.120,1,954.0,540.0,1046.0,664.0,,,,
10900,11:52.153,1,955.0,541.0,1048.0,664.0,,,,
10901,11:52.187,1,957.0,543.0,1050.0,664.0,,,,
10902,11:52.220,1,958.0,542.0,1052.0,663.0,,,,
10903,11:52.253,1,958.0,540.0,1053.0,663.0,,,,
