frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
25434,22:08.333,3,610.0,585.0,784.0,827.0,1180.0,704.0,1341.0,933.0,1630.0,691.0,1797.0,895.0
25435,27:22.115,3,611.0,583.0,786.0,826.0,1182.0,702.0,1343.0,931.0,1631.0,685.0,1799.0,893.0
25436,27:22.148,3,613.0,582.0,788.0,825.0,1633.0,684.0,1802.0,893.0,1185.0,701.0,1345.0,929.0
25437,27:22.182,3,613.0,581.0,789.0,824.0,1635.0,683.0,1804.0,892.0,1186.0,699.0,1346.0,928.0
25438,27:22.215,3,615.0,581.0,790.0,824.0,1637.0,682.0,1804.0,890.0,1188.0,699.0,1347.0,926.0
25439,27:22.248,3,615.0,582.0,790.0,825.0,1188.0,698.0,1347.0,928.0,1638.0,682.0,1805.0,890.0
25440,27:22.282,3,614.0,581.0,790.0,822.0,1188.0,695.0,1347.0,926.0,1638.0,678.0,1805.0,885.0
25441,27:22.315,3,614.0,582.0,790.0,823.0,1188.0,694.0,1347.0,925.0,1638.0,674.0,1806.0,883.0
25442,27:22.348,3,619.0,611.0,793.0,853.0,1190.0,722.0,1350.0,952.0,1640.0,702.0,1808.0,908.0
25443,27:22.382,3,1646.0,775.0,1814.0,987.0,1195.0,799.0,1355.0,1033.0,627.0,696.0,799.0,937.0
25444,27:22.415,3,1204.0,882.0,1367.0,1122.0,638.0,790.0,809.0,1026.0,1660.0,852.0,1830.0,1071.0
25445,27:22.448,3,1675.0,892.0,1844.0,1102.0,653.0,825.0,825.0,1064.0,1220.0,915.0,1383.0,1158.0
25446,27:22.482,3,1233.0,892.0,1395.0,1131.0,670.0,799.0,841.0,1038.0,1688.0,865.0,1862.0,1077.0
25447,27:22.515,3,1698.0,805.0,1870.0,1020.0,684.0,734.0,852.0,971.0,1244.0,832.0,1405.0,1066.0
25448,27:22.548,3,692.0,650.0,859.0,889.0,1704.0,723.0,1876.0,936.0,1250.0,748.0,1409.0,982.0
