frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
37100,32:56.667,2,1497,902,1595,1033,522.0,870.0,676.0,1068.0,,,,,,,,
37101,40:25.328,2,1497,907,1596,1039,523.0,876.0,675.0,1073.0,,,,,,,,
37102,40:25.362,2,1499,928,1596,1060,523.0,887.0,675.0,1086.0,,,,,,,,
37103,40:25.395,2,1505,949,1602,1082,528.0,900.0,682.0,1103.0,,,,,,,,
37104,40:25.428,2,1516,969,1615,1105,540.0,914.0,696.0,1118.0,,,,,,,,
37105,40:25.462,2,1532,987,1632,1121,556.0,934.0,712.0,1136.0,,,,,,,,
37106,40:25.495,2,1551,994,1651,1130,580.0,944.0,732.0,1143.0,,,,,,,,
37107,40:25.528,2,1568,994,1668,1127,599.0,945.0,750.0,1144.0,,,,,,,,
37108,40:25.562,2,1576,979,1677,1113,611.0,935.0,761.0,1129.0,,,,,,,,
37109,40:25.595,2,1579,964,1678,1096,615.0,916.0,761.0,1111.0,,,,,,,,
37110,40:25.628,2,1576,952,1676,1086,612.0,904.0,762.0,1099.0,,,,,,,,
37111,40:25.662,2,1572,942,1672,1077,609.0,893.0,758.0,1088.0,,,,,,,,
37112,40:25.695,2,1567,938,1665,1073,603.0,885.0,754.0,1082.0,,,,,,,,
37113,40:25.728,2,1562,932,1660,1066,598.0,879.0,748.0,1078.0,,,,,,,,
37114,40:25.762,2,1556,926,1655,1061,592.0,875.0,742.0,1072.0,,,,,,,,
37115,40:25.795,2,1551,922,1649,1055,585.0,872.0,736.0,1069.0,,,,,,,,
37116,40:25.828,2,1549,917,1647,1051,583.0,871.0,735.0,1068.0,,,,,,,,
37117,40:25.862,2,1550,907,1647,1039,583.0,862.0,736.0,1059.0,,,,,,,,
37118,40:25.895,2,1552,898,1648,1029,585.0,853.0,736.0,1050.0,,,,,,,,
37119,40:25.928,2,1552,887,1649,1020,587.0,842.0,737.0,1040.0,,,,,,,,
37120,40:25.962,2,1553,878,1650,1013,588.0,837.0,737.0,1029.0,,,,,,,,
37121,40:25.995,2,1551,872,1648,1004,583.0,823.0,735.0,1021.0,,,,,,,,
37122,40:26.028,2,1548,860,1645,993,580.0,813.0,733.0,1010.0,,,,,,,,
37123,40:26.062,2,1544,848,1642,985,576.0,803.0,728.0,1002.0,,,,,,,,
37124,40:26.095,2,1537,844,1634,980,569.0,801.0,720.0,999.0,,,,,,,,
37125,40:26.128,2,1532,843,1628,976,562.0,799.0,712.0,995.0,,,,,,,,
37126,40:26.162,2,1525,841,1622,974,553.0,798.0,705.0,995.0,,,,,,,,
37127,40:26.195,2,1521,841,1617,974,548.0,799.0,701.0,998.0,,,,,,,,
37128,40:26.228,2,1518,844,1614,976,544.0,805.0,698.0,1003.0,,,,,,,,
37129,40:26.262,2,1517,844,1613,976,542.0,808.0,697.0,1005.0,,,,,,,,
37130,40:26.295,2,1516,846,1613,978,543.0,812.0,696.0,1007.0,,,,,,,,
37131,40:26.328,2,1516,847,1612,985,541.0,816.0,694.0,1014.0,,,,,,,,
37132,40:26.362,2,1517,856,1614,993,543.0,825.0,695.0,1020.0,,,,,,,,
37133,40:26.395,2,1517,860,1615,997,544.0,828.0,697.0,1023.0,,,,,,,,
37134,40:26.428,2,1518,861,1615,997,545.0,827.0,699.0,1023.0,,,,,,,,
37135,40:26.462,2,1517,864,1614,998,543.0,829.0,697.0,1023.0,,,,,,,,
37136,40:26.495,2,1515,864,1611,999,541.0,829.0,693.0,1025.0,,,,,,,,
37137,40:26.528,2,1514,870,1611,1002,540.0,834.0,692.0,1029.0,,,,,,,,
37138,40:26.562,2,1514,874,1610,1009,540.0,841.0,692.0,1034.0,,,,,,,,
37139,40:26.595,2,1511,881,1606,1016,537.0,845.0,689.0,1039.0,,,,,,,,
37140,40:26.628,2,1510,883,1605,1019,535.0,848.0,688.0,1042.0,,,,,,,,
37141,40:26.662,2,1509,883,1604,1019,535.0,847.0,688.0,1042.0,,,,,,,,
37142,40:26.695,2,1508,883,1603,1019,534.0,847.0,687.0,1042.0,,,,,,,,
37143,40:26.728,2,1505,886,1601,1022,531.0,849.0,685.0,1047.0,,,,,,,,
37144,40:26.762,2,1502,884,1600,1019,527.0,847.0,680.0,1042.0,,,,,,,,
37145,40:26.797,2,1498,882,1594,1017,520.0,846.0,675.0,1042.0,,,,,,,,
37146,40:26.830,2,1492,883,1588,1019,514.0,845.0,670.0,1044.0,,,,,,,,
37147,40:26.863,2,1487,883,1584,1017,509.0,844.0,666.0,1043.0,,,,,,,,
37148,40:26.897,2,1485,881,1581,1016,505.0,845.0,663.0,1044.0,,,,,,,,
37149,40:26.930,2,1484,879,1580,1015,504.0,846.0,662.0,1044.0,,,,,,,,
37150,40:26.963,2,1484,874,1580,1009,506.0,844.0,663.0,1040.0,,,,,,,,
37151,40:26.997,2,1486,874,1582,1009,509.0,844.0,666.0,1041.0,,,,,,,,
37152,40:27.030,2,1490,874,1586,1009,515.0,845.0,670.0,1043.0,,,,,,,,
37153,40:27.063,2,1493,874,1589,1011,520.0,846.0,675.0,1044.0,,,,,,,,
37154,40:27.097,2,1496,874,1592,1009,525.0,847.0,679.0,1043.0,,,,,,,,
37155,40:27.130,2,1496,874,1593,1008,526.0,846.0,680.0,1041.0,,,,,,,,
37156,40:27.163,2,1494,872,1591,1006,525.0,844.0,679.0,1040.0,,,,,,,,
37157,40:27.197,2,1491,870,1588,1004,520.0,841.0,676.0,1038.0,,,,,,,,
37158,40:27.230,2,1487,870,1584,1003,514.0,840.0,672.0,1036.0,,,,,,,,
37159,40:27.263,2,1484,867,1578,999,510.0,833.0,666.0,1032.0,,,,,,,,
37160,40:27.297,2,1478,862,1574,995,505.0,831.0,661.0,1026.0,,,,,,,,
37161,40:27.330,2,1474,860,1570,993,500.0,830.0,657.0,1024.0,,,,,,,,
37162,40:27.363,2,1470,859,1564,991,494.0,824.0,650.0,1024.0,,,,,,,,
37163,40:27.397,2,1463,850,1559,984,486.0,825.0,645.0,1022.0,,,,,,,,
37164,40:27.430,2,1455,845,1549,979,475.0,819.0,634.0,1020.0,,,,,,,,
37165,40:27.463,2,1443,844,1538,977,462.0,815.0,623.0,1018.0,,,,,,,,
37166,40:27.497,2,1433,840,1528,973,446.0,813.0,611.0,1017.0,,,,,,,,
37167,40:27.530,2,1425,837,1519,968,437.0,810.0,601.0,1013.0,,,,,,,,
37168,40:27.563,2,1417,833,1511,965,430.0,809.0,594.0,1012.0,,,,,,,,
37169,40:27.597,2,1412,833,1506,964,423.0,807.0,584.0,1011.0,,,,,,,,
37170,40:27.630,2,1411,835,1504,967,423.0,810.0,583.0,1014.0,,,,,,,,
37171,40:27.663,2,1412,844,1506,975,424.0,820.0,584.0,1022.0,,,,,,,,
37172,40:27.697,2,1415,844,1509,977,427.0,824.0,588.0,1024.0,,,,,,,,
37173,40:27.730,2,1419,844,1513,976,432.0,827.0,595.0,1025.0,,,,,,,,
37174,40:27.763,2,1421,846,1516,979,435.0,832.0,597.0,1031.0,,,,,,,,
37175,40:27.797,2,1423,845,1517,979,436.0,832.0,598.0,1031.0,,,,,,,,
37176,40:27.830,2,1420,845,1515,978,434.0,829.0,596.0,1027.0,,,,,,,,
37177,40:27.863,2,1416,842,1512,975,430.0,826.0,590.0,1025.0,,,,,,,,
37178,40:27.897,2,1413,841,1508,974,427.0,824.0,587.0,1023.0,,,,,,,,
37179,40:27.930,2,1414,836,1508,966,427.0,818.0,587.0,1020.0,,,,,,,,
37180,40:27.963,2,1422,837,1516,967,435.0,817.0,599.0,1021.0,,,,,,,,
37181,40:27.997,2,1436,834,1530,964,455.0,814.0,615.0,1017.0,,,,,,,,
37182,40:28.030,2,1450,827,1545,960,473.0,809.0,632.0,1010.0,,,,,,,,
37183,40:28.063,2,1463,825,1560,959,490.0,811.0,646.0,1009.0,,,,,,,,
37184,40:28.097,2,1475,828,1571,961,502.0,809.0,660.0,1008.0,,,,,,,,
37185,40:28.130,2,1484,830,1579,962,513.0,806.0,670.0,1007.0,,,,,,,,
37186,40:28.163,2,1488,826,1586,960,519.0,799.0,676.0,1003.0,,,,,,,,
37187,40:28.197,2,1491,823,1588,956,523.0,796.0,678.0,996.0,,,,,,,,
37188,40:28.230,2,1492,822,1588,953,525.0,797.0,678.0,994.0,,,,,,,,
37189,40:28.263,2,1491,823,1587,955,523.0,798.0,677.0,996.0,,,,,,,,
37190,40:28.297,2,1488,822,1584,954,520.0,795.0,674.0,995.0,,,,,,,,
37191,40:28.330,2,1484,819,1580,951,515.0,792.0,670.0,993.0,,,,,,,,
37192,40:28.363,2,1480,820,1576,951,510.0,792.0,666.0,992.0,,,,,,,,
37193,40:28.397,2,1477,822,1573,953,504.0,795.0,661.0,992.0,,,,,,,,
37194,40:28.430,2,1475,822,1570,952,503.0,797.0,658.0,992.0,,,,,,,,
37195,40:28.463,2,1472,822,1566,953,498.0,798.0,655.0,993.0,,,,,,,,
37196,40:28.497,2,1465,821,1561,952,491.0,796.0,647.0,994.0,,,,,,,,
37197,40:28.530,2,1456,818,1551,949,480.0,794.0,637.0,993.0,,,,,,,,
37198,40:28.563,2,1446,817,1540,947,463.0,790.0,626.0,991.0,,,,,,,,
37199,40:28.597,2,1433,812,1528,941,448.0,784.0,610.0,986.0,,,,,,,,
37200,40:28.630,2,1419,809,1513,937,432.0,780.0,595.0,984.0,,,,,,,,
