frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
12825,11:50.000,1,1475.0,720.0,1636.0,958.0
12826,14:11.115,1,1481.0,717.0,1641.0,956.0
12827,14:11.148,1,1484.0,717.0,1644.0,956.0
12828,14:11.182,1,1485.0,719.0,1645.0,958.0
12829,14:11.215,1,1486.0,719.0,1647.0,959.0
12830,14:11.248,1,1486.0,715.0,1647.0,957.0
12831,14:11.282,1,1487.0,713.0,1647.0,955.0
12832,14:11.315,1,1488.0,713.0,1648.0,954.0
12833,14:11.348,1,1488.0,714.0,1647.0,951.0
12834,14:11.382,1,1483.0,709.0,1646.0,946.0
12835,14:11.415,1,1479.0,704.0,1642.0,936.0
12836,14:11.448,1,1477.0,700.0,1639.0,932.0
12837,14:11.482,1,1475.0,699.0,1635.0,933.0
12838,14:11.515,1,1472.0,698.0,1633.0,933.0
12839,14:11.548,1,1472.0,696.0,1633.0,933.0
12840,14:11.582,1,1478.0,694.0,1640.0,931.0
12841,14:11.615,1,1496.0,690.0,1657.0,924.0
12842,14:11.648,1,1521.0,679.0,1682.0,918.0
12843,14:11.682,1,1550.0,671.0,1713.0,910.0
12844,14:11.715,1,1577.0,658.0,1742.0,899.0
12845,14:11.748,1,1596.0,646.0,1765.0,888.0
12846,14:11.782,1,1610.0,632.0,1779.0,876.0
12847,14:11.815,1,1616.0,623.0,1784.0,869.0
12848,14:11.848,1,1609.0,612.0,1775.0,857.0
12849,14:11.882,1,1594.0,604.0,1762.0,849.0
12850,14:11.915,1,1579.0,606.0,1746.0,852.0
12851,14:11.948,1,1563.0,615.0,1729.0,858.0
12852,14:11.982,1,1552.0,623.0,1715.0,862.0
12853,14:12.015,1,1539.0,629.0,1703.0,868.0
12854,14:12.048,1,1525.0,631.0,1688.0,868.0
12855,14:12.082,1,1511.0,629.0,1673.0,865.0
12856,14:12.115,1,1494.0,613.0,1654.0,858.0
12857,14:12.148,1,1470.0,612.0,1630.0,849.0
12858,14:12.182,1,1444.0,599.0,1604.0,842.0
12859,14:12.215,1,1425.0,575.0,1583.0,810.0
12860,14:12.248,1,1423.0,524.0,1583.0,757.0
12861,14:12.282,1,1437.0,480.0,1596.0,721.0
12862,14:12.315,1,1443.0,475.0,1604.0,718.0
12863,14:12.348,1,1442.0,464.0,1604.0,706.0
12864,14:12.382,1,1429.0,442.0,1590.0,692.0
12865,14:12.415,1,1416.0,451.0,1578.0,692.0
12866,14:12.448,1,1406.0,466.0,1567.0,704.0
12867,14:12.482,1,1399.0,472.0,1559.0,709.0
12868,14:12.515,1,1391.0,467.0,1553.0,707.0
12869,14:12.548,1,1387.0,467.0,1548.0,704.0
12870,14:12.583,1,1387.0,466.0,1550.0,707.0
12871,14:12.617,1,1392.0,479.0,1552.0,714.0
12872,14:12.650,1,1399.0,481.0,1559.0,720.0
12873,14:12.683,1,1410.0,481.0,1568.0,722.0
12874,14:12.717,1,1420.0,487.0,1579.0,722.0
12875,14:12.750,1,1426.0,473.0,1585.0,716.0
12876,14:12.783,1,1428.0,469.0,1588.0,710.0
12877,14:12.817,1,1425.0,469.0,1586.0,712.0
12878,14:12.850,1,1422.0,477.0,1581.0,720.0
12879,14:12.883,1,1421.0,491.0,1580.0,728.0
12880,14:12.917,1,1420.0,499.0,1579.0,739.0
12881,14:12.950,1,1416.0,507.0,1576.0,748.0
12882,14:12.983,1,1415.0,516.0,1573.0,755.0
12883,14:13.017,1,1414.0,518.0,1571.0,757.0
12884,14:13.050,1,1412.0,518.0,1569.0,758.0
12885,14:13.083,1,1413.0,521.0,1570.0,761.0
12886,14:13.117,1,1412.0,524.0,1568.0,765.0
12887,14:13.150,1,1407.0,533.0,1564.0,772.0
12888,14:13.183,1,1404.0,541.0,1560.0,780.0
12889,14:13.217,1,1399.0,553.0,1556.0,792.0
12890,14:13.250,1,1394.0,560.0,1553.0,797.0
12891,14:13.283,1,1391.0,557.0,1549.0,794.0
12892,14:13.317,1,1387.0,542.0,1545.0,785.0
12893,14:13.350,1,1386.0,538.0,1542.0,780.0
12894,14:13.383,1,1381.0,535.0,1535.0,781.0
12895,14:13.417,1,1373.0,549.0,1526.0,785.0
12896,14:13.450,1,1360.0,558.0,1516.0,792.0
12897,14:13.483,1,1353.0,576.0,1505.0,805.0
12898,14:13.517,1,1348.0,589.0,1501.0,815.0
12899,14:13.550,1,1346.0,599.0,1500.0,829.0
12900,14:13.583,1,1347.0,615.0,1500.0,842.0
