frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
9677,08:51.667,2,1711.0,855.0,1877.0,1074.0,-91.0,806.0,131.0,1074.0
9678,10:39.250,2,1712.0,865.0,1878.0,1084.0,-95.0,816.0,132.0,1090.0
9679,10:39.283,2,1715.0,863.0,1882.0,1084.0,-94.0,817.0,136.0,1090.0
9680,10:39.317,2,1719.0,856.0,1887.0,1079.0,-90.0,815.0,141.0,1089.0
9681,10:39.350,2,1723.0,856.0,1890.0,1077.0,-85.0,816.0,148.0,1092.0
9682,10:39.383,2,1726.0,855.0,1891.0,1076.0,-81.0,819.0,152.0,1094.0
9683,10:39.417,2,1725.0,852.0,1891.0,1072.0,-79.0,817.0,153.0,1093.0
9684,10:39.450,2,1723.0,842.0,1890.0,1062.0,-81.0,813.0,153.0,1088.0
9685,10:39.483,2,1722.0,837.0,1889.0,1059.0,-80.0,812.0,154.0,1087.0
9686,10:39.517,2,1722.0,830.0,1889.0,1050.0,-76.0,806.0,157.0,1081.0
9687,10:39.550,2,1724.0,826.0,1889.0,1043.0,-72.0,809.0,162.0,1082.0
9688,10:39.583,2,1726.0,822.0,1890.0,1039.0,-67.0,813.0,166.0,1085.0
9689,10:39.617,2,1726.0,819.0,1890.0,1034.0,-67.0,817.0,167.0,1089.0
9690,10:39.650,2,1723.0,824.0,1888.0,1042.0,-66.0,834.0,164.0,1106.0
9691,10:39.683,2,1722.0,828.0,1887.0,1046.0,-63.0,855.0,162.0,1129.0
9692,10:39.717,2,1717.0,847.0,1883.0,1064.0,-78.0,891.0,152.0,1164.0
9693,10:39.750,2,1710.0,862.0,1876.0,1080.0,-90.0,922.0,143.0,1195.0
9694,10:39.783,2,1704.0,874.0,1872.0,1091.0,-98.0,936.0,135.0,1212.0
9695,10:39.817,2,1698.0,865.0,1864.0,1083.0,-100.0,931.0,130.0,1210.0
9696,10:39.850,2,1697.0,851.0,1863.0,1074.0,-95.0,925.0,133.0,1198.0
9697,10:39.883,2,1697.0,834.0,1863.0,1056.0,-88.0,915.0,134.0,1187.0
9698,10:39.917,2,1689.0,829.0,1854.0,1047.0,-93.0,912.0,124.0,1184.0
9699,10:39.950,1,1672.0,823.0,1834.0,1041.0,,,,
9700,10:39.983,1,1638.0,808.0,1799.0,1023.0,,,,
9701,10:40.017,1,1590.0,794.0,1748.0,1009.0,,,,
9702,10:40.050,1,1540.0,786.0,1693.0,995.0,,,,
9703,10:40.083,1,1495.0,772.0,1645.0,980.0,,,,
9704,10:40.117,1,1455.0,761.0,1605.0,968.0,,,,
9705,10:40.150,1,1455.0,761.0,1605.0,968.0,,,,
9706,10:40.175,1,1434.0,764.0,1582.0,969.0,,,,
9707,10:40.192,1,1419.0,755.0,1570.0,961.0,,,,
9708,10:40.217,1,1413.0,753.0,1561.0,961.0,,,,
9709,10:40.250,1,1409.0,746.0,1556.0,956.0,,,,
9710,10:40.283,1,1401.0,739.0,1548.0,946.0,,,,
9711,10:40.317,1,1393.0,732.0,1539.0,939.0,,,,
9712,10:40.350,1,1383.0,724.0,1531.0,932.0,,,,
9713,10:40.383,1,1377.0,716.0,1522.0,923.0,,,,
9714,10:40.417,1,1369.0,709.0,1514.0,912.0,,,,
9715,10:40.450,1,1367.0,711.0,1512.0,915.0,,,,
9716,10:40.483,1,1370.0,713.0,1514.0,917.0,,,,
9717,10:40.517,1,1377.0,708.0,1523.0,911.0,,,,
9718,10:40.550,1,1398.0,705.0,1545.0,913.0,,,,
9719,10:40.583,1,1428.0,714.0,1574.0,921.0,,,,
9720,10:40.617,1,1459.0,720.0,1607.0,927.0,,,,
9721,10:40.650,1,1484.0,732.0,1634.0,939.0,,,,
9722,10:40.683,1,1504.0,736.0,1655.0,946.0,,,,
9723,10:40.717,1,1519.0,731.0,1670.0,938.0,,,,
9724,10:40.750,1,1532.0,712.0,1686.0,925.0,,,,
9725,10:40.783,1,1541.0,684.0,1694.0,896.0,,,,
9726,10:40.817,1,1553.0,671.0,1709.0,882.0,,,,
9727,10:40.850,1,1561.0,671.0,1717.0,883.0,,,,
9728,10:40.883,1,1567.0,675.0,1722.0,886.0,,,,
9729,10:40.917,1,1574.0,677.0,1728.0,887.0,,,,
