frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
12620,06:36.000,06:36.025,2,1061.0,876.0,1238.0,1110.0,534.0,743.0,690.0,959.0,,,,,,,,
12635,06:36.500,06:36.525,2,1061.0,880.0,1239.0,1115.0,535.0,743.0,692.0,961.0,,,,,,,,
12650,06:37.000,06:37.017,2,1057.0,882.0,1235.0,1119.0,534.0,743.0,690.0,961.0,,,,,,,,
12665,06:37.500,06:37.517,2,1061.0,883.0,1237.0,1117.0,534.0,748.0,691.0,965.0,,,,,,,,
12680,06:38.000,06:38.017,2,1060.0,885.0,1235.0,1122.0,531.0,751.0,689.0,968.0,,,,,,,,
12695,06:38.500,06:38.517,2,1066.0,869.0,1242.0,1109.0,531.0,751.0,686.0,962.0,,,,,,,,
12710,06:39.000,06:39.017,2,1062.0,892.0,1236.0,1129.0,532.0,780.0,686.0,992.0,,,,,,,,
12725,06:39.500,06:39.517,2,1067.0,874.0,1241.0,1107.0,537.0,760.0,694.0,970.0,,,,,,,,
12740,06:40.000,06:40.018,2,1069.0,881.0,1243.0,1114.0,543.0,764.0,702.0,978.0,,,,,,,,
12755,06:40.500,06:40.518,2,1067.0,878.0,1240.0,1112.0,540.0,761.0,698.0,974.0,,,,,,,,
12770,06:41.000,06:41.018,2,1068.0,877.0,1241.0,1111.0,542.0,760.0,701.0,974.0,,,,,,,,
12785,06:41.500,06:41.518,2,1063.0,875.0,1238.0,1109.0,539.0,758.0,696.0,972.0,,,,,,,,
12800,06:42.000,06:42.018,2,1063.0,871.0,1239.0,1104.0,539.0,755.0,696.0,968.0,,,,,,,,
12815,06:42.500,06:42.518,2,1064.0,872.0,1244.0,1105.0,542.0,757.0,691.0,944.0,,,,,,,,
12830,06:43.000,06:43.018,2,1060.0,865.0,1240.0,1105.0,532.0,756.0,699.0,981.0,,,,,,,,
12845,06:43.500,06:43.518,2,1064.0,865.0,1243.0,1104.0,537.0,755.0,690.0,969.0,,,,,,,,
12860,06:44.000,06:44.020,2,1055.0,865.0,1235.0,1105.0,528.0,755.0,682.0,969.0,,,,,,,,
12875,06:44.500,06:44.520,2,1059.0,869.0,1238.0,1105.0,536.0,751.0,692.0,961.0,,,,,,,,
12890,06:45.000,06:45.020,2,1067.0,841.0,1240.0,1078.0,542.0,714.0,699.0,937.0,,,,,,,,
12905,06:45.500,06:45.520,2,1107.0,854.0,1282.0,1090.0,596.0,731.0,748.0,946.0,,,,,,,,
12920,06:46.000,06:46.020,2,1096.0,856.0,1268.0,1090.0,572.0,728.0,726.0,947.0,,,,,,,,
12935,06:46.500,06:46.520,2,1090.0,855.0,1264.0,1090.0,565.0,729.0,720.0,947.0,,,,,,,,
12950,06:47.000,06:47.020,2,1091.0,870.0,1267.0,1108.0,568.0,748.0,725.0,965.0,,,,,,,,
12965,06:47.500,06:47.522,2,1092.0,867.0,1267.0,1101.0,573.0,745.0,728.0,960.0,,,,,,,,
12980,06:48.000,06:48.022,2,1104.0,875.0,1277.0,1112.0,584.0,752.0,741.0,966.0,,,,,,,,
12995,06:48.500,06:48.522,2,1165.0,867.0,1340.0,1100.0,658.0,734.0,809.0,948.0,,,,,,,,
13010,06:49.000,06:49.022,2,1162.0,865.0,1336.0,1101.0,646.0,737.0,798.0,946.0,,,,,,,,
13025,06:49.500,06:49.522,2,1150.0,872.0,1325.0,1108.0,643.0,731.0,796.0,942.0,,,,,,,,
13040,06:50.000,06:50.022,2,1139.0,952.0,1315.0,1189.0,629.0,797.0,782.0,1013.0,,,,,,,,
13055,06:50.500,06:50.522,2,1184.0,865.0,1359.0,1106.0,664.0,731.0,816.0,947.0,,,,,,,,
13070,06:51.000,06:51.022,2,1195.0,840.0,1373.0,1074.0,666.0,704.0,814.0,916.0,,,,,,,,
13085,06:51.500,06:51.523,2,1256.0,858.0,1431.0,1094.0,733.0,727.0,880.0,936.0,,,,,,,,
13100,06:52.000,06:52.023,2,1481.0,907.0,1669.0,1148.0,970.0,779.0,1109.0,985.0,,,,,,,,
13115,06:52.500,06:52.523,2,1460.0,932.0,1648.0,1176.0,956.0,813.0,1096.0,1015.0,,,,,,,,
13130,06:53.000,06:53.023,2,1445.0,958.0,1628.0,1203.0,937.0,830.0,1078.0,1033.0,,,,,,,,
13145,06:53.500,06:53.523,2,1222.0,1082.0,1403.0,1333.0,698.0,929.0,845.0,1146.0,,,,,,,,
13160,06:54.000,06:54.023,2,1230.0,1018.0,1412.0,1271.0,704.0,872.0,853.0,1083.0,,,,,,,,
13175,06:54.500,06:54.523,2,1354.0,1043.0,1537.0,1292.0,835.0,903.0,976.0,1113.0,,,,,,,,
13190,06:55.000,06:55.023,2,1210.0,1011.0,1387.0,1257.0,683.0,882.0,829.0,1092.0,,,,,,,,
13205,06:55.500,06:55.525,2,968.0,963.0,1146.0,1203.0,387.0,818.0,556.0,1048.0,,,,,,,,
13220,06:56.000,06:56.025,2,875.0,1008.0,1058.0,1255.0,274.0,869.0,453.0,1106.0,,,,,,,,
13235,06:56.500,06:56.525,2,993.0,1024.0,1173.0,1274.0,420.0,883.0,587.0,1116.0,,,,,,,,
13250,06:57.000,06:57.017,2,1027.0,1068.0,1206.0,1316.0,461.0,926.0,624.0,1155.0,,,,,,,,
13265,06:57.500,06:57.517,2,1062.0,1085.0,1240.0,1339.0,499.0,955.0,659.0,1178.0,,,,,,,,
13280,06:58.000,06:58.017,2,1062.0,1087.0,1240.0,1344.0,500.0,961.0,660.0,1183.0,,,,,,,,
13295,06:58.500,06:58.517,2,1060.0,1075.0,1240.0,1324.0,503.0,941.0,663.0,1167.0,,,,,,,,
13310,06:59.000,06:59.017,2,722.0,990.0,910.0,1246.0,56.0,849.0,260.0,1110.0,,,,,,,,
13325,06:59.500,06:59.518,2,25.0,847.0,234.0,1110.0,699.0,986.0,890.0,1244.0,,,,,,,,
13340,07:00.000,07:00.018,2,38.0,843.0,243.0,1100.0,705.0,982.0,894.0,1236.0,,,,,,,,
13355,07:00.500,07:00.518,2,1060.0,1042.0,1236.0,1286.0,519.0,906.0,678.0,1128.0,,,,,,,,
13370,07:01.000,07:01.018,2,1344.0,1082.0,1525.0,1331.0,834.0,964.0,975.0,1168.0,,,,,,,,
13385,07:01.500,07:01.518,2,1944.0,1084.0,2195.0,1379.0,1351.0,1028.0,1498.0,1250.0,,,,,,,,
13400,07:02.000,07:02.018,0,,,,,,,,,,,,,,,,
13415,07:02.500,07:02.518,0,,,,,,,,,,,,,,,,
13430,07:03.000,07:03.018,2,1126.0,1272.0,1313.0,1507.0,572.0,1151.0,734.0,1390.0,,,,,,,,
13445,07:03.500,07:03.520,2,1142.0,1106.0,1322.0,1362.0,598.0,985.0,753.0,1206.0,,,,,,,,
13460,07:04.000,07:04.020,2,1174.0,1017.0,1353.0,1263.0,640.0,881.0,793.0,1101.0,,,,,,,,
13475,07:04.500,07:04.520,2,1171.0,1037.0,1349.0,1283.0,639.0,896.0,791.0,1113.0,,,,,,,,
13490,07:05.000,07:05.020,2,1002.0,992.0,1181.0,1240.0,437.0,860.0,605.0,1085.0,,,,,,,,
13505,07:05.500,07:05.520,2,952.0,977.0,1134.0,1225.0,368.0,846.0,540.0,1074.0,,,,,,,,
13520,07:06.000,07:06.020,2,913.0,955.0,1092.0,1199.0,317.0,816.0,495.0,1055.0,,,,,,,,
13535,07:06.500,07:06.520,2,872.0,948.0,1055.0,1194.0,263.0,812.0,447.0,1047.0,,,,,,,,
13550,07:07.000,07:07.020,2,909.0,940.0,1089.0,1183.0,313.0,800.0,490.0,1034.0,,,,,,,,
13565,07:07.500,07:07.522,2,1126.0,922.0,1302.0,1164.0,586.0,784.0,743.0,1004.0,,,,,,,,
13580,07:08.000,07:08.022,2,1355.0,929.0,1538.0,1173.0,846.0,780.0,989.0,990.0,,,,,,,,
