frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
7991,04:15.000,04:15.032,2,433.0,544.0,615.0,774.0,1044.0,633.0,1217.0,865.0
8006,04:15.500,04:15.532,2,1050.0,642.0,1223.0,876.0,440.0,553.0,621.0,783.0
8021,04:16.000,04:16.032,2,445.0,542.0,626.0,777.0,1054.0,641.0,1225.0,874.0
8035,04:16.500,04:16.500,2,1070.0,627.0,1242.0,866.0,458.0,531.0,640.0,769.0
8050,04:17.000,04:17.000,2,1077.0,614.0,1252.0,850.0,462.0,520.0,641.0,756.0
8065,04:17.500,04:17.500,2,1129.0,633.0,1301.0,867.0,531.0,541.0,705.0,774.0
8080,04:18.000,04:18.000,2,1118.0,628.0,1289.0,863.0,528.0,538.0,702.0,776.0
8095,04:18.500,04:18.500,2,1106.0,648.0,1278.0,880.0,511.0,560.0,686.0,786.0
8110,04:19.000,04:19.000,2,509.0,548.0,684.0,778.0,1105.0,640.0,1277.0,871.0
8125,04:19.500,04:19.500,2,1108.0,657.0,1279.0,887.0,510.0,570.0,687.0,798.0
8140,04:20.000,04:20.000,2,510.0,653.0,685.0,880.0,1103.0,746.0,1274.0,971.0
8155,04:20.500,04:20.502,2,502.0,664.0,676.0,888.0,1098.0,760.0,1266.0,983.0
8170,04:21.000,04:21.002,2,1097.0,734.0,1268.0,962.0,498.0,644.0,675.0,871.0
8185,04:21.500,04:21.502,2,1100.0,722.0,1268.0,951.0,500.0,632.0,675.0,858.0
8200,04:22.000,04:22.002,2,1098.0,711.0,1268.0,940.0,495.0,616.0,673.0,844.0
8215,04:22.500,04:22.502,2,496.0,585.0,675.0,817.0,1100.0,681.0,1269.0,907.0
8230,04:23.000,04:23.002,2,488.0,547.0,665.0,778.0,1094.0,642.0,1266.0,874.0
8245,04:23.500,04:23.502,2,498.0,523.0,678.0,755.0,1105.0,623.0,1277.0,852.0
8260,04:24.000,04:24.002,2,1099.0,602.0,1271.0,835.0,494.0,511.0,672.0,738.0
8275,04:24.500,04:24.503,2,1099.0,596.0,1271.0,828.0,492.0,498.0,671.0,729.0
8290,04:25.000,04:25.003,2,1099.0,589.0,1273.0,820.0,493.0,488.0,672.0,721.0
8305,04:25.500,04:25.503,2,1063.0,596.0,1237.0,829.0,448.0,504.0,631.0,734.0
8320,04:26.000,04:26.003,2,1076.0,574.0,1249.0,806.0,459.0,475.0,642.0,708.0
8335,04:26.500,04:26.503,2,1085.0,561.0,1259.0,794.0,477.0,460.0,657.0,693.0
8350,04:27.000,04:27.003,2,1089.0,559.0,1264.0,791.0,482.0,459.0,661.0,689.0
8365,04:27.500,04:27.503,2,1081.0,545.0,1257.0,784.0,473.0,453.0,652.0,685.0
8380,04:28.000,04:28.003,2,1084.0,537.0,1258.0,771.0,470.0,448.0,651.0,680.0
8395,04:28.500,04:28.505,2,469.0,422.0,652.0,659.0,1084.0,521.0,1258.0,754.0
8410,04:29.000,04:29.005,2,1072.0,470.0,1246.0,708.0,444.0,380.0,631.0,618.0
8425,04:29.500,04:29.505,2,1110.0,447.0,1285.0,686.0,493.0,343.0,678.0,584.0
8439,04:30.000,04:30.005,2,502.0,305.0,687.0,545.0,1121.0,403.0,1297.0,649.0
8454,04:30.500,04:30.505,2,1036.0,655.0,1208.0,886.0,425.0,535.0,609.0,768.0
8469,04:31.000,04:31.005,2,998.0,634.0,1169.0,865.0,373.0,513.0,561.0,749.0
8484,04:31.500,04:31.505,2,982.0,538.0,1156.0,775.0,344.0,383.0,539.0,628.0
8499,04:32.000,04:32.005,2,364.0,367.0,558.0,614.0,1001.0,515.0,1179.0,758.0
8514,04:32.500,04:32.507,2,337.0,367.0,532.0,615.0,978.0,517.0,1156.0,760.0
8529,04:33.000,04:33.007,2,405.0,343.0,599.0,591.0,1033.0,496.0,1210.0,739.0
8544,04:33.500,04:33.507,2,1075.0,480.0,1253.0,727.0,463.0,334.0,646.0,574.0
8560,04:34.000,04:34.032,2,1066.0,478.0,1243.0,725.0,451.0,341.0,637.0,583.0
8575,04:34.500,04:34.532,2,1096.0,426.0,1273.0,669.0,482.0,279.0,668.0,521.0
8590,04:35.000,04:35.032,2,1088.0,410.0,1265.0,653.0,469.0,260.0,658.0,505.0
8605,04:35.500,04:35.532,2,1086.0,396.0,1265.0,643.0,466.0,249.0,656.0,499.0
8620,04:36.000,04:36.032,2,469.0,239.0,660.0,487.0,1084.0,389.0,1263.0,634.0
8634,04:36.500,04:36.500,2,1088.0,390.0,1266.0,635.0,475.0,246.0,664.0,491.0
8649,04:37.000,04:37.000,2,1088.0,389.0,1265.0,633.0,477.0,249.0,666.0,493.0
8664,04:37.500,04:37.500,2,1086.0,392.0,1262.0,638.0,474.0,256.0,664.0,500.0
8679,04:38.000,04:38.000,2,1093.0,391.0,1270.0,634.0,479.0,254.0,669.0,498.0
