frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
25177,13:46.000,13:46.013,3,902.0,539.0,1075.0,780.0,387.0,477.0,552.0,714.0,1444.0,408.0,1589.0,626.0
25192,13:46.500,13:46.513,3,906.0,540.0,1079.0,778.0,392.0,478.0,556.0,692.0,1446.0,404.0,1599.0,635.0
25207,13:47.000,13:47.013,3,899.0,535.0,1072.0,772.0,385.0,471.0,550.0,687.0,1443.0,401.0,1586.0,622.0
25222,13:47.500,13:47.513,3,904.0,514.0,1077.0,754.0,389.0,446.0,554.0,663.0,1447.0,374.0,1593.0,598.0
25237,13:48.000,13:48.013,3,371.0,434.0,538.0,660.0,892.0,500.0,1064.0,742.0,1432.0,357.0,1577.0,575.0
25252,13:48.500,13:48.513,3,886.0,482.0,1057.0,718.0,366.0,415.0,531.0,636.0,1429.0,339.0,1573.0,554.0
25267,13:49.000,13:49.015,3,368.0,406.0,534.0,629.0,889.0,470.0,1069.0,710.0,1435.0,324.0,1583.0,547.0
25282,13:49.500,13:49.515,3,985.0,501.0,1159.0,739.0,491.0,428.0,646.0,647.0,1526.0,366.0,1680.0,596.0
25297,13:50.000,13:50.015,3,1048.0,525.0,1219.0,762.0,1594.0,383.0,1751.0,618.0,582.0,472.0,730.0,679.0
25312,13:50.500,13:50.515,3,984.0,570.0,1155.0,804.0,1522.0,424.0,1678.0,653.0,499.0,516.0,654.0,727.0
25327,13:51.000,13:51.015,3,981.0,607.0,1152.0,836.0,482.0,535.0,636.0,749.0,1505.0,460.0,1658.0,689.0
25342,13:51.500,13:51.515,3,967.0,645.0,1139.0,877.0,1490.0,496.0,1638.0,723.0,476.0,581.0,629.0,792.0
25357,13:52.000,13:52.015,3,938.0,655.0,1108.0,886.0,449.0,585.0,607.0,794.0,1463.0,517.0,1612.0,739.0
25372,13:52.500,13:52.515,3,901.0,692.0,1072.0,924.0,402.0,626.0,561.0,838.0,1433.0,545.0,1581.0,766.0
25387,13:53.000,13:53.017,3,897.0,653.0,1067.0,882.0,391.0,582.0,553.0,798.0,1434.0,507.0,1582.0,728.0
25402,13:53.500,13:53.517,3,905.0,659.0,1075.0,888.0,401.0,598.0,561.0,810.0,1442.0,517.0,1591.0,737.0
25417,13:54.000,13:54.017,3,900.0,671.0,1071.0,902.0,402.0,608.0,561.0,823.0,1438.0,525.0,1585.0,745.0
25432,13:54.500,13:54.517,3,390.0,622.0,552.0,833.0,870.0,685.0,1042.0,914.0,1429.0,542.0,1574.0,758.0
25447,13:55.000,13:55.017,3,818.0,526.0,997.0,766.0,314.0,464.0,485.0,693.0,1378.0,371.0,1526.0,598.0
25462,13:55.500,13:55.517,1,141.0,130.0,402.0,423.0,,,,,,,,
