frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
25434,13:17.000,27:22.115,3,611.0,587.0,785.0,826.0,1182.0,706.0,1342.0,931.0,1630.0,690.0,1797.0,894.0
25435,13:17.500,27:22.148,3,612.0,584.0,787.0,825.0,1184.0,701.0,1344.0,928.0,1632.0,689.0,1800.0,892.0
25436,13:18.000,27:22.182,3,614.0,583.0,789.0,825.0,1634.0,687.0,1803.0,891.0,1186.0,701.0,1346.0,927.0
25437,13:18.500,27:22.215,3,615.0,582.0,790.0,824.0,1636.0,683.0,1805.0,889.0,1187.0,700.0,1347.0,927.0
25438,13:19.000,27:22.248,3,616.0,582.0,791.0,824.0,1638.0,677.0,1806.0,888.0,1188.0,699.0,1348.0,926.0
25439,13:19.500,27:22.282,3,616.0,583.0,791.0,825.0,1188.0,698.0,1348.0,927.0,1639.0,677.0,1807.0,887.0
25440,13:20.000,27:22.315,3,616.0,581.0,791.0,822.0,1188.0,696.0,1347.0,926.0,1639.0,671.0,1806.0,884.0
25441,13:20.500,27:22.348,3,616.0,582.0,791.0,823.0,1189.0,695.0,1348.0,925.0,1639.0,671.0,1806.0,883.0
25442,13:21.000,27:22.382,3,1192.0,722.0,1350.0,953.0,1640.0,699.0,1809.0,908.0,619.0,617.0,794.0,854.0
25443,13:21.500,27:22.415,3,627.0,700.0,800.0,938.0,1646.0,777.0,1816.0,987.0,1197.0,804.0,1357.0,1033.0
25444,13:22.000,27:22.448,3,1205.0,878.0,1368.0,1122.0,639.0,792.0,810.0,1027.0,1660.0,856.0,1830.0,1070.0
25445,13:22.500,27:22.482,3,1675.0,885.0,1847.0,1104.0,653.0,826.0,825.0,1065.0,1220.0,919.0,1383.0,1159.0
25446,13:23.000,27:22.515,3,1234.0,890.0,1395.0,1130.0,670.0,802.0,841.0,1036.0,1689.0,869.0,1863.0,1077.0
25447,13:23.500,27:22.548,3,1244.0,831.0,1405.0,1066.0,683.0,740.0,853.0,973.0,1700.0,814.0,1870.0,1017.0
25448,13:24.000,27:22.582,3,692.0,652.0,858.0,888.0,1252.0,752.0,1411.0,982.0,1706.0,727.0,1877.0,936.0
25449,13:24.500,27:22.615,3,696.0,571.0,862.0,805.0,1713.0,640.0,1885.0,849.0,1255.0,665.0,1417.0,900.0
25450,13:25.000,27:22.648,3,688.0,545.0,857.0,780.0,1707.0,606.0,1881.0,817.0,1251.0,634.0,1413.0,870.0
25451,13:25.500,27:22.682,3,1691.0,643.0,1864.0,859.0,674.0,595.0,843.0,832.0,1237.0,680.0,1399.0,911.0
25452,13:26.000,27:22.715,3,656.0,667.0,826.0,902.0,1673.0,713.0,1843.0,922.0,1221.0,749.0,1382.0,978.0
25453,13:26.500,27:22.748,3,1208.0,788.0,1371.0,1021.0,1660.0,754.0,1829.0,963.0,643.0,706.0,815.0,941.0
25454,13:27.000,27:22.782,3,1652.0,735.0,1819.0,946.0,635.0,684.0,807.0,917.0,1202.0,769.0,1362.0,996.0
25455,13:27.500,27:22.815,3,628.0,610.0,801.0,843.0,1197.0,702.0,1357.0,928.0,1647.0,663.0,1815.0,878.0
25456,13:28.000,27:22.848,3,622.0,564.0,796.0,803.0,1194.0,655.0,1354.0,887.0,1645.0,628.0,1812.0,834.0
25457,13:28.500,27:22.882,3,615.0,607.0,791.0,845.0,1639.0,657.0,1806.0,870.0,1188.0,697.0,1347.0,926.0
25458,13:29.000,27:22.915,3,1637.0,713.0,1806.0,923.0,615.0,668.0,791.0,906.0,1187.0,752.0,1347.0,983.0
25459,13:29.500,27:22.948,3,624.0,695.0,797.0,930.0,1194.0,776.0,1355.0,1008.0,1645.0,739.0,1812.0,947.0
25460,13:30.000,27:22.982,3,639.0,666.0,809.0,901.0,1203.0,748.0,1364.0,977.0,1655.0,715.0,1825.0,922.0
25461,13:30.500,27:23.015,3,1211.0,703.0,1373.0,936.0,1666.0,666.0,1835.0,880.0,648.0,621.0,820.0,856.0
25462,13:31.000,27:23.048,3,1210.0,713.0,1372.0,945.0,645.0,632.0,818.0,866.0,1666.0,677.0,1834.0,888.0
25463,13:31.500,27:23.082,3,1205.0,750.0,1367.0,981.0,642.0,669.0,813.0,905.0,1660.0,716.0,1829.0,923.0
25464,13:32.000,27:23.115,3,1204.0,762.0,1365.0,996.0,641.0,687.0,811.0,918.0,1658.0,729.0,1827.0,941.0
25465,13:32.500,27:23.148,3,641.0,657.0,812.0,896.0,1205.0,744.0,1365.0,974.0,1658.0,709.0,1827.0,918.0
25466,13:33.000,27:23.182,3,1205.0,709.0,1366.0,941.0,642.0,627.0,812.0,860.0,1660.0,674.0,1828.0,886.0
