frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
15684,14:28.333,2,1501.0,623.0,1657.0,834.0,513.0,696.0,687.0,912.0,,,,
15685,17:21.448,2,1501.0,623.0,1657.0,832.0,514.0,688.0,687.0,908.0,,,,
15686,17:21.482,2,1501.0,623.0,1657.0,832.0,514.0,685.0,687.0,907.0,,,,
15687,17:21.515,2,1501.0,623.0,1657.0,832.0,514.0,685.0,687.0,907.0,,,,
15688,17:21.548,2,1502.0,625.0,1658.0,832.0,515.0,680.0,688.0,908.0,,,,
15689,17:21.582,2,1504.0,623.0,1658.0,832.0,516.0,678.0,690.0,907.0,,,,
15690,17:21.615,2,1506.0,623.0,1661.0,832.0,518.0,682.0,691.0,908.0,,,,
15691,17:21.648,2,1506.0,622.0,1662.0,832.0,519.0,681.0,692.0,908.0,,,,
15692,17:21.682,2,1506.0,624.0,1662.0,833.0,518.0,683.0,692.0,909.0,,,,
15693,17:21.715,2,1506.0,624.0,1662.0,833.0,518.0,685.0,691.0,911.0,,,,
15694,17:21.748,2,1506.0,621.0,1662.0,831.0,518.0,682.0,692.0,911.0,,,,
15695,17:21.782,2,1507.0,621.0,1663.0,831.0,520.0,687.0,694.0,913.0,,,,
15696,17:21.815,2,1508.0,623.0,1663.0,832.0,522.0,686.0,696.0,914.0,,,,
15697,17:21.848,2,1507.0,624.0,1663.0,833.0,522.0,689.0,696.0,916.0,,,,
15698,17:21.882,2,1507.0,626.0,1662.0,834.0,522.0,690.0,696.0,916.0,,,,
15699,17:21.915,2,1507.0,627.0,1662.0,836.0,522.0,696.0,696.0,920.0,,,,
15700,17:21.948,2,1508.0,629.0,1662.0,837.0,522.0,696.0,696.0,920.0,,,,
15701,17:21.982,2,1508.0,631.0,1663.0,840.0,523.0,700.0,696.0,926.0,,,,
15702,17:22.015,2,1508.0,632.0,1664.0,842.0,524.0,703.0,697.0,929.0,,,,
