participant_num,group_num,start_time,end_time
001,1,19:46,40:48
002,1,17:10,38:12
004,1,09:21,30:23
005,2,14:21,29:30
007,2,12:10,27:19
008,3,1:47,31:53
009,3,10:16,41:03
010,3,7:49,39:33
011,3,4:12,35:56
013,4,0:23,22:30
014,4,7:22,29:03
016,5,4:37,26:47
017,5,9:16,31:12
018,5,6:25,28:26
019,6,3:18,25:19
020,6,5:53,27:55
021,6,9:23,31:25
022,7,9:23,32:54
023,7,5:14,28:48
024,7,7:14,30:39
026,8,6:01,29:27
027,8,8:41,32:10
028,8,12:05,35:29
029,9,3:03,26:39
030,9,7:53,31:28
031,9,7:39,31:20
032,9,10:55,34:30
033,10,3:21,28:40
034,10,3:04,28:16
035,10,8:53,34:13
036,10,12:06,37:17
037,11,4:11,25:56
038,11,7:06,33:51
039,12,3:57,26:56
040,12,6:53,29:53
041,12,8:32,31:40
042,13,3:40,25:54
043,13,5:19,27:34
044,13,8:03,30:30
045,14,8:13,31:30
046,14,15:57,39:10
047,14,19:24,42:02
048,14,13:00,36:20
049,15,5:56,20:10
050,15,9:27,31:18
051,16,1:46,24:35
