frame,time,faces_detected_count,037_detected,037_tl_x,037_tl_y,037_br_x,037_br_y,038_detected,038_tl_x,038_tl_y,038_br_x,038_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
12823,07:05.976,1,False,,,,,True,1469,716,1629,958,False,,,,
12838,07:06.474,1,False,,,,,True,1472,696,1633,933,False,,,,
12853,07:06.972,1,False,,,,,True,1525,631,1688,868,False,,,,
12868,07:07.471,1,False,,,,,True,1387,467,1548,704,False,,,,
12883,07:07.969,1,False,,,,,True,1412,518,1569,758,False,,,,
12898,07:08.467,1,False,,,,,True,1346,599,1500,829,False,,,,
12913,07:08.965,1,False,,,,,True,1339,590,1492,819,False,,,,
12928,07:09.464,1,False,,,,,True,1358,616,1510,841,False,,,,
12943,07:09.962,1,False,,,,,True,1367,603,1515,834,False,,,,
12958,07:10.460,1,False,,,,,True,1407,594,1562,824,False,,,,
12973,07:10.959,1,False,,,,,True,1505,611,1664,846,False,,,,
12988,07:11.457,1,False,,,,,True,1443,586,1600,825,False,,,,
13003,07:11.955,1,False,,,,,True,1331,655,1485,882,False,,,,
13018,07:12.454,1,False,,,,,True,1371,668,1525,895,False,,,,
13033,07:12.952,1,False,,,,,True,1390,692,1545,922,False,,,,
13048,07:13.450,1,False,,,,,True,1422,715,1580,951,False,,,,
13063,07:13.948,1,False,,,,,True,1415,708,1572,948,False,,,,
13078,07:14.447,1,False,,,,,True,1419,707,1578,942,False,,,,
13093,07:14.945,1,False,,,,,True,1417,712,1576,950,False,,,,
13108,07:15.443,1,False,,,,,True,1425,718,1583,957,False,,,,
13123,07:15.942,1,False,,,,,True,1426,723,1583,958,False,,,,
13138,07:16.440,1,False,,,,,True,1430,720,1587,956,False,,,,
13153,07:16.938,1,False,,,,,True,1430,719,1587,956,False,,,,
13168,07:17.436,1,False,,,,,True,1425,716,1581,949,False,,,,
13183,07:17.935,1,False,,,,,True,1427,717,1583,951,False,,,,
