frame,time,faces_detected_count,057_detected,057_tl_x,057_tl_y,057_br_x,057_br_y,058_detected,058_tl_x,058_tl_y,058_br_x,058_br_y,059_detected,059_tl_x,059_tl_y,059_br_x,059_br_y,060_detected,060_tl_x,060_tl_y,060_br_x,060_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
6936,03:43.990,2,True,2188,913,2358,1125,False,,,,,False,,,,,False,,,,,True,947,823,1096,1040
6951,03:44.475,2,True,2187,917,2355,1132,False,,,,,False,,,,,False,,,,,True,947,831,1098,1050
6966,03:44.959,2,True,2181,927,2349,1140,False,,,,,False,,,,,False,,,,,True,943,843,1097,1071
6981,03:45.443,2,True,2179,929,2348,1141,False,,,,,False,,,,,False,,,,,True,954,857,1106,1069
6996,03:45.928,2,True,2184,940,2354,1150,False,,,,,False,,,,,False,,,,,True,957,859,1108,1073
7011,03:46.412,2,True,2182,943,2353,1152,False,,,,,False,,,,,False,,,,,True,975,873,1129,1083
7026,03:46.897,2,True,2186,961,2359,1179,False,,,,,False,,,,,False,,,,,True,967,888,1122,1096
7041,03:47.381,2,True,2188,964,2357,1188,False,,,,,False,,,,,False,,,,,True,956,890,1117,1110
7056,03:47.865,2,True,2199,963,2372,1182,False,,,,,False,,,,,False,,,,,True,946,884,1103,1100
7071,03:48.350,2,True,2211,970,2382,1191,False,,,,,False,,,,,False,,,,,True,955,879,1110,1090
7086,03:48.834,2,True,2184,935,2354,1150,False,,,,,False,,,,,False,,,,,True,965,852,1099,1058
7101,03:49.319,2,True,2189,957,2358,1175,False,,,,,False,,,,,False,,,,,True,968,887,1108,1091
7116,03:49.803,2,True,2192,958,2363,1175,False,,,,,False,,,,,False,,,,,True,973,911,1130,1099
7131,03:50.288,2,True,2199,970,2372,1189,False,,,,,False,,,,,False,,,,,True,971,921,1135,1107
7146,03:50.772,2,True,2211,968,2380,1185,False,,,,,False,,,,,False,,,,,True,973,931,1139,1111
7161,03:51.256,2,True,2251,999,2423,1217,False,,,,,False,,,,,False,,,,,True,1008,941,1172,1114
7176,03:51.741,2,True,2241,992,2410,1205,False,,,,,False,,,,,False,,,,,True,1007,933,1170,1114
7191,03:52.225,2,True,2155,956,2319,1168,False,,,,,False,,,,,False,,,,,True,947,908,1118,1084
7206,03:52.710,2,True,2164,967,2329,1183,False,,,,,False,,,,,False,,,,,True,965,916,1123,1094
7221,03:53.194,2,True,2149,970,2314,1185,False,,,,,False,,,,,False,,,,,True,947,913,1112,1101
7236,03:53.678,2,True,2154,976,2317,1192,False,,,,,False,,,,,False,,,,,True,928,895,1095,1099
7251,03:54.163,2,True,2121,966,2283,1180,False,,,,,False,,,,,False,,,,,True,906,897,1068,1114
7266,03:54.647,2,True,2107,958,2269,1167,False,,,,,False,,,,,False,,,,,True,911,885,1068,1097
7281,03:55.132,2,True,2081,948,2239,1151,False,,,,,False,,,,,False,,,,,True,903,865,1069,1076
