frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
14078,07:48.994,182.0,68.0,,,,2,False,True,71,787,211,943,False,True,1217,748,1379,958,False,False,,,,,False,False,,,,,False,False,,,,,False
14093,07:49.493,182.0,58.0,0.0,-10.0,10.0,2,False,True,92,780,231,939,False,True,1225,755,1388,964,False,False,,,,,False,False,,,,,False,False,,,,,False
14108,07:49.993,182.0,58.0,0.0,0.0,0.0,2,False,True,91,741,230,899,False,True,1224,733,1387,937,False,False,,,,,False,False,,,,,False,False,,,,,False
14123,07:50.493,182.0,58.0,0.0,0.0,0.0,2,False,True,101,648,240,807,False,True,1249,645,1410,858,False,False,,,,,False,False,,,,,False,False,,,,,False
14138,07:50.992,182.0,58.0,0.0,0.0,0.0,2,False,True,105,725,241,878,False,True,1245,718,1396,924,False,False,,,,,False,False,,,,,False,False,,,,,False
14153,07:51.492,182.0,58.0,0.0,0.0,0.0,2,False,True,116,725,252,877,False,True,1249,718,1394,930,False,False,,,,,False,False,,,,,False,False,,,,,False
14168,07:51.992,182.0,58.0,0.0,0.0,0.0,2,False,True,117,733,254,884,False,True,1247,727,1393,936,False,False,,,,,False,False,,,,,False,False,,,,,False
14183,07:52.492,182.0,58.0,0.0,0.0,0.0,2,False,True,113,736,248,889,False,True,1240,730,1388,941,False,False,,,,,False,False,,,,,False,False,,,,,False
14198,07:52.991,182.0,58.0,0.0,0.0,0.0,2,False,True,145,742,278,893,False,True,1249,729,1398,936,False,False,,,,,False,False,,,,,False,False,,,,,False
14213,07:53.491,182.0,58.0,0.0,0.0,0.0,2,False,True,94,914,231,1071,False,True,1279,846,1426,999,False,False,,,,,False,False,,,,,False,False,,,,,False
14228,07:53.991,182.0,58.0,0.0,0.0,0.0,2,False,True,42,830,185,991,False,True,1206,785,1358,992,False,False,,,,,False,False,,,,,False,False,,,,,False
14243,07:54.490,182.0,58.0,0.0,0.0,0.0,2,False,True,51,685,195,845,False,True,1193,714,1354,925,False,False,,,,,False,False,,,,,False,False,,,,,False
14258,07:54.990,182.0,58.0,0.0,0.0,0.0,1,False,False,,,,,False,True,1080,549,1245,773,False,False,,,,,False,False,,,,,False,False,,,,,False
14273,07:55.490,182.0,68.0,0.0,10.0,10.0,2,False,True,-28,507,110,671,False,True,1147,503,1315,719,False,False,,,,,False,False,,,,,False,False,,,,,False
14288,07:55.990,182.0,68.0,0.0,0.0,0.0,2,False,True,340,486,461,634,False,True,1411,458,1582,682,False,False,,,,,False,False,,,,,False,False,,,,,False
14303,07:56.489,182.0,68.0,0.0,0.0,0.0,2,False,True,1010,470,1103,603,False,True,2091,542,2329,794,False,False,,,,,False,False,,,,,False,False,,,,,False
