frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,013_detected,013_tl_x,013_tl_y,013_br_x,013_br_y,gaze_on_013,014_detected,014_tl_x,014_tl_y,014_br_x,014_br_y,gaze_on_014,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
13316,07:21.985,182.0,58.0,,,,2,False,True,936,653,1027,831,False,False,,,,,False,True,487,733,672,1010,False
13331,07:22.483,1114.0,380.0,932.0,322.0,986.0567934961962,2,False,True,931,660,1023,833,False,False,,,,,False,True,499,817,679,1060,False
13346,07:22.981,182.0,58.0,-932.0,-322.0,986.0567934961962,2,False,True,936,650,1026,826,False,False,,,,,False,True,505,811,683,1053,False
13361,07:23.479,182.0,58.0,0.0,0.0,0.0,2,False,True,927,622,1022,802,False,False,,,,,False,True,495,765,675,1019,False
13376,07:23.976,182.0,58.0,0.0,0.0,0.0,2,False,True,1021,686,1109,859,False,False,,,,,False,True,598,819,770,1067,False
13391,07:24.474,182.0,58.0,0.0,0.0,0.0,2,False,True,1089,661,1176,841,False,False,,,,,False,True,677,782,846,1037,False
13406,07:24.972,182.0,58.0,0.0,0.0,0.0,2,False,True,1091,677,1178,851,False,False,,,,,False,True,680,758,850,1031,False
13421,07:25.470,182.0,58.0,0.0,0.0,0.0,2,False,True,1085,666,1174,844,False,False,,,,,False,True,674,760,842,1029,False
13436,07:25.968,182.0,58.0,0.0,0.0,0.0,2,False,True,1077,665,1166,838,False,False,,,,,False,True,662,762,833,1022,False
13451,07:26.466,1208.0,802.0,1026.0,744.0,1267.3641939079705,2,False,True,1067,651,1155,833,False,False,,,,,False,True,650,736,821,1004,False
13466,07:26.964,1196.0,514.0,-12.0,-288.0,288.2498915871435,2,False,True,1060,655,1145,833,False,False,,,,,False,True,638,734,808,1005,False
13481,07:27.462,182.0,58.0,-1014.0,-456.0,1111.8147327680092,2,False,True,1052,657,1136,838,False,False,,,,,False,True,632,740,798,1010,False
13496,07:27.960,182.0,58.0,0.0,0.0,0.0,2,False,True,1047,657,1137,835,False,False,,,,,False,True,626,739,795,1010,False
13511,07:28.457,182.0,58.0,0.0,0.0,0.0,2,False,True,1039,660,1128,845,False,False,,,,,False,True,613,752,784,1021,False
13526,07:28.955,182.0,58.0,0.0,0.0,0.0,2,False,True,1038,690,1123,872,False,False,,,,,False,True,603,782,774,1052,False
13541,07:29.453,182.0,58.0,0.0,0.0,0.0,2,False,True,1040,652,1127,833,False,False,,,,,False,True,603,741,776,1010,False
13556,07:29.951,182.0,58.0,0.0,0.0,0.0,2,False,True,1037,657,1124,836,False,False,,,,,False,True,599,756,771,1015,False
13571,07:30.449,182.0,58.0,0.0,0.0,0.0,2,False,True,1029,663,1119,846,False,False,,,,,False,True,600,760,775,1020,False
13586,07:30.947,1118.0,1142.0,936.0,1084.0,1432.1843456762122,2,False,True,1027,660,1116,838,False,False,,,,,False,True,607,753,778,1014,False
13601,07:31.445,182.0,58.0,-936.0,-1084.0,1432.1843456762122,2,False,True,1136,642,1227,817,False,False,,,,,False,True,736,744,899,991,False
13616,07:31.943,,,,,,3,False,True,1760,694,1869,883,False,False,,,,,False,True,679,689,909,1004,False
13631,07:32.440,,,,,,3,False,True,1843,715,1959,909,False,False,,,,,False,True,765,732,982,1027,False
13646,07:32.938,926.0,818.0,,,,3,True,True,1804,674,1916,865,False,False,,,,,False,True,1410,796,1563,1057,False
13661,07:33.436,,,,,,3,False,True,1761,687,1868,877,False,False,,,,,False,True,693,677,910,980,False
13676,07:33.934,182.0,68.0,,,,3,False,True,1587,707,1685,883,False,False,,,,,False,True,506,686,737,989,False
13691,07:34.432,182.0,68.0,0.0,0.0,0.0,3,False,True,1391,710,1490,889,False,False,,,,,False,True,245,698,519,1012,False
13706,07:34.930,182.0,68.0,0.0,0.0,0.0,3,False,True,1164,718,1258,895,False,False,,,,,False,True,-74,661,209,1018,False
13721,07:35.428,182.0,68.0,0.0,0.0,0.0,3,False,True,1177,717,1269,895,False,False,,,,,False,True,-57,646,227,1004,False
13736,07:35.926,182.0,68.0,0.0,0.0,0.0,3,False,True,1187,705,1279,882,False,False,,,,,False,True,-48,637,236,978,False
13751,07:36.423,182.0,68.0,0.0,0.0,0.0,3,False,True,1206,698,1298,876,False,False,,,,,False,True,-28,615,264,964,False
13766,07:36.921,182.0,68.0,0.0,0.0,0.0,3,False,True,1211,695,1305,874,False,False,,,,,False,True,-18,612,277,962,False
13781,07:37.419,182.0,68.0,0.0,0.0,0.0,3,False,True,1166,710,1257,876,False,False,,,,,False,True,-88,634,197,986,False
13796,07:37.917,182.0,68.0,0.0,0.0,0.0,2,False,True,1155,686,1248,864,False,False,,,,,False,True,773,785,931,1049,False
13811,07:38.415,182.0,68.0,0.0,0.0,0.0,2,False,True,1157,694,1249,869,False,False,,,,,False,True,768,796,929,1053,False
13826,07:38.913,182.0,68.0,0.0,0.0,0.0,2,False,True,1147,712,1239,888,False,False,,,,,False,True,759,818,917,1075,False
13841,07:39.411,182.0,68.0,0.0,0.0,0.0,2,False,True,1134,711,1228,884,False,False,,,,,False,True,743,819,904,1076,False
13856,07:39.909,182.0,68.0,0.0,0.0,0.0,2,False,True,1106,698,1198,869,False,False,,,,,False,True,714,801,879,1066,False
13871,07:40.407,182.0,68.0,0.0,0.0,0.0,2,False,True,1074,699,1166,874,False,False,,,,,False,True,679,812,843,1073,False
13886,07:40.904,182.0,68.0,0.0,0.0,0.0,2,False,True,1026,629,1117,805,False,False,,,,,False,True,619,740,786,999,False
13901,07:41.402,182.0,68.0,0.0,0.0,0.0,2,False,True,1048,603,1142,778,False,False,,,,,False,True,643,697,811,963,False
13916,07:41.900,182.0,68.0,0.0,0.0,0.0,2,False,True,1054,594,1144,771,False,False,,,,,False,True,648,681,817,955,False
13931,07:42.398,182.0,58.0,0.0,-10.0,10.0,3,False,True,1224,611,1318,788,False,False,,,,,False,True,-143,440,206,846,False
13946,07:42.896,882.0,734.0,700.0,676.0,973.1269187521226,3,True,True,1918,651,2032,857,False,False,,,,,False,True,732,556,991,869,True
13961,07:43.394,182.0,58.0,-700.0,-676.0,973.1269187521226,3,False,True,2064,758,2186,972,False,False,,,,,False,True,1615,860,1780,1130,False
13976,07:43.892,950.0,806.0,768.0,748.0,1072.0671620752125,3,True,True,1988,766,2106,969,False,False,,,,,False,True,1556,873,1716,1132,False
13991,07:44.390,182.0,68.0,-768.0,-738.0,1065.1140783972392,3,False,True,1913,783,2026,988,False,False,,,,,False,True,1494,890,1653,1149,False
14006,07:44.887,182.0,68.0,0.0,0.0,0.0,3,False,True,1867,792,1980,993,False,False,,,,,False,True,1453,894,1609,1153,False
14021,07:45.385,182.0,68.0,0.0,0.0,0.0,3,False,True,1867,822,1980,1019,False,False,,,,,False,True,1452,913,1608,1178,False
14036,07:45.883,182.0,68.0,0.0,0.0,0.0,3,False,True,1861,847,1975,1044,False,False,,,,,False,True,1449,938,1604,1202,False
14051,07:46.381,182.0,68.0,0.0,0.0,0.0,3,False,True,1861,849,1973,1044,False,False,,,,,False,True,1447,938,1602,1203,False
14066,07:46.879,182.0,68.0,0.0,0.0,0.0,3,False,True,1863,844,1978,1044,False,False,,,,,False,True,1449,942,1605,1200,False
14081,07:47.377,182.0,68.0,0.0,0.0,0.0,3,False,True,1875,840,1988,1038,False,False,,,,,False,True,1454,928,1611,1188,False
14096,07:47.875,182.0,68.0,0.0,0.0,0.0,3,False,True,1767,737,1870,930,False,False,,,,,False,True,1361,815,1509,1067,False
14111,07:48.373,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,649,817,817,1089,False
14126,07:48.870,182.0,68.0,0.0,0.0,0.0,2,False,True,1094,675,1181,844,False,False,,,,,False,True,684,745,851,1018,False
14141,07:49.368,182.0,68.0,0.0,0.0,0.0,3,False,True,1743,660,1845,851,False,False,,,,,False,True,519,559,810,906,False
14156,07:49.866,182.0,68.0,0.0,0.0,0.0,3,False,True,1865,736,1977,937,False,False,,,,,False,True,1446,825,1599,1083,False
14171,07:50.364,182.0,68.0,0.0,0.0,0.0,3,False,True,1492,758,1585,935,False,False,,,,,False,True,205,593,536,955,False
14186,07:50.862,182.0,68.0,0.0,0.0,0.0,2,False,True,972,738,1064,919,False,False,,,,,False,True,542,823,721,1100,False
14201,07:51.360,182.0,68.0,0.0,0.0,0.0,2,False,True,815,736,912,921,False,False,,,,,False,True,343,835,541,1115,False
14216,07:51.858,182.0,68.0,0.0,0.0,0.0,1,False,True,82,764,221,990,False,False,,,,,False,False,,,,,False
14231,07:52.356,1556.0,926.0,1374.0,858.0,1619.8888850782328,0,False,False,,,,,False,False,,,,,False,False,,,,,False
14246,07:52.854,1586.0,926.0,30.0,0.0,30.0,1,False,True,-30,774,133,1020,False,False,,,,,False,False,,,,,False
14261,07:53.351,1432.0,776.0,-154.0,-150.0,214.97906874856446,1,False,True,-58,770,109,1018,False,False,,,,,False,False,,,,,False
14276,07:53.849,182.0,68.0,-1250.0,-708.0,1436.5806625456157,2,False,True,896,745,989,925,False,False,,,,,False,True,440,824,628,1100,False
14291,07:54.347,182.0,68.0,0.0,0.0,0.0,2,False,True,1119,812,1205,988,False,False,,,,,False,True,708,893,873,1161,False
14306,07:54.845,182.0,68.0,0.0,0.0,0.0,2,False,True,1163,801,1248,976,False,False,,,,,False,True,757,877,918,1146,False
14321,07:55.343,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,693,863,858,1138,False
14336,07:55.841,182.0,68.0,0.0,0.0,0.0,2,False,True,1086,787,1174,964,False,False,,,,,False,True,665,859,835,1136,False
14351,07:56.339,182.0,68.0,0.0,0.0,0.0,2,False,True,935,768,1026,940,False,False,,,,,False,True,487,852,672,1133,False
14366,07:56.837,182.0,68.0,0.0,0.0,0.0,2,False,True,903,760,995,934,False,False,,,,,False,True,450,840,641,1130,False
14381,07:57.334,182.0,68.0,0.0,0.0,0.0,2,False,True,881,755,972,937,False,False,,,,,False,True,424,851,614,1133,False
14396,07:57.832,182.0,68.0,0.0,0.0,0.0,2,False,True,879,754,968,921,False,False,,,,,False,True,421,845,611,1132,False
14411,07:58.330,1216.0,642.0,1034.0,574.0,1182.6377298226198,2,False,True,871,750,964,928,False,False,,,,,False,True,416,842,606,1125,False
14426,07:58.828,182.0,58.0,-1034.0,-584.0,1187.5234734522094,2,False,True,867,733,964,914,False,False,,,,,False,True,407,820,602,1109,False
14441,07:59.326,182.0,58.0,0.0,0.0,0.0,2,False,True,877,708,969,886,False,False,,,,,False,True,412,773,606,1070,False
14456,07:59.824,,,,,,2,False,True,1158,704,1248,881,False,False,,,,,False,True,744,766,906,1039,False
14471,08:00.322,,,,,,3,False,True,1452,665,1540,842,False,False,,,,,False,True,168,459,503,826,False
14486,08:00.820,,,,,,3,False,True,1311,685,1400,866,False,False,,,,,False,True,-38,439,320,840,False
14501,08:01.318,,,,,,3,False,True,1337,662,1424,845,False,False,,,,,False,True,-10,458,362,855,False
14516,08:01.815,182.0,68.0,,,,2,False,True,1131,653,1219,832,False,False,,,,,False,True,716,726,878,987,False
14531,08:02.313,182.0,68.0,0.0,0.0,0.0,2,False,True,1047,634,1137,811,False,False,,,,,False,True,624,696,795,971,False
14546,08:02.811,182.0,68.0,0.0,0.0,0.0,2,False,True,1143,637,1231,814,False,False,,,,,False,True,726,691,890,964,False
14561,08:03.309,182.0,68.0,0.0,0.0,0.0,2,False,True,1146,638,1234,815,False,False,,,,,False,True,731,693,893,961,False
14576,08:03.807,182.0,68.0,0.0,0.0,0.0,2,False,True,1146,633,1232,811,False,False,,,,,False,True,728,684,892,958,False
14591,08:04.305,182.0,68.0,0.0,0.0,0.0,2,False,True,1216,616,1300,795,False,False,,,,,False,True,804,670,963,933,False
14606,08:04.803,182.0,68.0,0.0,0.0,0.0,2,False,True,1177,627,1261,807,False,False,,,,,False,True,760,683,922,953,False
14621,08:05.301,182.0,68.0,0.0,0.0,0.0,2,False,True,1171,597,1262,782,False,False,,,,,False,True,757,672,919,935,False
14636,08:05.798,182.0,68.0,0.0,0.0,0.0,2,False,True,952,678,1046,857,False,False,,,,,False,True,474,770,669,1059,False
14651,08:06.296,182.0,68.0,0.0,0.0,0.0,2,False,True,1247,713,1341,904,False,False,,,,,False,True,782,775,960,1062,False
14666,08:06.794,182.0,68.0,0.0,0.0,0.0,3,False,True,1469,586,1565,780,False,False,,,,,False,True,26,393,396,805,False
14681,08:07.292,182.0,68.0,0.0,0.0,0.0,3,False,True,1723,585,1829,781,False,False,,,,,False,True,1281,667,1438,927,False
14696,08:07.790,182.0,68.0,0.0,0.0,0.0,3,False,True,1462,511,1558,697,False,False,,,,,False,True,92,389,430,762,False
14711,08:08.288,,,,,,2,False,True,1249,609,1340,788,False,False,,,,,False,True,816,675,979,940,False
14726,08:08.786,,,,,,2,False,True,1064,686,1152,866,False,False,,,,,False,True,602,760,779,1033,False
14741,08:09.284,,,,,,2,False,True,1101,668,1187,853,False,False,,,,,False,True,639,732,814,1011,False
14756,08:09.781,,,,,,2,False,True,1103,666,1194,849,False,False,,,,,False,True,652,729,825,1007,False
14771,08:10.279,182.0,58.0,,,,2,False,True,1132,845,1223,1025,False,False,,,,,False,True,679,909,851,1186,False
14786,08:10.777,182.0,58.0,0.0,0.0,0.0,2,False,True,1129,782,1222,965,False,False,,,,,False,True,681,846,851,1120,False
14801,08:11.275,182.0,58.0,0.0,0.0,0.0,2,False,True,1099,814,1187,995,False,False,,,,,False,True,640,866,812,1144,False
