participant_num,group_num,start_time
008,3,1:47
009,3,10:16
010,3,7:49
011,3,4:12
013,4,0:23
014,4,7:22
016,5,4:37
017,5,9:16
018,5,6:25
019,6,3:18
020,6,5:53
021,6,9:23
022,7,9:23
023,7,5:14
024,7,7:14
025,7,13:17
026,8,6:01
027,8,8:41
028,8,12:05
029,9,3:03
030,9,7:53
031,9,7:39
032,9,10:55
033,10,3:21
034,10,3:04
035,10,8:53
036,10,12:06
037,11,4:16
038,11,7:06
039,12,3:57
040,12,6:53
041,12,8:32
042,13,3:40
043,13,5:19
044,13,8:03
045,14,8:13
046,14,15:57
047,14,19:24
048,14,13:00
049,15,5:56
050,15,9:27
051,16,1:46
052,16,7:50
053,17,3:02
054,17,6:34
055,18,3:51
056,18,6:34
057,19,7:51
058,19,9:27
059,19,12:10
060,19,3:44
061,20,2:59
062,20,4:27
063,21,4:54
064,21,8:09
065,21,13:47
066,22,0:58
067,22,3:04
068,22,9:26
069,22,6:18
070,23,4:39
071,23,7:04
072,23,10:20
073,23,13:33
074,24,2:44
075,24,5:04
076,24,8:30
077,25,3:35
078,25,5:31
079,25,9:57
080,26,2:05
081,26,4:51
082,27,6:36
083,27,8:29
084,27,12:22
085,28,4:15
086,28,6:10
087,28,9:03
088,29,1:02
089,29,3:11
090,30,4:04
091,30,6:36
092,31,4:26
093,31,5:10
094,31,8:42
095,31,12:33
100,33,7:12
101,33,9:11
103,34,2:19
104,34,4:53
105,34,7:23
106,34,17:31
107,35,5:13
108,35,10:51
109,35,7:31
110,35,13:45
111,36,5:10
112,36,8:01
113,36,2:48
114,36,5:21
115,37,2:10
116,37,4:22
117,37,6:13
118,38,12:27
119,38,4:03
120,38,13:46
121,38,10:15
122,39,6:28
123,39,8:29
124,39,10:43
125,40,2:07
126,40,8:34
127,40,5:43
128,41,2:27
129,41,2:20
130,42,2:50
131,42,4:51
132,43,4:09
133,43,6:39
134,43,5:39
135,44,5:02
136,44,7:17
137,44,4:03
138,44,6:57
139,45,1:27
140,45,5:38
141,46,3:45
142,46,6:19
143,46,8:18
