ParticipantNum,GroupSize,Spatiality,Environment,TotalFrames,ZeroFace,OneFace,TwoFace,ThreeFace,FourFace
2,4,Spatial,MR,2524,732,586,1201,5,0
4,4,Spatial,MR,2524,46,878,1595,5,0
9,4,Spatial,MR,3693,237,2202,1127,127,0
10,4,Spatial,MR,3808,248,1789,1760,11,0
13,4,Window,MR,2654,339,409,275,1604,27
14,4,Window,MR,2602,249,63,747,1541,2
16,3,Window,VR,2660,249,213,2197,1,0
17,3,Window,VR,2632,4,39,2571,18,0
18,3,Window,VR,2642,4,39,2581,18,0
19,3,Spatial,VR,2642,138,1751,753,0,0
20,3,Spatial,VR,2644,291,1393,960,0,0
21,3,Spatial,VR,2644,110,1724,810,0,0
22,4,Window,VR,2822,130,670,591,1431,0
23,4,Window,VR,2829,133,85,250,2361,0
24,4,Window,VR,2810,145,73,266,2326,0
25,4,Window,VR,2827,71,94,125,2537,0
26,3,Window,MR,2812,39,34,2726,13,0
27,3,Window,MR,2818,13,2,2790,13,0
28,3,Window,MR,2809,95,52,2561,101,0
29,4,Spatial,VR,2832,545,611,1567,109,0
30,4,Spatial,VR,2830,171,723,1826,110,0
31,4,Spatial,VR,2842,200,992,1638,12,0
32,4,Spatial,VR,2830,27,984,1817,2,0
33,4,Spatial,MR,3038,251,813,1950,24,0
34,4,Spatial,MR,3024,433,622,1955,14,0
35,4,Spatial,MR,3040,21,765,2245,9,0
36,4,Spatial,MR,3022,6,276,2735,5,0
37,2,Window,VR,2600,139,2461,0,0,0
38,2,Window,VR,3210,100,3110,0,0,0
39,3,Spatial,VR,2758,526,769,1463,0,0
40,3,Spatial,VR,2760,246,2108,406,0,0
41,3,Spatial,VR,2776,202,1544,1030,0,0
42,3,Spatial,MR,2668,268,1424,975,1,0
43,3,Spatial,MR,2670,232,631,1807,0,0
44,3,Spatial,MR,2694,56,1311,1327,0,0
45,4,Spatial,MR,2794,641,1348,805,0,0
46,4,Spatial,MR,2787,158,506,2123,0,0
47,4,Spatial,MR,2716,74,745,1897,0,0
48,4,Spatial,MR,2800,30,458,2047,264,1
49,2,Window,MR,1708,16,1629,63,0,0
50,2,Window,MR,2622,4,2618,0,0,0
51,2,Spatial,VR,2738,411,2327,0,0,0
52,2,Spatial,VR,2575,61,2514,0,0,0
53,2,Spatial,MR,2605,301,2303,1,0,0
54,2,Spatial,MR,1826,960,864,2,0,0
55,2,Window,VR,2612,50,2562,0,0,0
56,2,Window,VR,2604,31,2573,0,0,0
57,4,Spatial,VR,2954,580,1649,719,6,0
58,4,Spatial,VR,2968,136,1181,1651,0,0
59,4,Spatial,VR,2968,7,1306,1634,21,0
60,4,Spatial,VR,2972,77,601,2273,21,0
61,2,Spatial,MR,2622,255,2317,50,0,0
62,2,Spatial,MR,2616,79,2537,0,0,0
63,3,Window,MR,3658,204,325,2513,613,3
64,3,Window,MR,2862,20,40,2802,0,0
65,3,Window,MR,2847,13,4,2805,25,0
66,4,Window,VR,3882,194,84,536,2832,236
67,4,Window,VR,3892,35,86,745,3010,15
68,4,Window,VR,3888,385,55,86,2192,1170
69,4,Window,VR,3402,77,57,567,2691,10
70,4,Window,MR,2760,60,27,93,2574,6
71,4,Window,MR,2762,60,37,299,2366,0
