Target_Face_Count,Condition,Coefficient_LogOdds,P_Value,Std_Error
ZeroFace,Intercept,-2.4223,0.0,0.2312
ZeroFace,C(GroupSize)[T.3],-0.2954,0.24715,0.2553
ZeroFace,C(GroupSize)[T.4],-0.181,0.45952,0.2447
ZeroFace,C(Spatiality)[T.Window],-1.3692,0.0,0.1795
ZeroFace,C(Environment)[T.VR],0.6144,0.00059,0.1789
OneFace,Intercept,1.2587,0.0,0.2304
OneFace,C(GroupSize)[T.3],-2.3899,0.0,0.2544
OneFace,C(GroupSize)[T.4],-2.6733,0.0,0.244
OneFace,C(Spatiality)[T.Window],-2.1246,0.0,0.1791
OneFace,C(Environment)[T.VR],0.2826,0.11324,0.1784
TwoFace,Intercept,-5.6702,0.0,0.2429
TwoFace,C(GroupSize)[T.3],5.5881,0.0,0.266
TwoFace,C(GroupSize)[T.4],4.9233,0.0,0.2558
TwoFace,C(Spatiality)[T.Window],-0.1822,0.31394,0.1809
TwoFace,C(Environment)[T.VR],-0.2878,0.11044,0.1803
ThreeFace,Intercept,-35.5544,0.99846,18382.626
ThreeFace,C(GroupSize)[T.3],27.2371,0.99882,18382.626
ThreeFace,C(GroupSize)[T.4],30.7005,0.99867,18382.626
ThreeFace,C(Spatiality)[T.Window],4.7735,0.0,0.2246
ThreeFace,C(Environment)[T.VR],-0.0152,0.94256,0.2114
FourFace,Intercept,-38.5961,0.99748,12226.0366
FourFace,C(GroupSize)[T.3],22.4877,0.99853,12226.0366
FourFace,C(GroupSize)[T.4],25.9901,0.9983,12226.0366
FourFace,C(Spatiality)[T.Window],7.5253,0.0,1.0305
FourFace,C(Environment)[T.VR],1.7338,0.0,0.3303
