time,faces_070,faces_071,faces_072,faces_073
186.0,3.0,,,
280.27,3.0,,,
280.3,3.0,,,
280.34,3.0,,,
280.37,3.0,,,
280.4,3.0,,,
280.43,3.0,,,
280.47,3.0,,,
280.5,3.0,,,
280.53,3.0,,,
280.57,3.0,,,
280.6,3.0,,,
280.64,3.0,,,
280.67,3.0,,,
280.7,3.0,,,
280.74,3.0,,,
280.77,3.0,,,
280.8,3.0,,,
280.84,3.0,,,
280.87,3.0,,,
280.9,3.0,,,
280.93,3.0,,,
280.97,3.0,,,
281.0,3.0,,,
281.03,3.0,,,
281.07,3.0,,,
281.1,3.0,,,
281.14,3.0,,,
281.17,3.0,,,
281.2,3.0,,,
281.24,3.0,,,
281.27,3.0,,,
281.3,3.0,,,
281.34,3.0,,,
281.37,3.0,,,
281.4,3.0,,,
281.43,3.0,,,
281.47,3.0,,,
281.5,3.0,,,
281.53,3.0,,,
281.57,3.0,,,
281.6,3.0,,,
281.64,3.0,,,
281.67,3.0,,,
281.7,3.0,,,
281.74,3.0,,,
281.77,3.0,,,
281.8,3.0,,,
281.84,3.0,,,
281.87,3.0,,,
281.9,3.0,,,
281.93,3.0,,,
281.97,3.0,,,
282.0,3.0,,,
282.03,3.0,,,
282.07,3.0,,,
282.1,3.0,,,
282.14,3.0,,,
282.17,3.0,,,
282.2,3.0,,,
282.24,3.0,,,
282.27,3.0,,,
282.3,3.0,,,
282.34,3.0,,,
282.37,3.0,,,
282.4,3.0,,,
282.43,3.0,,,
282.47,3.0,,,
282.5,3.0,,,
282.53,3.0,,,
282.57,3.0,,,
282.6,3.0,,,
282.64,3.0,,,
282.67,3.0,3.0,,
282.7,3.0,,,
282.74,3.0,,,
282.77,3.0,,,
282.8,3.0,,,
282.84,3.0,,,
282.87,3.0,,,
282.9,3.0,,,
282.93,3.0,,,
282.97,3.0,,,
283.0,3.0,,,
283.03,3.0,,,
283.07,3.0,,,
283.1,3.0,,,
283.14,3.0,,,
283.17,3.0,,,
283.2,3.0,,,
283.24,3.0,,,
283.27,3.0,,,
283.3,3.0,,,
283.34,3.0,,,
283.37,3.0,,,
283.4,3.0,,,
283.43,3.0,,,
283.47,3.0,,,
283.5,3.0,,,
283.54,3.0,,,
283.57,3.0,,,
283.6,3.0,,,
283.64,3.0,,,
283.67,3.0,,,
283.7,3.0,,,
283.74,3.0,,,
283.77,3.0,,,
283.8,3.0,,,
283.84,3.0,,,
283.87,3.0,,,
283.9,3.0,,,
283.94,3.0,,,
283.97,3.0,,,
284.0,3.0,,,
284.04,3.0,,,
284.07,3.0,,,
284.1,3.0,,,
284.14,3.0,,,
284.17,3.0,,,
284.2,3.0,,,
284.24,3.0,,,
284.27,3.0,,,
284.3,3.0,,,
284.34,3.0,,,
284.37,3.0,,,
284.4,3.0,,,
284.44,3.0,,,
284.47,3.0,,,
284.5,3.0,,,
284.54,3.0,,,
284.57,3.0,,,
284.6,3.0,,,
284.64,3.0,,,
284.67,3.0,,,
284.7,3.0,,,
284.74,3.0,,,
284.77,3.0,,,
284.8,3.0,,,
284.84,3.0,,,
284.87,3.0,,,
284.9,3.0,,,
284.94,3.0,,,
284.97,3.0,,,
285.0,3.0,,,
285.04,3.0,,,
285.07,3.0,,,
285.1,3.0,,,
285.14,3.0,,,
285.17,3.0,,,
285.2,3.0,,,
285.24,3.0,,,
285.27,3.0,,,
285.3,3.0,,,
285.34,3.0,,,
285.37,3.0,,,
285.4,3.0,,,
285.46,3.0,,,
285.5,3.0,,,
285.51,3.0,,,
285.54,3.0,,,
285.56,3.0,,,
285.6,3.0,,,
285.63,3.0,,,
285.66,3.0,,,
285.7,3.0,,,
285.73,3.0,,,
285.76,3.0,,,
285.79,3.0,,,
285.83,3.0,,,
285.86,3.0,,,
285.9,3.0,,,
285.93,3.0,,,
285.96,3.0,,,
286.0,3.0,,,
286.03,3.0,,,
286.06,3.0,,,
286.1,3.0,,,
286.13,3.0,,,
286.16,3.0,,,
286.2,3.0,,,
286.23,3.0,,,
286.26,3.0,,,
286.29,3.0,,,
286.33,3.0,,,
286.36,3.0,,,
286.4,3.0,,,
286.43,3.0,,,
286.46,3.0,,,
286.5,3.0,,,
286.53,3.0,,,
286.56,3.0,,,
286.6,3.0,,,
286.63,3.0,,,
286.66,3.0,,,
286.7,3.0,,,
286.73,3.0,,,
286.76,3.0,,,
286.79,3.0,,,
286.83,3.0,,,
286.86,3.0,,,
286.9,3.0,,,
286.93,3.0,,,
286.96,3.0,,,
287.0,3.0,,,
287.08,3.0,,,
287.1,3.0,,,
287.13,3.0,,,
287.16,3.0,,,
287.2,3.0,,,
287.23,3.0,,,
287.26,3.0,,,
287.29,3.0,,,
287.33,3.0,,,
287.36,3.0,,,
287.4,3.0,,,
287.43,3.0,,,
287.46,3.0,,,
287.5,3.0,,,
287.53,3.0,,,
287.56,3.0,,,
287.6,3.0,,,
287.63,3.0,,,
287.66,3.0,,,
287.7,3.0,,,
287.73,3.0,,,
