time,faces_077,faces_078,faces_079
143.33,0.0,,
214.26,0.0,,
214.3,0.0,,
214.33,0.0,,
214.36,1.0,,
214.4,1.0,,
214.43,1.0,,
214.46,1.0,,
214.5,1.0,,
214.53,2.0,,
214.56,2.0,,
214.6,2.0,,
214.63,2.0,,
214.66,2.0,,
214.7,2.0,,
214.73,2.0,,
214.76,2.0,,
214.8,1.0,,
214.83,1.0,,
214.86,0.0,,
214.9,0.0,,
214.93,0.0,,
214.96,0.0,,
215.0,0.0,,
215.03,0.0,,
215.06,0.0,,
215.1,0.0,,
215.13,0.0,,
215.16,0.0,,
215.2,0.0,,
215.23,0.0,,
215.26,0.0,,
215.3,0.0,,
215.33,0.0,,
215.36,0.0,,
215.4,0.0,,
215.43,0.0,,
215.46,0.0,,
215.5,0.0,,
215.53,0.0,,
215.56,0.0,,
215.6,0.0,,
215.63,0.0,,
215.66,0.0,,
215.7,0.0,,
215.73,0.0,,
215.76,0.0,,
215.8,0.0,,
215.83,0.0,,
215.86,0.0,,
215.9,0.0,,
215.93,0.0,,
215.96,0.0,,
216.0,0.0,,
216.03,0.0,,
216.06,0.0,,
216.1,0.0,,
216.13,0.0,,
216.17,0.0,,
216.2,0.0,,
216.23,0.0,,
216.26,0.0,,
216.3,0.0,,
216.33,0.0,,
216.36,0.0,,
216.4,0.0,,
216.43,0.0,,
216.46,0.0,,
216.5,0.0,,
216.53,0.0,,
216.56,0.0,,
216.6,0.0,,
216.63,0.0,,
216.67,0.0,,
216.7,0.0,,
216.73,0.0,,
216.76,0.0,,
216.8,0.0,,
216.83,0.0,,
216.86,0.0,,
216.9,0.0,,
216.93,0.0,,
216.96,0.0,,
217.0,0.0,,
217.03,1.0,,
217.06,1.0,,
217.1,1.0,,
217.13,1.0,,
217.15,2.0,,
217.17,2.0,,
217.2,2.0,,
217.23,2.0,,
217.26,2.0,,
217.3,2.0,,
217.33,2.0,,
217.36,2.0,,
217.4,2.0,,
217.43,2.0,,
217.46,2.0,,
217.5,2.0,,
217.53,2.0,,
217.56,2.0,,
217.6,2.0,,
217.63,2.0,,
217.67,2.0,,
217.7,2.0,,
217.73,2.0,,
217.76,2.0,,
217.8,2.0,,
217.83,2.0,,
217.86,2.0,,
217.9,2.0,,
217.93,2.0,,
217.96,2.0,,
218.0,2.0,,
218.03,2.0,,
218.06,2.0,,
218.1,2.0,,
218.13,2.0,,
218.17,2.0,,
218.2,2.0,,
218.23,2.0,,
218.26,2.0,,
218.3,2.0,,
218.33,2.0,,
218.36,2.0,,
218.4,2.0,,
218.43,2.0,,
218.46,2.0,,
218.5,2.0,,
218.53,2.0,,
218.56,2.0,,
218.6,2.0,,
218.63,2.0,,
218.67,2.0,,
218.7,2.0,,
218.73,2.0,,
218.76,2.0,,
218.8,2.0,,
218.83,2.0,,
218.86,2.0,,
218.9,2.0,,
218.93,2.0,,
218.96,2.0,,
219.0,2.0,,
219.03,2.0,,
219.06,2.0,,
219.1,2.0,,
219.13,2.0,,
219.17,2.0,,
219.2,2.0,,
219.23,2.0,,
219.26,2.0,,
219.3,2.0,,
219.33,2.0,,
219.36,2.0,,
219.4,2.0,,
219.43,2.0,,
219.46,2.0,,
219.5,2.0,,
219.53,2.0,,
219.56,2.0,,
219.6,2.0,,
219.63,2.0,,
219.67,2.0,,
219.7,2.0,,
219.73,2.0,,
219.76,2.0,,
219.8,2.0,,
219.83,2.0,,
219.86,2.0,,
219.9,2.0,,
219.93,2.0,,
219.97,2.0,,
220.0,2.0,,
220.03,2.0,,
220.07,2.0,,
220.1,2.0,,
220.13,2.0,,
220.17,2.0,,
220.2,2.0,,
220.23,2.0,,
220.27,2.0,,
220.3,2.0,,
220.33,2.0,,
220.37,2.0,,
220.4,2.0,,
220.43,2.0,,
220.47,2.0,,
220.5,2.0,,
220.53,2.0,,
220.57,2.0,,
220.6,2.0,,
220.63,2.0,,
220.67,2.0,1.0,
220.7,2.0,,
220.73,2.0,,
220.77,2.0,,
220.8,2.0,,
220.83,2.0,,
220.87,2.0,,
220.9,2.0,,
220.93,2.0,,
220.97,2.0,,
221.0,2.0,,
221.03,2.0,,
221.07,2.0,,
221.1,2.0,,
221.13,2.0,,
221.17,2.0,,
221.2,2.0,,
221.23,2.0,,
221.27,2.0,,
221.3,2.0,,
221.33,2.0,,
221.37,2.0,,
221.4,2.0,,
221.43,2.0,,
221.47,2.0,,
221.5,2.0,,
221.53,2.0,,
221.57,2.0,,
221.6,2.0,,
221.63,2.0,,
221.67,2.0,,
221.7,2.0,,
221.73,2.0,,
221.77,2.0,,
221.8,2.0,,
221.83,2.0,,
221.87,2.0,,
221.9,2.0,,
221.93,2.0,,
221.97,2.0,,
222.0,2.0,,
222.03,2.0,,
222.07,2.0,,
222.1,2.0,,
222.13,2.0,,
222.17,2.0,,
222.2,2.0,,
222.23,2.0,,
222.27,2.0,,
222.3,2.0,,
222.33,2.0,,
222.37,2.0,,
222.4,2.0,,
222.43,2.0,,
222.47,2.0,,
222.5,2.0,,
222.53,2.0,,
222.57,2.0,,
222.6,2.0,,
222.63,2.0,,
222.67,2.0,,
222.7,2.0,,
222.73,2.0,,
222.77,2.0,,
222.8,2.0,,
222.83,2.0,,
222.87,2.0,,
222.9,2.0,,
222.93,2.0,,
222.97,2.0,,
223.0,2.0,,
223.03,2.0,,
223.07,2.0,,
223.1,2.0,,
223.13,2.0,,
223.17,2.0,,
223.2,2.0,,
223.23,2.0,,
223.26,2.0,,
223.29,2.0,,
223.32,2.0,,
223.36,2.0,,
223.39,2.0,,
223.42,2.0,,
223.46,2.0,,
223.49,2.0,,
223.52,2.0,,
223.56,2.0,,
223.59,2.0,,
223.62,2.0,,
223.66,2.0,,
223.69,2.0,,
223.73,2.0,,
223.76,2.0,,
223.79,2.0,,
223.82,2.0,,
223.86,2.0,,
223.89,2.0,,
223.93,2.0,,
223.96,2.0,,
223.99,2.0,,
224.03,2.0,,
224.06,2.0,,
224.09,2.0,,
224.13,2.0,,
224.16,2.0,,
224.19,2.0,,
224.23,2.0,,
224.26,2.0,,
224.29,2.0,,
224.33,2.0,,
224.36,2.0,,
224.39,2.0,,
224.43,2.0,,
224.46,2.0,,
224.49,2.0,,
224.53,2.0,,
224.56,2.0,,
224.59,2.0,,
224.63,2.0,,
224.66,2.0,,
224.69,2.0,,
224.73,2.0,,
224.76,2.0,,
224.79,2.0,,
224.83,2.0,,
224.86,2.0,,
224.89,2.0,,
224.93,2.0,,
224.96,2.0,,
224.99,2.0,,
225.03,2.0,,
225.06,2.0,,
225.09,2.0,,
225.13,2.0,,
225.16,2.0,,
225.19,2.0,,
225.23,2.0,,
225.26,2.0,,
225.29,2.0,,
225.33,2.0,,
225.36,2.0,,
225.39,2.0,,
225.43,2.0,,
225.46,2.0,,
225.49,2.0,,
225.53,2.0,,
225.56,2.0,,
225.59,2.0,,
225.63,2.0,,
