time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
0.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
1.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
1.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
2.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
2.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
3.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
3.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
4.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
4.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
5.0,1,0,0.95,0.97,405.0,1185.0,Grid/MR
5.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
6.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
6.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
7.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
7.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
8.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
8.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
9.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
9.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
10.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
10.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
11.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
11.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
12.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
12.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
13.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
13.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
14.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
14.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
15.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
15.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
16.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
16.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
17.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
17.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
18.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
18.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
19.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
19.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
20.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
20.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
21.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
21.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
22.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
22.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
23.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
23.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
24.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
24.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
25.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
25.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
26.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
26.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
27.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
27.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
28.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
28.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
29.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
29.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
30.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
30.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
31.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
31.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
32.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
32.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
33.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
33.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
34.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
34.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
35.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
35.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
36.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
36.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
37.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
37.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
38.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
38.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
39.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
39.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
40.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
40.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
41.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
41.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
42.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
42.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
43.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
43.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
44.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
44.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
45.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
45.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
46.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
46.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
47.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
47.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
48.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
48.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
49.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
49.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
50.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
50.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
51.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
51.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
52.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
52.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
53.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
