time,faces_019,faces_020,faces_021,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
0.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
1.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
1.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
2.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
2.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
3.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
3.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
4.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
4.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
5.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
5.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
6.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
6.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
7.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
7.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
8.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
8.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
9.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
9.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
10.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
10.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
11.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
11.5,1.0,0,0,0.63,0.72,474.0,1254.0,Spatial/VR
12.0,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
12.5,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
13.0,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
13.5,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
14.0,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
14.5,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
15.0,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
15.5,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
16.0,1.0,0,1,0.63,0.72,474.0,1254.0,Spatial/VR
16.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
17.0,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
17.5,1.0,0,1,0.67,0.75,474.0,1254.0,Spatial/VR
