frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
27445,14:21.000,14:21.002,0,,,,,,,,
27460,14:21.500,14:21.502,0,,,,,,,,
27475,14:22.000,14:22.002,2,401.0,699.0,575.0,919.0,2067.0,720.0,2274.0,945.0
27490,14:22.500,14:22.502,2,122.0,710.0,332.0,942.0,1823.0,746.0,2000.0,954.0
27505,14:23.000,14:23.002,2,326.0,692.0,504.0,919.0,1978.0,714.0,2159.0,929.0
27520,14:23.500,14:23.502,2,290.0,705.0,460.0,921.0,1924.0,745.0,2094.0,957.0
27535,14:24.000,14:24.002,2,1841.0,745.0,2006.0,957.0,174.0,684.0,365.0,906.0
27550,14:24.500,14:24.503,1,1503.0,713.0,1656.0,910.0,,,,
27565,14:25.000,14:25.003,1,1503.0,676.0,1651.0,881.0,,,,
27580,14:25.500,14:25.503,1,1539.0,724.0,1684.0,918.0,,,,
27595,14:26.000,14:26.003,1,1580.0,663.0,1725.0,858.0,,,,
27610,14:26.500,14:26.503,2,1634.0,668.0,1782.0,867.0,-67.0,621.0,109.0,862.0
27625,14:27.000,14:27.003,2,1610.0,674.0,1759.0,881.0,-70.0,640.0,94.0,881.0
27640,14:27.500,14:27.503,2,-12.0,671.0,171.0,907.0,1664.0,727.0,1813.0,924.0
27655,14:28.000,14:28.003,2,45.0,719.0,244.0,954.0,1716.0,773.0,1877.0,976.0
27671,14:28.500,14:28.528,1,1544.0,760.0,1702.0,959.0,,,,
27686,14:29.000,14:29.030,1,1531.0,717.0,1685.0,914.0,,,,
27701,14:29.500,14:29.530,1,1473.0,734.0,1621.0,928.0,,,,
27716,14:30.000,14:30.030,1,1508.0,703.0,1658.0,899.0,,,,
27731,14:30.500,14:30.530,1,1522.0,712.0,1673.0,905.0,,,,
27746,14:31.000,14:31.030,1,1607.0,710.0,1765.0,909.0,,,,
27761,14:31.500,14:31.530,2,0.0,666.0,198.0,912.0,1699.0,724.0,1865.0,923.0
27776,14:32.000,14:32.030,2,1717.0,730.0,1883.0,932.0,41.0,679.0,243.0,924.0
27791,14:32.500,14:32.530,2,1732.0,726.0,1900.0,928.0,61.0,677.0,260.0,922.0
27806,14:33.000,14:33.032,2,2083.0,688.0,2280.0,923.0,509.0,695.0,647.0,898.0
27821,14:33.500,14:33.532,2,2125.0,708.0,2318.0,942.0,550.0,716.0,687.0,915.0
27836,14:34.000,14:34.032,2,2004.0,697.0,2183.0,919.0,437.0,717.0,581.0,924.0
27851,14:34.500,14:34.532,2,1967.0,716.0,2140.0,925.0,388.0,727.0,535.0,930.0
27866,14:35.000,14:35.032,2,1954.0,730.0,2122.0,939.0,348.0,733.0,495.0,945.0
27881,14:35.500,14:35.532,2,1957.0,708.0,2129.0,921.0,344.0,723.0,489.0,933.0
27896,14:36.000,14:36.032,2,1992.0,756.0,2171.0,981.0,382.0,765.0,526.0,961.0
27911,14:36.500,14:36.532,2,2051.0,718.0,2236.0,951.0,422.0,697.0,582.0,897.0
27926,14:37.000,14:37.032,2,411.0,720.0,570.0,923.0,2025.0,739.0,2214.0,961.0
27940,14:37.500,14:37.500,2,1983.0,726.0,2160.0,950.0,383.0,731.0,537.0,939.0
27955,14:38.000,14:38.000,2,1981.0,718.0,2158.0,943.0,395.0,721.0,543.0,924.0
27970,14:38.500,14:38.500,2,1983.0,725.0,2159.0,947.0,380.0,716.0,527.0,925.0
27985,14:39.000,14:39.000,2,1987.0,717.0,2164.0,943.0,383.0,723.0,530.0,925.0
28000,14:39.500,14:39.500,2,1986.0,741.0,2166.0,960.0,375.0,735.0,527.0,941.0
28015,14:40.000,14:40.000,2,1973.0,736.0,2155.0,954.0,350.0,728.0,512.0,943.0
28030,14:40.500,14:40.500,2,1925.0,694.0,2110.0,910.0,293.0,674.0,465.0,895.0
28046,14:41.000,14:41.033,2,83.0,709.0,285.0,933.0,1772.0,731.0,1927.0,938.0
28060,14:41.500,14:41.502,2,3.0,705.0,210.0,930.0,1722.0,731.0,1873.0,942.0
28075,14:42.000,14:42.002,2,-3.0,714.0,198.0,942.0,1716.0,746.0,1870.0,952.0
28090,14:42.500,14:42.502,2,80.0,719.0,277.0,949.0,1767.0,759.0,1926.0,967.0
28105,14:43.000,14:43.002,2,264.0,738.0,429.0,953.0,1888.0,756.0,2056.0,979.0
28120,14:43.500,14:43.502,2,227.0,728.0,407.0,949.0,1866.0,745.0,2031.0,959.0
28135,14:44.000,14:44.002,2,1865.0,761.0,2049.0,971.0,218.0,743.0,397.0,957.0
28150,14:44.500,14:44.502,2,1849.0,730.0,2033.0,945.0,190.0,721.0,369.0,937.0
28165,14:45.000,14:45.002,2,1863.0,753.0,2048.0,968.0,198.0,723.0,386.0,946.0
28180,14:45.500,14:45.503,2,1839.0,686.0,2022.0,895.0,152.0,651.0,349.0,879.0
28195,14:46.000,14:46.003,2,81.0,608.0,290.0,836.0,1808.0,672.0,1986.0,887.0
28210,14:46.500,14:46.503,2,113.0,622.0,319.0,850.0,1812.0,678.0,1991.0,887.0
28225,14:47.000,14:47.003,2,114.0,601.0,325.0,833.0,1811.0,611.0,1992.0,829.0
