frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
8134,04:12.000,04:12.025,0,,,,,,,,,,,,
8149,04:12.500,04:12.525,0,,,,,,,,,,,,
8164,04:13.000,04:13.027,0,,,,,,,,,,,,
8179,04:13.500,04:13.527,0,,,,,,,,,,,,
8194,04:14.000,04:14.027,0,,,,,,,,,,,,
8209,04:14.500,04:14.527,0,,,,,,,,,,,,
8224,04:15.000,04:15.027,0,,,,,,,,,,,,
8240,04:15.500,04:15.527,0,,,,,,,,,,,,
8255,04:16.000,04:16.027,0,,,,,,,,,,,,
8270,04:16.500,04:16.502,1,1485.0,971.0,1533.0,1036.0,,,,,,,,
8286,04:17.000,04:17.028,0,,,,,,,,,,,,
8301,04:17.500,04:17.528,1,1489.0,895.0,1537.0,958.0,,,,,,,,
8316,04:18.000,04:18.028,1,1443.0,944.0,1489.0,1006.0,,,,,,,,
8331,04:18.500,04:18.528,0,,,,,,,,,,,,
8346,04:19.000,04:19.028,1,1339.0,949.0,1385.0,1011.0,,,,,,,,
8361,04:19.500,04:19.528,0,,,,,,,,,,,,
8376,04:20.000,04:20.028,0,,,,,,,,,,,,
8391,04:20.500,04:20.528,0,,,,,,,,,,,,
8406,04:21.000,04:21.030,0,,,,,,,,,,,,
8418,04:21.500,04:21.547,0,,,,,,,,,,,,
8435,04:22.000,04:22.022,0,,,,,,,,,,,,
8449,04:22.500,04:22.530,0,,,,,,,,,,,,
8464,04:23.000,04:23.030,1,1124.0,941.0,1255.0,1119.0,,,,,,,,
8479,04:23.500,04:23.530,1,1141.0,894.0,1273.0,1074.0,,,,,,,,
8494,04:24.000,04:24.030,1,1129.0,856.0,1261.0,1036.0,,,,,,,,
8509,04:24.500,04:24.530,1,1136.0,902.0,1265.0,1084.0,,,,,,,,
8524,04:25.000,04:25.030,1,1147.0,937.0,1279.0,1122.0,,,,,,,,
8539,04:25.500,04:25.532,1,1171.0,960.0,1299.0,1141.0,,,,,,,,
8554,04:26.000,04:26.032,1,1169.0,788.0,1295.0,967.0,,,,,,,,
8569,04:26.500,04:26.532,1,1188.0,617.0,1318.0,802.0,,,,,,,,
8579,04:27.000,04:27.007,1,1176.0,581.0,1307.0,768.0,,,,,,,,
8595,04:27.500,04:27.532,1,415.0,366.0,589.0,594.0,,,,,,,,
8610,04:28.000,04:28.032,1,652.0,496.0,806.0,705.0,,,,,,,,
8625,04:28.500,04:28.532,0,,,,,,,,,,,,
8641,04:29.000,04:29.032,0,,,,,,,,,,,,
8655,04:29.500,04:29.500,0,,,,,,,,,,,,
8670,04:30.000,04:30.000,1,755.0,650.0,903.0,846.0,,,,,,,,
8685,04:30.500,04:30.500,1,902.0,647.0,1045.0,844.0,,,,,,,,
8700,04:31.000,04:31.025,1,799.0,657.0,944.0,857.0,,,,,,,,
8716,04:31.500,04:31.525,1,186.0,668.0,380.0,900.0,,,,,,,,
8731,04:32.000,04:32.025,0,,,,,,,,,,,,
8746,04:32.500,04:32.525,1,2037.0,575.0,2183.0,782.0,,,,,,,,
8761,04:33.000,04:33.025,1,1124.0,611.0,1235.0,792.0,,,,,,,,
8776,04:33.500,04:33.527,0,,,,,,,,,,,,
8791,04:34.000,04:34.027,1,234.0,641.0,400.0,858.0,,,,,,,,
8807,04:34.500,04:34.527,1,391.0,685.0,536.0,892.0,,,,,,,,
8822,04:35.000,04:35.027,1,823.0,724.0,946.0,909.0,,,,,,,,
8838,04:35.500,04:35.527,1,903.0,787.0,1018.0,962.0,,,,,,,,
8853,04:36.000,04:36.027,1,41.0,743.0,219.0,970.0,,,,,,,,
8868,04:36.500,04:36.527,1,390.0,705.0,545.0,912.0,,,,,,,,
8883,04:37.000,04:37.027,1,811.0,697.0,941.0,887.0,,,,,,,,
8898,04:37.500,04:37.527,1,755.0,720.0,885.0,902.0,,,,,,,,
8914,04:38.000,04:38.028,1,682.0,792.0,816.0,980.0,,,,,,,,
8929,04:38.500,04:38.528,1,755.0,820.0,892.0,1012.0,,,,,,,,
8944,04:39.000,04:39.028,1,937.0,759.0,1068.0,963.0,,,,,,,,
8959,04:39.500,04:39.528,1,775.0,720.0,895.0,938.0,,,,,,,,
8974,04:40.000,04:40.028,1,497.0,617.0,649.0,855.0,,,,,,,,
8989,04:40.500,04:40.528,1,231.0,754.0,408.0,1020.0,,,,,,,,
9004,04:41.000,04:41.028,1,-78.0,661.0,187.0,979.0,,,,,,,,
9019,04:41.500,04:41.528,1,33.0,559.0,259.0,857.0,,,,,,,,
9034,04:42.000,04:42.030,1,25.0,525.0,232.0,825.0,,,,,,,,
9049,04:42.500,04:42.530,1,548.0,541.0,708.0,809.0,,,,,,,,
9065,04:43.000,04:43.030,1,-3.0,557.0,234.0,857.0,,,,,,,,
9080,04:43.500,04:43.530,1,817.0,558.0,998.0,812.0,,,,,,,,
9095,04:44.000,04:44.030,1,1017.0,552.0,1186.0,789.0,,,,,,,,
9110,04:44.500,04:44.530,1,1127.0,485.0,1318.0,751.0,,,,,,,,
9125,04:45.000,04:45.030,1,1170.0,363.0,1426.0,734.0,,,,,,,,
9140,04:45.500,04:45.563,1,1233.0,643.0,1484.0,990.0,,,,,,,,
9154,04:46.000,04:46.032,1,1141.0,701.0,1303.0,930.0,,,,,,,,
9169,04:46.500,04:46.532,0,,,,,,,,,,,,
9184,04:47.000,04:47.032,1,221.0,889.0,386.0,1091.0,,,,,,,,
9199,04:47.500,04:47.532,1,344.0,788.0,476.0,975.0,,,,,,,,
9214,04:48.000,04:48.032,1,311.0,965.0,440.0,1159.0,,,,,,,,
9229,04:48.500,04:48.532,0,,,,,,,,,,,,
9244,04:49.000,04:49.032,1,888.0,749.0,985.0,865.0,,,,,,,,
9259,04:49.500,04:49.532,2,1150.0,922.0,1246.0,1044.0,272.0,929.0,384.0,1124.0,,,,
9274,04:50.000,04:50.032,2,1245.0,672.0,1341.0,791.0,415.0,671.0,506.0,854.0,,,,
9287,04:50.500,04:50.500,2,1484.0,649.0,1591.0,780.0,630.0,641.0,733.0,839.0,,,,
9305,04:51.000,04:51.025,2,1377.0,499.0,1503.0,647.0,730.0,542.0,839.0,767.0,,,,
9320,04:51.500,04:51.525,1,1230.0,103.0,1364.0,274.0,,,,,,,,
9336,04:52.000,04:52.025,0,,,,,,,,,,,,
9351,04:52.500,04:52.525,1,1585.0,187.0,1690.0,328.0,,,,,,,,
9366,04:53.000,04:53.025,2,1685.0,433.0,1810.0,586.0,992.0,361.0,1113.0,592.0,,,,
9381,04:53.500,04:53.525,2,502.0,437.0,665.0,687.0,1342.0,499.0,1452.0,640.0,,,,
9396,04:54.000,04:54.025,2,357.0,528.0,548.0,782.0,1327.0,547.0,1441.0,692.0,,,,
9411,04:54.500,04:54.527,2,858.0,640.0,1014.0,865.0,1780.0,632.0,1911.0,779.0,,,,
9426,04:55.000,04:55.027,2,1453.0,673.0,1566.0,812.0,627.0,688.0,744.0,906.0,,,,
9441,04:55.500,04:55.527,2,1408.0,671.0,1520.0,805.0,580.0,688.0,688.0,915.0,,,,
9456,04:56.000,04:56.027,1,1423.0,666.0,1534.0,805.0,,,,,,,,
9471,04:56.500,04:56.527,1,1454.0,673.0,1565.0,810.0,,,,,,,,
9486,04:57.000,04:57.027,2,766.0,689.0,915.0,910.0,1628.0,663.0,1745.0,802.0,,,,
9501,04:57.500,04:57.527,2,758.0,679.0,914.0,912.0,1624.0,658.0,1740.0,792.0,,,,
9516,04:58.000,04:58.027,2,640.0,750.0,806.0,977.0,1516.0,730.0,1627.0,858.0,,,,
9532,04:58.500,04:58.527,2,576.0,793.0,746.0,1019.0,1482.0,772.0,1596.0,904.0,,,,
9547,04:59.000,04:59.028,2,629.0,869.0,794.0,1087.0,1548.0,848.0,1657.0,984.0,,,,
