frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
1904,01:02.000,01:02.002,1,665.0,868.0,800.0,1047.0
1920,01:02.500,01:02.527,1,669.0,860.0,806.0,1039.0
1935,01:03.000,01:03.027,1,669.0,856.0,806.0,1032.0
1950,01:03.500,01:03.527,1,671.0,860.0,809.0,1041.0
1965,01:04.000,01:04.027,1,676.0,854.0,813.0,1032.0
1980,01:04.500,01:04.527,1,679.0,857.0,815.0,1038.0
1996,01:05.000,01:05.027,1,681.0,860.0,817.0,1041.0
2011,01:05.500,01:05.527,1,682.0,857.0,819.0,1037.0
2026,01:06.000,01:06.028,1,680.0,858.0,816.0,1039.0
2041,01:06.500,01:06.528,1,682.0,857.0,821.0,1040.0
2056,01:07.000,01:07.028,1,736.0,830.0,874.0,1013.0
2071,01:07.500,01:07.528,1,822.0,789.0,956.0,969.0
2086,01:08.000,01:08.028,1,836.0,757.0,965.0,932.0
2101,01:08.500,01:08.528,1,813.0,590.0,947.0,770.0
2116,01:09.000,01:09.028,1,809.0,670.0,944.0,850.0
2131,01:09.500,01:09.528,1,862.0,850.0,992.0,1023.0
2146,01:10.000,01:10.030,1,831.0,860.0,965.0,1038.0
2160,01:10.500,01:10.530,1,832.0,875.0,964.0,1053.0
2175,01:11.000,01:11.030,1,832.0,876.0,964.0,1057.0
2190,01:11.500,01:11.530,1,820.0,881.0,955.0,1064.0
2205,01:12.000,01:12.030,1,803.0,891.0,937.0,1072.0
2220,01:12.500,01:12.530,1,786.0,893.0,918.0,1072.0
2235,01:13.000,01:13.030,1,791.0,891.0,926.0,1071.0
2250,01:13.500,01:13.532,1,169.0,952.0,351.0,1162.0
2265,01:14.000,01:14.032,1,-50.0,972.0,146.0,1206.0
2280,01:14.500,01:14.532,1,6.0,952.0,204.0,1184.0
2295,01:15.000,01:15.032,1,589.0,884.0,738.0,1080.0
2310,01:15.500,01:15.532,1,628.0,933.0,772.0,1127.0
2325,01:16.000,01:16.032,1,676.0,952.0,820.0,1143.0
2340,01:16.500,01:16.532,1,652.0,922.0,796.0,1110.0
2355,01:17.000,01:17.032,1,652.0,923.0,795.0,1112.0
2370,01:17.500,01:17.533,1,642.0,929.0,786.0,1123.0
2384,01:18.000,01:18.000,1,656.0,931.0,799.0,1129.0
2399,01:18.500,01:18.500,1,695.0,950.0,835.0,1139.0
2414,01:19.000,01:19.000,1,701.0,946.0,841.0,1135.0
2429,01:19.500,01:19.500,1,672.0,949.0,813.0,1134.0
2444,01:20.000,01:20.000,1,440.0,909.0,598.0,1105.0
2459,01:20.500,01:20.500,1,255.0,832.0,430.0,1037.0
2474,01:21.000,01:21.000,1,220.0,880.0,394.0,1083.0
2489,01:21.500,01:21.502,1,-47.0,917.0,148.0,1149.0
2503,01:22.000,01:22.010,1,526.0,903.0,680.0,1096.0
2519,01:22.500,01:22.527,1,770.0,880.0,904.0,1059.0
2534,01:23.000,01:23.027,1,802.0,894.0,931.0,1067.0
2549,01:23.500,01:23.527,1,763.0,881.0,891.0,1061.0
2564,01:24.000,01:24.027,1,747.0,916.0,879.0,1098.0
2579,01:24.500,01:24.527,1,741.0,916.0,873.0,1095.0
2594,01:25.000,01:25.027,1,699.0,901.0,835.0,1079.0
2609,01:25.500,01:25.528,1,702.0,905.0,838.0,1087.0
2624,01:26.000,01:26.028,1,710.0,902.0,845.0,1083.0
2639,01:26.500,01:26.528,1,726.0,878.0,859.0,1066.0
2654,01:27.000,01:27.028,1,722.0,929.0,855.0,1109.0
2669,01:27.500,01:27.528,1,736.0,904.0,870.0,1088.0
2684,01:28.000,01:28.028,1,771.0,880.0,902.0,1060.0
2699,01:28.500,01:28.528,1,783.0,873.0,911.0,1049.0
2714,01:29.000,01:29.028,1,776.0,882.0,906.0,1069.0
2729,01:29.500,01:29.530,1,759.0,871.0,891.0,1053.0
2744,01:30.000,01:30.030,1,735.0,872.0,870.0,1050.0
2759,01:30.500,01:30.530,1,692.0,866.0,827.0,1048.0
2774,01:31.000,01:31.030,1,667.0,870.0,807.0,1057.0
2789,01:31.500,01:31.530,1,673.0,874.0,812.0,1059.0
2804,01:32.000,01:32.030,1,678.0,891.0,818.0,1075.0
2819,01:32.500,01:32.530,1,679.0,881.0,819.0,1068.0
2834,01:33.000,01:33.030,1,674.0,883.0,817.0,1072.0
2849,01:33.500,01:33.532,1,684.0,886.0,827.0,1073.0
2864,01:34.000,01:34.032,1,677.0,881.0,819.0,1066.0
2879,01:34.500,01:34.532,1,622.0,899.0,770.0,1090.0
2894,01:35.000,01:35.032,1,609.0,891.0,756.0,1082.0
2909,01:35.500,01:35.532,1,626.0,902.0,775.0,1100.0
2924,01:36.000,01:36.032,1,637.0,897.0,784.0,1091.0
2939,01:36.500,01:36.532,1,650.0,884.0,796.0,1080.0
2954,01:37.000,01:37.032,1,637.0,873.0,782.0,1060.0
2968,01:37.500,01:37.500,1,557.0,900.0,709.0,1095.0
2983,01:38.000,01:38.000,1,581.0,892.0,731.0,1089.0
2998,01:38.500,01:38.500,1,657.0,922.0,801.0,1117.0
3013,01:39.000,01:39.000,1,582.0,975.0,732.0,1172.0
3028,01:39.500,01:39.500,1,606.0,963.0,754.0,1158.0
3043,01:40.000,01:40.000,1,603.0,946.0,749.0,1139.0
3058,01:40.500,01:40.500,1,603.0,941.0,751.0,1137.0
3073,01:41.000,01:41.000,1,597.0,937.0,744.0,1135.0
3089,01:41.500,01:41.527,1,599.0,934.0,749.0,1129.0
3104,01:42.000,01:42.027,1,605.0,929.0,755.0,1124.0
3119,01:42.500,01:42.527,1,650.0,914.0,778.0,1097.0
3134,01:43.000,01:43.027,1,657.0,903.0,783.0,1089.0
3149,01:43.500,01:43.527,1,652.0,903.0,781.0,1081.0
3164,01:44.000,01:44.027,1,652.0,890.0,778.0,1070.0
3179,01:44.500,01:44.527,1,654.0,895.0,780.0,1080.0
3194,01:45.000,01:45.027,1,632.0,900.0,771.0,1094.0
3209,01:45.500,01:45.528,1,592.0,893.0,742.0,1088.0
3224,01:46.000,01:46.028,1,605.0,897.0,752.0,1090.0
3239,01:46.500,01:46.528,1,661.0,885.0,783.0,1061.0
3254,01:47.000,01:47.028,1,681.0,885.0,796.0,1059.0
3269,01:47.500,01:47.528,1,681.0,882.0,799.0,1063.0
3284,01:48.000,01:48.028,1,669.0,878.0,789.0,1052.0
3299,01:48.500,01:48.528,1,681.0,879.0,803.0,1058.0
3314,01:49.000,01:49.028,1,668.0,882.0,797.0,1064.0
