video_name,frame,time,tl_x,tl_y,br_x,br_y
001_POV.mp4,38382,20:26.500,1403.0,716.0,1481.0,818.0
001_POV.mp4,38397,20:27.000,1461.0,729.0,1541.0,832.0
001_POV.mp4,48047,25:50.000,1375.0,714.0,1431.0,810.0
001_POV.mp4,48062,25:50.500,1105.0,524.0,1164.0,625.0
001_POV.mp4,48077,25:51.000,888.0,347.0,950.0,457.0
001_POV.mp4,48092,25:51.500,778.0,310.0,846.0,425.0
001_POV.mp4,48108,25:52.000,729.0,286.0,799.0,401.0
001_POV.mp4,48123,25:52.500,755.0,232.0,824.0,351.0
002_POV.mp4,32069,17:12.500,557.0,705.0,640.0,805.0
002_POV.mp4,32084,17:13.000,606.0,708.0,687.0,809.0
033_POV.mp4,17419,09:38.000,1566.0,1156.0,1653.0,1223.0
033_POV.mp4,29699,16:27.000,738.0,1039.0,829.0,1103.0
033_POV.mp4,33630,18:38.000,1182.0,1079.0,1282.0,1147.0
033_POV.mp4,33690,18:40.000,1186.0,1234.0,1274.0,1298.0
033_POV.mp4,40262,22:19.000,1361.0,1158.0,1447.0,1227.0
033_POV.mp4,41147,22:48.500,1284.0,1082.0,1380.0,1145.0
038_POV.mp4,13656,07:29.000,1728.0,873.0,1773.0,924.0
038_POV.mp4,13716,07:31.000,1697.0,933.0,1741.0,985.0
038_POV.mp4,13731,07:31.500,1731.0,900.0,1779.0,959.0
038_POV.mp4,13746,07:32.000,1739.0,867.0,1784.0,922.0
038_POV.mp4,13761,07:32.500,1739.0,874.0,1786.0,930.0
038_POV.mp4,13791,07:33.500,1743.0,866.0,1789.0,923.0
038_POV.mp4,13806,07:34.000,1738.0,869.0,1785.0,924.0
038_POV.mp4,13821,07:34.500,1728.0,873.0,1775.0,927.0
038_POV.mp4,13836,07:35.000,1740.0,871.0,1785.0,928.0
038_POV.mp4,13851,07:35.500,1772.0,901.0,1818.0,958.0
038_POV.mp4,13866,07:36.000,1761.0,917.0,1807.0,971.0
043_POV.mp4,10946,05:52.500,898.0,678.0,931.0,722.0
043_POV.mp4,10961,05:53.000,890.0,656.0,928.0,706.0
043_POV.mp4,10976,05:53.500,926.0,649.0,961.0,698.0
046_POV.mp4,39963,21:46.500,612.0,576.0,695.0,678.0
046_POV.mp4,39978,21:47.000,742.0,560.0,820.0,661.0
048_POV.mp4,60991,33:39.500,1063.0,649.0,1152.0,731.0
049_POV.mp4,11146,05:58.000,819.0,1171.0,916.0,1242.0
049_POV.mp4,11161,05:58.500,809.0,1187.0,914.0,1255.0
049_POV.mp4,11615,06:13.500,1725.0,844.0,1775.0,909.0
049_POV.mp4,15877,08:35.500,1731.0,917.0,1805.0,1014.0
049_POV.mp4,15892,08:36.000,1622.0,859.0,1690.0,955.0
049_POV.mp4,18653,10:08.000,939.0,1149.0,1043.0,1217.0
049_POV.mp4,19374,10:32.000,805.0,1120.0,908.0,1186.0
049_POV.mp4,19404,10:33.000,809.0,1123.0,909.0,1193.0
049_POV.mp4,20559,11:11.500,833.0,1091.0,944.0,1161.0
049_POV.mp4,20829,11:20.500,817.0,1154.0,922.0,1221.0
049_POV.mp4,21218,11:33.500,906.0,1121.0,1011.0,1190.0
049_POV.mp4,22749,12:24.500,691.0,1118.0,795.0,1182.0
049_POV.mp4,23229,12:40.500,723.0,1149.0,828.0,1216.0
049_POV.mp4,25944,14:11.000,713.0,1137.0,819.0,1213.0
049_POV.mp4,26093,14:16.000,714.0,1086.0,828.0,1158.0
049_POV.mp4,26648,14:34.500,689.0,1096.0,794.0,1168.0
049_POV.mp4,26709,14:36.500,664.0,1142.0,767.0,1216.0
049_POV.mp4,26814,14:40.000,703.0,1099.0,795.0,1166.0
049_POV.mp4,27173,14:52.000,1044.0,1030.0,1152.0,1101.0
049_POV.mp4,28929,15:50.500,600.0,1140.0,709.0,1207.0
049_POV.mp4,31005,16:59.500,832.0,1121.0,940.0,1189.0
049_POV.mp4,31379,17:12.000,719.0,1115.0,829.0,1184.0
049_POV.mp4,31938,17:30.500,696.0,1122.0,794.0,1190.0
049_POV.mp4,31967,17:31.500,698.0,1111.0,796.0,1178.0
049_POV.mp4,32568,17:51.500,936.0,1045.0,1030.0,1120.0
049_POV.mp4,32734,17:57.000,906.0,1122.0,1007.0,1192.0
049_POV.mp4,32869,18:01.500,820.0,1150.0,924.0,1218.0
049_POV.mp4,33185,18:12.000,802.0,1113.0,910.0,1184.0
049_POV.mp4,34161,18:44.500,785.0,1004.0,896.0,1072.0
049_POV.mp4,34746,19:04.000,726.0,1095.0,830.0,1159.0
049_POV.mp4,34791,19:05.500,699.0,1114.0,799.0,1186.0
049_POV.mp4,34941,19:10.500,904.0,1016.0,1007.0,1092.0
049_POV.mp4,35301,19:22.500,787.0,1094.0,887.0,1160.0
049_POV.mp4,35406,19:26.000,789.0,1093.0,887.0,1157.0
049_POV.mp4,35511,19:29.500,808.0,1029.0,915.0,1094.0
049_POV.mp4,35601,19:32.500,816.0,1112.0,915.0,1179.0
049_POV.mp4,35661,19:34.500,789.0,1093.0,890.0,1165.0
049_POV.mp4,35676,19:35.000,810.0,1086.0,911.0,1153.0
049_POV.mp4,35691,19:35.500,819.0,1072.0,911.0,1132.0
049_POV.mp4,35736,19:37.000,817.0,1062.0,915.0,1126.0
049_POV.mp4,35766,19:38.000,839.0,1141.0,949.0,1207.0
049_POV.mp4,35781,19:38.500,808.0,996.0,915.0,1068.0
049_POV.mp4,35826,19:40.000,814.0,1055.0,909.0,1122.0
049_POV.mp4,35916,19:43.000,918.0,1106.0,1020.0,1173.0
049_POV.mp4,36066,19:48.000,907.0,1092.0,1007.0,1159.0
049_POV.mp4,36276,19:55.000,910.0,1121.0,1011.0,1187.0
