video_name,frame,time,tl_x,tl_y,br_x,br_y
033_POV.mp4,24722,17:03.028,1593.0,1205.0,1676.0,1275.0
033_POV.mp4,27573,18:38.027,1186.0,1083.0,1276.0,1148.0
033_POV.mp4,31505,20:49.023,1199.0,1139.0,1289.0,1209.0
033_POV.mp4,35000,22:45.523,1264.0,1082.0,1369.0,1153.0
033_POV.mp4,35030,22:46.523,1274.0,1088.0,1376.0,1156.0
033_POV.mp4,35090,22:48.523,1283.0,1083.0,1382.0,1150.0
033_POV.mp4,35375,22:58.020,1215.0,933.0,1315.0,999.0
033_POV.mp4,35495,23:02.022,1230.0,955.0,1319.0,1024.0
033_POV.mp4,35540,23:03.522,1231.0,965.0,1319.0,1035.0
033_POV.mp4,35585,23:05.022,1242.0,965.0,1320.0,1028.0
033_POV.mp4,35645,23:07.023,1239.0,964.0,1330.0,1036.0
033_POV.mp4,36695,23:42.022,1564.0,1204.0,1650.0,1274.0
035_POV.mp4,45436,33:41.003,1259.0,774.0,1327.0,885.0
048_POV.mp4,37537,33:39.523,1052.0,659.0,1142.0,738.0
049_POV.mp4,11661,12:22.895,687.0,1117.0,798.0,1188.0
049_POV.mp4,11757,12:26.097,689.0,1190.0,800.0,1257.0
049_POV.mp4,11799,12:27.497,714.0,1183.0,828.0,1250.0
049_POV.mp4,11800,12:27.530,713.0,1181.0,828.0,1250.0
049_POV.mp4,11817,12:28.097,719.0,1176.0,831.0,1244.0
049_POV.mp4,11818,12:28.130,720.0,1177.0,833.0,1244.0
049_POV.mp4,11819,12:28.163,716.0,1176.0,835.0,1243.0
049_POV.mp4,11820,12:28.197,715.0,1176.0,828.0,1246.0
049_POV.mp4,11822,12:28.263,714.0,1174.0,830.0,1246.0
049_POV.mp4,11840,12:28.863,711.0,1178.0,830.0,1246.0
049_POV.mp4,13209,13:14.500,845.0,1085.0,951.0,1160.0
049_POV.mp4,13615,13:28.030,684.0,1094.0,795.0,1163.0
049_POV.mp4,13630,13:28.532,712.0,1167.0,825.0,1237.0
049_POV.mp4,14364,13:53.000,910.0,1070.0,1008.0,1132.0
049_POV.mp4,14394,13:54.000,928.0,1067.0,1030.0,1138.0
049_POV.mp4,14545,13:59.027,738.0,1088.0,845.0,1166.0
049_POV.mp4,14695,14:04.028,705.0,1072.0,817.0,1139.0
049_POV.mp4,14710,14:04.530,702.0,1067.0,805.0,1133.0
049_POV.mp4,14725,14:05.030,684.0,1066.0,799.0,1139.0
049_POV.mp4,14875,14:10.032,692.0,1069.0,794.0,1140.0
049_POV.mp4,14890,14:10.532,665.0,1072.0,767.0,1139.0
049_POV.mp4,14935,14:12.032,714.0,1100.0,820.0,1165.0
049_POV.mp4,14994,14:14.000,682.0,1097.0,796.0,1169.0
049_POV.mp4,15009,14:14.500,750.0,1089.0,850.0,1160.0
049_POV.mp4,15130,14:18.527,707.0,1038.0,819.0,1107.0
049_POV.mp4,15295,14:24.028,725.0,1096.0,831.0,1164.0
049_POV.mp4,15624,14:35.000,691.0,1086.0,797.0,1158.0
049_POV.mp4,15775,14:40.027,704.0,1097.0,800.0,1162.0
049_POV.mp4,15805,14:41.028,712.0,1053.0,819.0,1123.0
049_POV.mp4,16405,15:01.028,1042.0,1058.0,1142.0,1136.0
049_POV.mp4,20086,17:03.530,855.0,1079.0,945.0,1139.0
049_POV.mp4,20176,17:06.530,841.0,1060.0,952.0,1131.0
049_POV.mp4,20251,17:09.032,835.0,1069.0,942.0,1133.0
049_POV.mp4,20899,17:30.532,692.0,1116.0,791.0,1188.0
049_POV.mp4,20913,17:31.000,693.0,1101.0,799.0,1168.0
049_POV.mp4,20928,17:31.500,687.0,1160.0,794.0,1230.0
049_POV.mp4,21019,17:34.525,598.0,1117.0,706.0,1191.0
049_POV.mp4,21529,17:51.500,931.0,1052.0,1034.0,1126.0
049_POV.mp4,21545,17:52.025,924.0,1068.0,1026.0,1136.0
049_POV.mp4,21695,17:57.027,908.0,1096.0,1006.0,1164.0
049_POV.mp4,23692,19:03.530,773.0,1084.0,876.0,1161.0
049_POV.mp4,24232,19:21.528,742.0,1067.0,848.0,1142.0
049_POV.mp4,24292,19:23.530,781.0,1090.0,884.0,1161.0
049_POV.mp4,24307,19:24.030,786.0,1068.0,887.0,1139.0
049_POV.mp4,24472,19:29.523,804.0,1034.0,914.0,1100.0
049_POV.mp4,24502,19:30.525,871.0,1066.0,973.0,1136.0
049_POV.mp4,24517,19:31.025,869.0,1095.0,969.0,1163.0
049_POV.mp4,24592,19:33.525,819.0,1123.0,909.0,1190.0
049_POV.mp4,24607,19:34.025,793.0,1096.0,894.0,1163.0
049_POV.mp4,24622,19:34.527,787.0,1093.0,888.0,1163.0
049_POV.mp4,24637,19:35.027,813.0,1081.0,911.0,1148.0
049_POV.mp4,24742,19:38.528,821.0,1003.0,912.0,1068.0
049_POV.mp4,24772,19:39.528,825.0,1045.0,924.0,1106.0
049_POV.mp4,24787,19:40.028,813.0,1056.0,915.0,1126.0
049_POV.mp4,24817,19:41.028,835.0,1075.0,938.0,1143.0
049_POV.mp4,24862,19:42.530,869.0,1082.0,966.0,1151.0
049_POV.mp4,24877,19:43.030,927.0,1114.0,1028.0,1180.0
049_POV.mp4,25252,19:55.527,914.0,1107.0,1003.0,1170.0
049_POV.mp4,25297,19:57.027,920.0,1090.0,1024.0,1161.0
049_POV.mp4,25401,20:00.528,903.0,1058.0,1004.0,1123.0
061_POV.mp4,10223,08:38.527,1324.0,1028.0,1408.0,1086.0
061_POV.mp4,10253,08:39.527,1318.0,1005.0,1423.0,1076.0
061_POV.mp4,10268,08:40.027,1324.0,998.0,1419.0,1071.0
061_POV.mp4,10298,08:41.027,1302.0,983.0,1406.0,1055.0
061_POV.mp4,12596,09:57.525,1324.0,1094.0,1403.0,1159.0
061_POV.mp4,13346,10:22.528,1300.0,1128.0,1391.0,1195.0
061_POV.mp4,13361,10:23.028,1313.0,1126.0,1389.0,1193.0
063_POV.mp4,9485,10:08.463,2055.0,1240.0,2103.0,1305.0
063_POV.mp4,9486,10:08.497,2018.0,1234.0,2067.0,1301.0
063_POV.mp4,9487,10:08.530,1978.0,1229.0,2025.0,1296.0
063_POV.mp4,9488,10:08.563,1938.0,1225.0,1985.0,1291.0
063_POV.mp4,9489,10:08.597,1899.0,1222.0,1946.0,1287.0
063_POV.mp4,9490,10:08.630,1862.0,1220.0,1907.0,1283.0
063_POV.mp4,9491,10:08.663,1827.0,1218.0,1871.0,1280.0
063_POV.mp4,9492,10:08.697,1797.0,1216.0,1841.0,1276.0
063_POV.mp4,9493,10:08.730,1769.0,1216.0,1810.0,1274.0
063_POV.mp4,9495,10:08.797,1724.0,1209.0,1765.0,1267.0
063_POV.mp4,9496,10:08.830,1710.0,1206.0,1752.0,1266.0
063_POV.mp4,9498,10:08.897,1689.0,1203.0,1732.0,1262.0
063_POV.mp4,9499,10:08.930,1687.0,1203.0,1727.0,1260.0
063_POV.mp4,9503,10:09.063,1688.0,1203.0,1732.0,1272.0
063_POV.mp4,9511,10:09.330,1693.0,1198.0,1737.0,1264.0
063_POV.mp4,9512,10:09.363,1690.0,1185.0,1739.0,1255.0
063_POV.mp4,9513,10:09.397,1689.0,1166.0,1741.0,1245.0
063_POV.mp4,9514,10:09.430,1685.0,1149.0,1743.0,1238.0
063_POV.mp4,9515,10:09.463,1681.0,1134.0,1746.0,1232.0
063_POV.mp4,9516,10:09.497,1682.0,1125.0,1748.0,1226.0
063_POV.mp4,9517,10:09.530,1679.0,1117.0,1748.0,1222.0
063_POV.mp4,9518,10:09.563,1677.0,1110.0,1750.0,1219.0
063_POV.mp4,9519,10:09.597,1676.0,1105.0,1750.0,1216.0
063_POV.mp4,9570,10:11.298,1524.0,1053.0,1596.0,1165.0
063_POV.mp4,9571,10:11.332,1470.0,1050.0,1542.0,1160.0
063_POV.mp4,9572,10:11.365,1415.0,1044.0,1488.0,1156.0
063_POV.mp4,9573,10:11.398,1366.0,1038.0,1439.0,1150.0
063_POV.mp4,9574,10:11.432,1327.0,1035.0,1393.0,1142.0
063_POV.mp4,9575,10:11.465,1288.0,1027.0,1355.0,1135.0
063_POV.mp4,9576,10:11.498,1257.0,1014.0,1327.0,1125.0
063_POV.mp4,9577,10:11.532,1237.0,1006.0,1302.0,1111.0
063_POV.mp4,9578,10:11.565,1217.0,993.0,1285.0,1100.0
063_POV.mp4,9579,10:11.598,1202.0,984.0,1269.0,1089.0
063_POV.mp4,9580,10:11.632,1192.0,970.0,1258.0,1076.0
063_POV.mp4,9581,10:11.665,1179.0,959.0,1247.0,1064.0
063_POV.mp4,9582,10:11.698,1173.0,948.0,1238.0,1051.0
063_POV.mp4,9583,10:11.732,1164.0,935.0,1234.0,1041.0
063_POV.mp4,9584,10:11.765,1160.0,922.0,1229.0,1029.0
063_POV.mp4,9585,10:11.798,1156.0,908.0,1223.0,1013.0
063_POV.mp4,9586,10:11.832,1154.0,892.0,1221.0,992.0
063_POV.mp4,9587,10:11.865,1153.0,871.0,1219.0,972.0
063_POV.mp4,9588,10:11.898,1151.0,849.0,1216.0,951.0
063_POV.mp4,9589,10:11.932,1150.0,826.0,1215.0,929.0
063_POV.mp4,9590,10:11.965,1146.0,803.0,1212.0,909.0
063_POV.mp4,9591,10:11.998,1142.0,787.0,1211.0,891.0
063_POV.mp4,9592,10:12.032,1141.0,772.0,1211.0,875.0
063_POV.mp4,9593,10:12.065,1139.0,756.0,1209.0,862.0
063_POV.mp4,9594,10:12.098,1139.0,746.0,1209.0,853.0
063_POV.mp4,9595,10:12.132,1136.0,740.0,1208.0,847.0
063_POV.mp4,9596,10:12.165,1135.0,737.0,1206.0,844.0
063_POV.mp4,9597,10:12.198,1135.0,733.0,1206.0,842.0
063_POV.mp4,9598,10:12.232,1135.0,731.0,1205.0,839.0
063_POV.mp4,9599,10:12.265,1135.0,732.0,1205.0,840.0
063_POV.mp4,9600,10:12.298,1135.0,735.0,1206.0,843.0
063_POV.mp4,9601,10:12.332,1135.0,738.0,1206.0,847.0
063_POV.mp4,9602,10:12.365,1135.0,742.0,1205.0,850.0
063_POV.mp4,9603,10:12.398,1136.0,745.0,1205.0,853.0
063_POV.mp4,9604,10:12.432,1134.0,747.0,1204.0,855.0
063_POV.mp4,9605,10:12.465,1135.0,750.0,1203.0,858.0
063_POV.mp4,9606,10:12.498,1134.0,753.0,1203.0,859.0
063_POV.mp4,9607,10:12.532,1134.0,754.0,1204.0,861.0
063_POV.mp4,9608,10:12.565,1135.0,756.0,1204.0,863.0
063_POV.mp4,9609,10:12.598,1137.0,762.0,1206.0,867.0
063_POV.mp4,9610,10:12.632,1140.0,768.0,1209.0,872.0
063_POV.mp4,9611,10:12.665,1143.0,774.0,1212.0,880.0
063_POV.mp4,9612,10:12.698,1146.0,781.0,1215.0,888.0
063_POV.mp4,9613,10:12.732,1154.0,791.0,1221.0,895.0
063_POV.mp4,9614,10:12.765,1158.0,798.0,1230.0,905.0
063_POV.mp4,9615,10:12.798,1166.0,806.0,1235.0,914.0
063_POV.mp4,9616,10:12.832,1174.0,814.0,1243.0,922.0
063_POV.mp4,9617,10:12.865,1185.0,825.0,1250.0,928.0
063_POV.mp4,9618,10:12.898,1189.0,829.0,1260.0,933.0
063_POV.mp4,9619,10:12.932,1198.0,833.0,1266.0,935.0
063_POV.mp4,9620,10:12.965,1204.0,834.0,1273.0,938.0
063_POV.mp4,9621,10:12.998,1209.0,836.0,1278.0,938.0
063_POV.mp4,9622,10:13.032,1213.0,837.0,1283.0,940.0
063_POV.mp4,9623,10:13.065,1214.0,837.0,1284.0,942.0
063_POV.mp4,9624,10:13.098,1215.0,837.0,1286.0,942.0
063_POV.mp4,9625,10:13.132,1216.0,837.0,1286.0,942.0
063_POV.mp4,9626,10:13.165,1217.0,836.0,1286.0,941.0
063_POV.mp4,9627,10:13.198,1218.0,836.0,1287.0,939.0
063_POV.mp4,9628,10:13.232,1218.0,833.0,1288.0,938.0
063_POV.mp4,9629,10:13.265,1219.0,832.0,1289.0,936.0
063_POV.mp4,9630,10:13.298,1220.0,832.0,1289.0,936.0
063_POV.mp4,9631,10:13.332,1220.0,831.0,1290.0,936.0
063_POV.mp4,9632,10:13.365,1222.0,832.0,1291.0,937.0
063_POV.mp4,9633,10:13.398,1228.0,833.0,1298.0,937.0
063_POV.mp4,9634,10:13.432,1238.0,833.0,1306.0,937.0
063_POV.mp4,9635,10:13.465,1251.0,834.0,1320.0,939.0
063_POV.mp4,9636,10:13.498,1268.0,834.0,1338.0,941.0
063_POV.mp4,9637,10:13.532,1291.0,836.0,1361.0,941.0
063_POV.mp4,9638,10:13.565,1317.0,835.0,1387.0,941.0
063_POV.mp4,9639,10:13.598,1343.0,835.0,1412.0,941.0
063_POV.mp4,9640,10:13.632,1366.0,834.0,1437.0,941.0
063_POV.mp4,9641,10:13.665,1387.0,832.0,1458.0,941.0
063_POV.mp4,9642,10:13.698,1404.0,834.0,1473.0,941.0
063_POV.mp4,9643,10:13.732,1412.0,833.0,1483.0,942.0
063_POV.mp4,9644,10:13.765,1420.0,834.0,1491.0,943.0
063_POV.mp4,9645,10:13.798,1425.0,836.0,1496.0,944.0
063_POV.mp4,9646,10:13.832,1428.0,835.0,1498.0,944.0
063_POV.mp4,9647,10:13.865,1430.0,835.0,1499.0,944.0
063_POV.mp4,9648,10:13.898,1433.0,834.0,1505.0,945.0
063_POV.mp4,9649,10:13.932,1441.0,836.0,1513.0,946.0
063_POV.mp4,9650,10:13.965,1459.0,839.0,1531.0,949.0
063_POV.mp4,9651,10:13.998,1489.0,843.0,1561.0,953.0
063_POV.mp4,9652,10:14.032,1538.0,847.0,1610.0,957.0
063_POV.mp4,9653,10:14.065,1599.0,849.0,1673.0,960.0
063_POV.mp4,10491,10:42.028,1727.0,1139.0,1770.0,1201.0
063_POV.mp4,10506,10:42.528,1779.0,1129.0,1823.0,1191.0
063_POV.mp4,10521,10:43.028,1786.0,1133.0,1829.0,1195.0
063_POV.mp4,10536,10:43.528,1791.0,1127.0,1834.0,1186.0
063_POV.mp4,10551,10:44.028,1790.0,1121.0,1832.0,1181.0
063_POV.mp4,10566,10:44.528,1804.0,1123.0,1847.0,1185.0
063_POV.mp4,10611,10:46.030,1824.0,1136.0,1868.0,1199.0
063_POV.mp4,10626,10:46.530,1822.0,1138.0,1867.0,1201.0
063_POV.mp4,10641,10:47.030,1824.0,1135.0,1867.0,1198.0
063_POV.mp4,10656,10:47.530,1823.0,1134.0,1866.0,1194.0
