frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
3288,02:56.667,1,598.0,658.0,752.0,866.0
3289,03:31.497,1,597.0,659.0,749.0,865.0
3290,03:31.530,1,596.0,658.0,748.0,865.0
3291,03:31.563,1,595.0,656.0,747.0,863.0
3292,03:31.597,1,595.0,658.0,748.0,865.0
3293,03:31.630,1,596.0,657.0,748.0,865.0
3294,03:31.663,1,596.0,655.0,749.0,863.0
3295,03:31.697,1,596.0,655.0,749.0,862.0
3296,03:31.730,1,598.0,657.0,750.0,862.0
3297,03:31.763,1,599.0,657.0,751.0,863.0
3298,03:31.797,1,600.0,657.0,753.0,864.0
3299,03:31.830,1,600.0,656.0,754.0,863.0
3300,03:31.863,1,599.0,655.0,752.0,861.0
3301,03:31.897,1,595.0,654.0,748.0,859.0
3302,03:31.930,1,591.0,653.0,743.0,858.0
3303,03:31.963,1,587.0,652.0,739.0,857.0
3304,03:31.997,1,587.0,654.0,738.0,858.0
3305,03:32.030,1,586.0,654.0,738.0,858.0
3306,03:32.063,1,587.0,654.0,738.0,857.0
3307,03:32.097,1,588.0,653.0,740.0,858.0
3308,03:32.130,1,591.0,655.0,744.0,860.0
3309,03:32.163,1,595.0,660.0,749.0,865.0
3310,03:32.197,1,601.0,665.0,758.0,871.0
3311,03:32.230,1,607.0,667.0,764.0,874.0
3312,03:32.263,1,616.0,670.0,772.0,874.0
3313,03:32.297,1,622.0,670.0,777.0,876.0
3314,03:32.330,1,623.0,670.0,778.0,875.0
3315,03:32.363,1,622.0,668.0,777.0,875.0
3316,03:32.397,1,621.0,668.0,777.0,875.0
3317,03:32.430,1,621.0,669.0,776.0,874.0
3318,03:32.463,1,620.0,671.0,776.0,876.0
3319,03:32.498,1,621.0,673.0,776.0,877.0
3320,03:32.532,1,620.0,672.0,775.0,876.0
3321,03:32.565,1,621.0,672.0,776.0,877.0
3322,03:32.598,1,621.0,674.0,776.0,878.0
3323,03:32.632,1,622.0,676.0,777.0,882.0
3324,03:32.665,1,626.0,680.0,779.0,885.0
3325,03:32.698,1,630.0,684.0,782.0,887.0
3326,03:32.732,1,633.0,684.0,785.0,888.0
3327,03:32.765,1,635.0,683.0,788.0,887.0
3328,03:32.798,1,636.0,681.0,789.0,885.0
3329,03:32.832,1,633.0,677.0,788.0,883.0
3330,03:32.865,1,628.0,675.0,784.0,880.0
3331,03:32.898,1,626.0,671.0,779.0,876.0
3332,03:32.932,1,621.0,667.0,777.0,872.0
3333,03:32.965,1,615.0,664.0,771.0,871.0
3334,03:32.998,1,611.0,663.0,766.0,869.0
3335,03:33.032,1,608.0,662.0,763.0,867.0
3336,03:33.065,1,607.0,661.0,762.0,868.0
3337,03:33.098,1,605.0,662.0,762.0,868.0
3338,03:33.132,1,604.0,662.0,761.0,868.0
3339,03:33.165,1,601.0,663.0,759.0,870.0
3340,03:33.198,1,599.0,664.0,757.0,871.0
3341,03:33.232,1,598.0,666.0,756.0,873.0
3342,03:33.265,1,598.0,666.0,757.0,873.0
3343,03:33.298,1,600.0,667.0,758.0,873.0
3344,03:33.332,1,601.0,665.0,758.0,872.0
3345,03:33.365,1,602.0,663.0,760.0,868.0
3346,03:33.398,1,604.0,659.0,760.0,863.0
3347,03:33.432,1,606.0,654.0,762.0,860.0
3348,03:33.465,1,608.0,651.0,763.0,858.0
3349,03:33.498,1,609.0,650.0,764.0,856.0
3350,03:33.532,1,608.0,649.0,764.0,853.0
3351,03:33.565,1,606.0,648.0,762.0,849.0
3352,03:33.598,1,602.0,643.0,758.0,845.0
3353,03:33.632,1,599.0,642.0,756.0,844.0
3354,03:33.665,1,597.0,642.0,754.0,843.0
3355,03:33.698,1,598.0,639.0,755.0,842.0
3356,03:33.732,1,598.0,637.0,755.0,841.0
3357,03:33.765,1,599.0,637.0,755.0,839.0
3358,03:33.798,1,599.0,634.0,756.0,836.0
3359,03:33.832,1,599.0,629.0,757.0,831.0
3360,03:33.865,1,599.0,623.0,757.0,826.0
3361,03:33.898,1,599.0,617.0,757.0,822.0
3362,03:33.932,1,597.0,613.0,755.0,819.0
3363,03:33.965,1,595.0,611.0,751.0,815.0
3364,03:33.998,1,595.0,611.0,751.0,815.0
3365,03:34.032,1,594.0,608.0,750.0,813.0
3366,03:34.048,1,590.0,605.0,748.0,811.0
3367,03:34.098,1,591.0,606.0,749.0,812.0
3368,03:34.132,1,593.0,607.0,750.0,813.0
3369,03:34.165,1,594.0,609.0,751.0,813.0
3370,03:34.198,1,594.0,609.0,751.0,815.0
3371,03:34.232,1,594.0,610.0,751.0,817.0
3372,03:34.265,1,594.0,613.0,752.0,820.0
3373,03:34.298,1,594.0,617.0,753.0,823.0
3374,03:34.332,1,595.0,621.0,752.0,826.0
3375,03:34.365,1,594.0,625.0,751.0,829.0
3376,03:34.398,1,592.0,633.0,750.0,835.0
3377,03:34.432,1,590.0,638.0,748.0,841.0
3378,03:34.465,1,589.0,641.0,746.0,845.0
3379,03:34.498,1,587.0,646.0,745.0,847.0
3380,03:34.532,1,587.0,647.0,743.0,849.0
3381,03:34.565,1,588.0,648.0,744.0,850.0
