frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
18011,15:43.333,4,1198.0,629.0,1379.0,887.0,451.0,679.0,588.0,854.0,842.0,760.0,976.0,937.0,1689.0,731.0,1815.0,918.0
18012,19:24.942,4,1197.0,629.0,1378.0,887.0,450.0,678.0,586.0,854.0,842.0,760.0,975.0,937.0,1688.0,732.0,1815.0,918.0
18013,19:24.975,4,1197.0,630.0,1378.0,887.0,450.0,678.0,586.0,854.0,842.0,760.0,975.0,937.0,1688.0,732.0,1816.0,920.0
18014,19:25.008,4,1198.0,628.0,1379.0,886.0,451.0,678.0,587.0,854.0,842.0,761.0,976.0,938.0,1689.0,730.0,1819.0,920.0
18015,19:25.042,4,1198.0,628.0,1380.0,886.0,451.0,678.0,587.0,854.0,843.0,762.0,976.0,938.0,1690.0,731.0,1820.0,920.0
18016,19:25.075,4,1198.0,627.0,1380.0,886.0,451.0,678.0,587.0,854.0,844.0,764.0,977.0,938.0,1691.0,730.0,1822.0,920.0
18017,19:25.108,4,1198.0,627.0,1382.0,886.0,451.0,677.0,587.0,853.0,844.0,764.0,977.0,938.0,1692.0,728.0,1824.0,920.0
18018,19:25.142,4,1198.0,626.0,1381.0,886.0,451.0,678.0,587.0,854.0,844.0,764.0,977.0,938.0,1692.0,729.0,1823.0,920.0
18019,19:25.175,4,1199.0,628.0,1381.0,886.0,451.0,678.0,587.0,854.0,844.0,764.0,977.0,938.0,1692.0,727.0,1823.0,921.0
18020,19:25.208,4,1198.0,629.0,1381.0,886.0,452.0,680.0,588.0,856.0,844.0,765.0,977.0,940.0,1694.0,723.0,1821.0,916.0
18021,19:25.242,3,1199.0,631.0,1381.0,888.0,452.0,683.0,588.0,858.0,844.0,765.0,978.0,941.0,,,,
18022,19:25.275,3,1200.0,632.0,1381.0,890.0,844.0,768.0,978.0,942.0,453.0,685.0,589.0,859.0,,,,
18023,19:25.308,3,1200.0,632.0,1381.0,890.0,844.0,769.0,978.0,942.0,453.0,685.0,589.0,859.0,,,,
18024,19:25.342,3,1199.0,631.0,1382.0,891.0,844.0,769.0,978.0,942.0,453.0,687.0,588.0,861.0,,,,
18025,19:25.375,3,1199.0,632.0,1381.0,891.0,844.0,768.0,978.0,942.0,453.0,687.0,588.0,861.0,,,,
18026,19:25.408,3,1199.0,633.0,1381.0,891.0,843.0,768.0,977.0,943.0,453.0,689.0,587.0,862.0,,,,
18027,19:25.442,3,1199.0,633.0,1381.0,890.0,844.0,768.0,978.0,942.0,453.0,686.0,589.0,861.0,,,,
18028,19:25.475,3,1199.0,631.0,1382.0,888.0,454.0,684.0,590.0,859.0,845.0,764.0,979.0,941.0,,,,
18029,19:25.508,3,1200.0,630.0,1383.0,886.0,454.0,683.0,591.0,858.0,846.0,762.0,979.0,940.0,,,,
18030,19:25.542,3,1200.0,629.0,1383.0,885.0,455.0,681.0,592.0,857.0,847.0,761.0,979.0,938.0,,,,
18031,19:25.575,3,1200.0,629.0,1383.0,885.0,455.0,680.0,592.0,857.0,847.0,760.0,979.0,938.0,,,,
18032,19:25.608,4,1200.0,630.0,1383.0,886.0,454.0,682.0,591.0,857.0,846.0,761.0,979.0,938.0,1707.0,712.0,1850.0,919.0
18033,19:25.642,4,1200.0,630.0,1382.0,886.0,454.0,683.0,590.0,858.0,846.0,762.0,979.0,940.0,1709.0,717.0,1853.0,921.0
18034,19:25.675,4,1200.0,631.0,1382.0,888.0,454.0,683.0,590.0,859.0,845.0,763.0,979.0,941.0,1712.0,717.0,1862.0,922.0
18035,19:25.708,4,1200.0,632.0,1382.0,889.0,453.0,683.0,590.0,859.0,845.0,766.0,979.0,942.0,1721.0,720.0,1867.0,923.0
18036,19:25.742,4,1201.0,633.0,1383.0,891.0,845.0,767.0,979.0,943.0,453.0,685.0,588.0,860.0,1727.0,729.0,1868.0,924.0
18037,19:25.775,4,1200.0,634.0,1383.0,892.0,845.0,767.0,979.0,943.0,451.0,684.0,587.0,861.0,1734.0,729.0,1880.0,922.0
18038,19:25.808,4,1200.0,635.0,1382.0,892.0,844.0,767.0,979.0,944.0,449.0,682.0,585.0,862.0,1741.0,727.0,1887.0,923.0
