frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
15423,14:16.667,1,1932.0,883.0,2068.0,1045.0,,,,
15424,17:06.392,1,1928.0,885.0,2064.0,1044.0,,,,
15425,17:06.425,1,1925.0,880.0,2061.0,1042.0,,,,
15426,17:06.458,1,1922.0,878.0,2060.0,1042.0,,,,
15427,17:06.492,1,1921.0,879.0,2059.0,1043.0,,,,
15428,17:06.525,1,1921.0,882.0,2058.0,1043.0,,,,
15429,17:06.558,1,1920.0,882.0,2056.0,1045.0,,,,
15430,17:06.592,1,1920.0,882.0,2056.0,1046.0,,,,
15431,17:06.625,1,1921.0,881.0,2057.0,1047.0,,,,
15432,17:06.658,1,1920.0,882.0,2058.0,1048.0,,,,
15433,17:06.692,1,1922.0,884.0,2058.0,1049.0,,,,
15434,17:06.725,1,1923.0,886.0,2060.0,1048.0,,,,
15435,17:06.758,1,1926.0,887.0,2060.0,1048.0,,,,
15436,17:06.792,1,1925.0,885.0,2060.0,1048.0,,,,
15437,17:06.825,1,1923.0,882.0,2059.0,1048.0,,,,
15438,17:06.858,1,1923.0,886.0,2057.0,1045.0,,,,
15439,17:06.892,1,1920.0,882.0,2055.0,1044.0,,,,
15440,17:06.925,1,1919.0,882.0,2055.0,1040.0,,,,
15441,17:06.958,1,1919.0,876.0,2056.0,1038.0,,,,
15442,17:06.992,1,1918.0,872.0,2055.0,1035.0,,,,
15443,17:07.027,1,1921.0,872.0,2055.0,1031.0,,,,
15444,17:07.060,1,1921.0,869.0,2056.0,1030.0,,,,
15445,17:07.093,1,1922.0,868.0,2057.0,1029.0,,,,
15446,17:07.127,1,1923.0,865.0,2059.0,1027.0,,,,
15447,17:07.160,1,1924.0,862.0,2062.0,1026.0,,,,
15448,17:07.193,1,1928.0,861.0,2062.0,1024.0,,,,
15449,17:07.227,1,1927.0,860.0,2062.0,1023.0,,,,
15450,17:07.260,1,1927.0,859.0,2063.0,1023.0,,,,
15451,17:07.293,1,1928.0,859.0,2062.0,1022.0,,,,
15452,17:07.327,1,1928.0,860.0,2063.0,1022.0,,,,
15453,17:07.360,1,1928.0,860.0,2062.0,1022.0,,,,
15454,17:07.393,1,1926.0,859.0,2061.0,1023.0,,,,
15455,17:07.427,1,1925.0,860.0,2061.0,1023.0,,,,
15456,17:07.460,1,1925.0,860.0,2060.0,1023.0,,,,
15457,17:07.493,1,1925.0,860.0,2060.0,1023.0,,,,
15458,17:07.527,1,1927.0,859.0,2060.0,1023.0,,,,
15459,17:07.560,1,1927.0,859.0,2061.0,1022.0,,,,
15460,17:07.593,1,1926.0,859.0,2061.0,1018.0,,,,
15461,17:07.627,1,1926.0,861.0,2059.0,1017.0,,,,
15462,17:07.660,1,1922.0,858.0,2058.0,1016.0,,,,
15463,17:07.693,1,1922.0,858.0,2055.0,1016.0,,,,
15464,17:07.727,1,1919.0,857.0,2054.0,1016.0,,,,
15465,17:07.760,1,1919.0,857.0,2053.0,1016.0,,,,
15466,17:07.793,1,1918.0,855.0,2053.0,1017.0,,,,
15467,17:07.827,1,1920.0,857.0,2054.0,1017.0,,,,
15468,17:07.860,1,1921.0,857.0,2055.0,1017.0,,,,
15469,17:07.893,1,1923.0,857.0,2057.0,1017.0,,,,
15470,17:07.927,1,1925.0,859.0,2058.0,1018.0,,,,
15471,17:07.960,1,1925.0,859.0,2059.0,1017.0,,,,
15472,17:07.993,1,1926.0,859.0,2059.0,1017.0,,,,
15473,17:08.027,1,1925.0,858.0,2059.0,1017.0,,,,
15474,17:08.060,1,1925.0,859.0,2059.0,1016.0,,,,
15475,17:08.093,1,1926.0,859.0,2058.0,1016.0,,,,
15476,17:08.127,1,1925.0,857.0,2059.0,1016.0,,,,
15477,17:08.160,1,1925.0,858.0,2057.0,1017.0,,,,
15478,17:08.193,1,1925.0,858.0,2059.0,1016.0,,,,
15479,17:08.227,1,1926.0,859.0,2060.0,1015.0,,,,
15480,17:08.260,1,1926.0,858.0,2060.0,1015.0,,,,
15481,17:08.293,1,1927.0,860.0,2060.0,1016.0,,,,
15482,17:08.327,1,1927.0,860.0,2062.0,1016.0,,,,
15483,17:08.360,1,1926.0,858.0,2061.0,1017.0,,,,
15484,17:08.393,1,1927.0,858.0,2062.0,1019.0,,,,
15485,17:08.427,1,1930.0,859.0,2063.0,1021.0,,,,
15486,17:08.460,1,1932.0,860.0,2066.0,1022.0,,,,
15487,17:08.493,1,1934.0,860.0,2068.0,1023.0,,,,
15488,17:08.527,1,1934.0,860.0,2069.0,1024.0,,,,
15489,17:08.560,1,1935.0,860.0,2070.0,1025.0,,,,
15490,17:08.593,1,1934.0,860.0,2070.0,1026.0,,,,
15491,17:08.627,1,1933.0,861.0,2069.0,1028.0,,,,
15492,17:08.660,1,1931.0,863.0,2069.0,1028.0,,,,
15493,17:08.693,1,1930.0,862.0,2069.0,1029.0,,,,
15494,17:08.727,1,1931.0,862.0,2069.0,1029.0,,,,
15495,17:08.760,1,1932.0,864.0,2069.0,1029.0,,,,
15496,17:08.793,1,1933.0,865.0,2070.0,1029.0,,,,
15497,17:08.827,1,1932.0,865.0,2070.0,1031.0,,,,
15498,17:08.860,1,1936.0,872.0,2070.0,1032.0,,,,
15499,17:08.893,1,1936.0,873.0,2070.0,1034.0,,,,
15500,17:08.927,1,1936.0,883.0,2069.0,1036.0,,,,
15501,17:08.960,1,1937.0,884.0,2070.0,1037.0,,,,
15502,17:08.993,1,1938.0,887.0,2071.0,1038.0,,,,
15503,17:09.027,1,1937.0,885.0,2072.0,1040.0,,,,
15504,17:09.060,1,1937.0,886.0,2071.0,1040.0,,,,
15505,17:09.093,1,1938.0,886.0,2071.0,1039.0,,,,
15506,17:09.127,1,1938.0,888.0,2071.0,1038.0,,,,
15507,17:09.160,1,1938.0,887.0,2071.0,1038.0,,,,
15508,17:09.193,1,1938.0,889.0,2070.0,1038.0,,,,
15509,17:09.227,1,1936.0,887.0,2068.0,1040.0,,,,
15510,17:09.260,1,1931.0,884.0,2066.0,1040.0,,,,
15511,17:09.293,1,1929.0,883.0,2064.0,1039.0,,,,
15512,17:09.327,1,1927.0,883.0,2063.0,1038.0,,,,
15513,17:09.360,1,1929.0,883.0,2063.0,1037.0,,,,
15514,17:09.393,1,1927.0,880.0,2063.0,1037.0,,,,
15515,17:09.427,1,1927.0,876.0,2063.0,1036.0,,,,
15516,17:09.460,1,1925.0,873.0,2062.0,1035.0,,,,
15517,17:09.493,1,1924.0,873.0,2060.0,1032.0,,,,
15518,17:09.527,1,1923.0,872.0,2058.0,1031.0,,,,
15519,17:09.560,1,1923.0,871.0,2057.0,1030.0,,,,
15520,17:09.593,1,1924.0,872.0,2056.0,1030.0,,,,
15521,17:09.627,1,1923.0,868.0,2058.0,1030.0,,,,
15522,17:09.660,1,1924.0,869.0,2059.0,1029.0,,,,
15523,17:09.693,1,1925.0,868.0,2060.0,1028.0,,,,
15524,17:09.727,1,1926.0,868.0,2061.0,1028.0,,,,
15525,17:09.760,1,1926.0,867.0,2061.0,1028.0,,,,
15526,17:09.793,1,1926.0,866.0,2063.0,1027.0,,,,
15527,17:09.827,1,1928.0,865.0,2064.0,1027.0,,,,
15528,17:09.860,1,1931.0,864.0,2066.0,1027.0,,,,
15529,17:09.893,1,1933.0,864.0,2066.0,1027.0,,,,
15530,17:09.927,1,1933.0,863.0,2067.0,1026.0,,,,
15531,17:09.960,1,1933.0,864.0,2068.0,1026.0,,,,
15532,17:09.993,1,1933.0,864.0,2068.0,1026.0,,,,
15533,17:10.027,1,1934.0,865.0,2069.0,1026.0,,,,
15534,17:10.060,1,1936.0,863.0,2072.0,1026.0,,,,
15535,17:10.093,1,1939.0,865.0,2072.0,1026.0,,,,
15536,17:10.127,1,1941.0,866.0,2074.0,1026.0,,,,
15537,17:10.160,1,1942.0,866.0,2076.0,1026.0,,,,
15538,17:10.193,1,1942.0,864.0,2076.0,1025.0,,,,
15539,17:10.227,1,1942.0,864.0,2076.0,1025.0,,,,
15540,17:10.260,1,1942.0,862.0,2077.0,1023.0,,,,
15541,17:10.293,1,1941.0,861.0,2076.0,1023.0,,,,
15542,17:10.327,1,1941.0,862.0,2076.0,1024.0,,,,
15543,17:10.360,1,1942.0,862.0,2077.0,1023.0,,,,
15544,17:10.393,1,1944.0,865.0,2078.0,1023.0,,,,
15545,17:10.427,1,1946.0,865.0,2079.0,1023.0,,,,
15546,17:10.460,1,1947.0,865.0,2079.0,1022.0,,,,
15547,17:10.493,1,1947.0,864.0,2079.0,1022.0,,,,
