frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
11663,10:31.667,2,1628.0,436.0,1799.0,688.0,540.0,520.0,712.0,770.0,,,,
11664,12:45.007,2,1628.0,435.0,1799.0,688.0,541.0,518.0,712.0,770.0,,,,
11665,12:45.040,2,1628.0,434.0,1800.0,688.0,541.0,519.0,713.0,769.0,,,,
11666,12:45.073,2,1628.0,432.0,1800.0,687.0,541.0,518.0,713.0,769.0,,,,
11667,12:45.107,2,1628.0,432.0,1799.0,686.0,541.0,520.0,712.0,768.0,,,,
11668,12:45.140,2,1628.0,431.0,1800.0,685.0,541.0,517.0,712.0,767.0,,,,
11669,12:45.173,2,1629.0,430.0,1801.0,684.0,542.0,516.0,713.0,766.0,,,,
11670,12:45.207,2,1630.0,429.0,1802.0,683.0,542.0,515.0,713.0,766.0,,,,
11671,12:45.240,2,1631.0,429.0,1803.0,682.0,543.0,516.0,713.0,765.0,,,,
11672,12:45.273,2,1632.0,429.0,1804.0,683.0,544.0,517.0,713.0,765.0,,,,
11673,12:45.307,2,1632.0,430.0,1804.0,683.0,544.0,517.0,714.0,766.0,,,,
11674,12:45.340,2,1633.0,432.0,1805.0,683.0,545.0,517.0,715.0,766.0,,,,
11675,12:45.373,2,1634.0,433.0,1805.0,684.0,546.0,519.0,716.0,766.0,,,,
11676,12:45.407,2,1635.0,433.0,1806.0,685.0,547.0,518.0,717.0,766.0,,,,
11677,12:45.440,2,1636.0,432.0,1807.0,685.0,548.0,518.0,718.0,766.0,,,,
11678,12:45.473,2,1635.0,432.0,1807.0,686.0,549.0,520.0,718.0,767.0,,,,
11679,12:45.507,2,1635.0,433.0,1807.0,687.0,548.0,520.0,718.0,767.0,,,,
11680,12:45.540,2,1635.0,433.0,1807.0,687.0,548.0,520.0,718.0,768.0,,,,
11681,12:45.573,2,1635.0,433.0,1807.0,686.0,547.0,518.0,718.0,767.0,,,,
11682,12:45.607,2,1636.0,432.0,1807.0,685.0,548.0,518.0,718.0,767.0,,,,
11683,12:45.640,2,1636.0,432.0,1807.0,685.0,548.0,519.0,718.0,767.0,,,,
11684,12:45.673,2,1636.0,432.0,1807.0,685.0,548.0,520.0,718.0,767.0,,,,
11685,12:45.707,2,1636.0,433.0,1807.0,685.0,548.0,519.0,718.0,767.0,,,,
11686,12:45.740,2,1636.0,434.0,1807.0,686.0,548.0,520.0,717.0,768.0,,,,
11687,12:45.773,2,1635.0,434.0,1807.0,687.0,548.0,522.0,718.0,769.0,,,,
11688,12:45.807,2,1635.0,435.0,1807.0,687.0,548.0,521.0,718.0,769.0,,,,
11689,12:45.840,2,1635.0,435.0,1807.0,687.0,548.0,520.0,718.0,768.0,,,,
11690,12:45.873,2,1636.0,433.0,1807.0,686.0,547.0,518.0,718.0,768.0,,,,
11691,12:45.907,2,1635.0,432.0,1807.0,685.0,547.0,518.0,718.0,768.0,,,,
11692,12:45.940,2,1635.0,432.0,1807.0,686.0,547.0,519.0,718.0,768.0,,,,
11693,12:45.973,2,1635.0,434.0,1807.0,686.0,548.0,519.0,718.0,768.0,,,,
11694,12:46.007,2,1635.0,435.0,1807.0,687.0,548.0,521.0,718.0,768.0,,,,
11695,12:46.040,2,1635.0,436.0,1807.0,688.0,548.0,522.0,718.0,769.0,,,,
11696,12:46.073,2,1635.0,436.0,1807.0,688.0,549.0,522.0,719.0,769.0,,,,
11697,12:46.107,2,1635.0,436.0,1807.0,688.0,550.0,523.0,719.0,769.0,,,,
11698,12:46.140,2,1636.0,438.0,1808.0,688.0,551.0,522.0,720.0,771.0,,,,
11699,12:46.173,2,551.0,525.0,719.0,771.0,1636.0,440.0,1808.0,689.0,,,,
11700,12:46.207,2,551.0,526.0,719.0,773.0,1636.0,441.0,1807.0,689.0,,,,
11701,12:46.240,2,550.0,526.0,719.0,773.0,1636.0,442.0,1807.0,690.0,,,,
11702,12:46.273,2,549.0,527.0,719.0,772.0,1635.0,441.0,1806.0,689.0,,,,
11703,12:46.307,2,549.0,526.0,718.0,771.0,1634.0,440.0,1806.0,688.0,,,,
11704,12:46.340,2,1633.0,436.0,1805.0,688.0,548.0,525.0,718.0,770.0,,,,
11705,12:46.373,2,1633.0,436.0,1806.0,687.0,547.0,522.0,718.0,770.0,,,,
11706,12:46.407,2,1633.0,435.0,1805.0,686.0,546.0,522.0,716.0,769.0,,,,
11707,12:46.440,2,1631.0,435.0,1803.0,687.0,545.0,522.0,715.0,770.0,,,,
11708,12:46.473,2,1630.0,436.0,1803.0,688.0,544.0,524.0,714.0,771.0,,,,
11709,12:46.507,2,544.0,525.0,715.0,773.0,1630.0,436.0,1803.0,688.0,,,,
11710,12:46.540,2,545.0,526.0,716.0,772.0,1632.0,437.0,1804.0,688.0,,,,
11711,12:46.573,2,546.0,526.0,717.0,772.0,1632.0,438.0,1804.0,688.0,,,,
11712,12:46.607,2,546.0,526.0,717.0,772.0,1632.0,437.0,1804.0,688.0,,,,
11713,12:46.640,2,545.0,526.0,716.0,772.0,1631.0,436.0,1803.0,688.0,,,,
11714,12:46.673,2,544.0,526.0,715.0,773.0,1629.0,436.0,1802.0,688.0,,,,
11715,12:46.707,2,1628.0,435.0,1801.0,688.0,543.0,527.0,714.0,775.0,,,,
11716,12:46.740,2,542.0,529.0,713.0,775.0,1628.0,437.0,1799.0,688.0,,,,
11717,12:46.775,2,1626.0,438.0,1797.0,688.0,541.0,530.0,711.0,775.0,,,,
11718,12:46.808,2,1624.0,437.0,1796.0,688.0,540.0,532.0,709.0,775.0,,,,
11719,12:46.842,2,1624.0,438.0,1796.0,688.0,539.0,531.0,708.0,775.0,,,,
11720,12:46.875,2,1624.0,438.0,1796.0,688.0,539.0,531.0,708.0,775.0,,,,
11721,12:46.908,2,1624.0,437.0,1797.0,689.0,540.0,531.0,709.0,775.0,,,,
11722,12:46.942,2,539.0,532.0,709.0,776.0,1625.0,441.0,1797.0,689.0,,,,
11723,12:46.975,2,540.0,532.0,709.0,776.0,1625.0,441.0,1797.0,689.0,,,,
11724,12:47.008,2,540.0,532.0,709.0,776.0,1625.0,441.0,1797.0,689.0,,,,
11725,12:47.042,2,540.0,530.0,710.0,776.0,1626.0,442.0,1798.0,690.0,,,,
11726,12:47.075,2,542.0,529.0,712.0,775.0,1627.0,441.0,1799.0,689.0,,,,
11727,12:47.108,2,543.0,527.0,714.0,775.0,1628.0,437.0,1800.0,688.0,,,,
11728,12:47.142,2,544.0,526.0,715.0,774.0,1629.0,437.0,1801.0,688.0,,,,
11729,12:47.175,2,544.0,526.0,715.0,774.0,1629.0,437.0,1801.0,688.0,,,,
11730,12:47.208,2,544.0,525.0,715.0,774.0,1629.0,437.0,1802.0,689.0,,,,
11731,12:47.242,2,544.0,525.0,715.0,774.0,1629.0,438.0,1802.0,689.0,,,,
11732,12:47.275,2,544.0,525.0,715.0,774.0,1629.0,439.0,1802.0,689.0,,,,
11733,12:47.308,2,544.0,526.0,716.0,775.0,1630.0,440.0,1803.0,690.0,,,,
11734,12:47.342,2,544.0,525.0,716.0,774.0,1630.0,440.0,1803.0,690.0,,,,
11735,12:47.375,2,544.0,526.0,716.0,775.0,1630.0,442.0,1802.0,690.0,,,,
11736,12:47.408,2,544.0,525.0,716.0,775.0,1629.0,442.0,1802.0,691.0,,,,
11737,12:47.442,2,544.0,527.0,715.0,775.0,1629.0,443.0,1802.0,691.0,,,,
11738,12:47.475,2,544.0,527.0,715.0,776.0,1628.0,443.0,1802.0,693.0,,,,
11739,12:47.508,2,544.0,528.0,715.0,776.0,1628.0,445.0,1802.0,693.0,,,,
