frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
7633,07:00.000,0,,,,,,,,,,,,
7634,08:24.693,0,,,,,,,,,,,,
7635,08:24.727,1,-45.0,908.0,58.0,1045.0,,,,,,,,
7636,08:24.760,1,-46.0,923.0,68.0,1061.0,,,,,,,,
7637,08:24.793,1,-43.0,927.0,74.0,1068.0,,,,,,,,
7638,08:24.827,1,-35.0,936.0,81.0,1076.0,,,,,,,,
7639,08:24.860,1,-24.0,944.0,98.0,1085.0,,,,,,,,
7640,08:24.893,1,-14.0,952.0,108.0,1095.0,,,,,,,,
7641,08:24.927,1,-9.0,959.0,117.0,1103.0,,,,,,,,
7642,08:24.960,1,2.0,964.0,126.0,1107.0,,,,,,,,
7643,08:24.993,1,8.0,968.0,134.0,1111.0,,,,,,,,
7644,08:25.027,1,12.0,974.0,140.0,1114.0,,,,,,,,
7645,08:25.060,1,20.0,979.0,147.0,1118.0,,,,,,,,
7646,08:25.093,1,22.0,982.0,152.0,1123.0,,,,,,,,
7647,08:25.127,1,24.0,986.0,157.0,1129.0,,,,,,,,
7648,08:25.160,1,25.0,993.0,162.0,1133.0,,,,,,,,
7649,08:25.193,1,27.0,994.0,166.0,1134.0,,,,,,,,
7650,08:25.227,1,28.0,995.0,171.0,1137.0,,,,,,,,
7651,08:25.260,1,30.0,995.0,172.0,1139.0,,,,,,,,
7652,08:25.293,1,34.0,995.0,174.0,1138.0,,,,,,,,
7653,08:25.327,1,40.0,997.0,175.0,1139.0,,,,,,,,
7654,08:25.360,1,43.0,995.0,179.0,1140.0,,,,,,,,
7655,08:25.393,1,48.0,998.0,184.0,1140.0,,,,,,,,
7656,08:25.427,1,51.0,1000.0,188.0,1141.0,,,,,,,,
7657,08:25.460,1,58.0,1001.0,195.0,1143.0,,,,,,,,
7658,08:25.493,1,62.0,1001.0,197.0,1144.0,,,,,,,,
7659,08:25.527,1,65.0,1004.0,198.0,1145.0,,,,,,,,
7660,08:25.560,1,66.0,1005.0,198.0,1147.0,,,,,,,,
7661,08:25.593,1,66.0,1004.0,199.0,1146.0,,,,,,,,
7662,08:25.627,1,65.0,1003.0,199.0,1144.0,,,,,,,,
7663,08:25.660,1,64.0,1001.0,198.0,1143.0,,,,,,,,
7664,08:25.693,1,61.0,999.0,195.0,1142.0,,,,,,,,
7665,08:25.727,1,59.0,999.0,192.0,1141.0,,,,,,,,
7666,08:25.760,1,57.0,997.0,190.0,1140.0,,,,,,,,
7667,08:25.793,1,56.0,1003.0,188.0,1142.0,,,,,,,,
7668,08:25.827,1,54.0,1004.0,185.0,1145.0,,,,,,,,
7669,08:25.860,1,54.0,1005.0,184.0,1146.0,,,,,,,,
7670,08:25.893,1,54.0,1006.0,183.0,1147.0,,,,,,,,
7671,08:25.927,1,52.0,1005.0,180.0,1148.0,,,,,,,,
7672,08:25.960,1,50.0,1005.0,177.0,1147.0,,,,,,,,
7673,08:25.993,1,48.0,1006.0,173.0,1144.0,,,,,,,,
7674,08:26.027,1,42.0,1002.0,169.0,1140.0,,,,,,,,
7675,08:26.060,1,43.0,999.0,165.0,1137.0,,,,,,,,
7676,08:26.093,1,40.0,990.0,166.0,1134.0,,,,,,,,
7677,08:26.127,1,40.0,985.0,165.0,1129.0,,,,,,,,
7678,08:26.160,1,43.0,986.0,168.0,1127.0,,,,,,,,
7679,08:26.193,1,47.0,989.0,171.0,1129.0,,,,,,,,
7680,08:26.227,1,49.0,988.0,174.0,1130.0,,,,,,,,
7681,08:26.260,1,50.0,989.0,175.0,1129.0,,,,,,,,
7682,08:26.293,1,48.0,987.0,174.0,1128.0,,,,,,,,
7683,08:26.327,1,47.0,982.0,172.0,1121.0,,,,,,,,
7684,08:26.360,1,45.0,979.0,170.0,1116.0,,,,,,,,
7685,08:26.393,1,45.0,974.0,169.0,1113.0,,,,,,,,
7686,08:26.427,1,44.0,967.0,171.0,1108.0,,,,,,,,
7687,08:26.460,1,47.0,959.0,172.0,1099.0,,,,,,,,
7688,08:26.493,1,49.0,950.0,174.0,1089.0,,,,,,,,
7689,08:26.527,1,55.0,950.0,179.0,1087.0,,,,,,,,
7690,08:26.560,1,67.0,949.0,188.0,1090.0,,,,,,,,
7691,08:26.593,1,81.0,951.0,201.0,1087.0,,,,,,,,
7692,08:26.627,1,87.0,948.0,210.0,1085.0,,,,,,,,
7693,08:26.660,1,94.0,943.0,218.0,1081.0,,,,,,,,
7694,08:26.693,1,100.0,937.0,222.0,1074.0,,,,,,,,
7695,08:26.727,1,100.0,925.0,224.0,1066.0,,,,,,,,
7696,08:26.760,1,98.0,916.0,219.0,1055.0,,,,,,,,
7697,08:26.793,1,91.0,903.0,213.0,1047.0,,,,,,,,
7698,08:26.827,1,82.0,898.0,203.0,1034.0,,,,,,,,
7699,08:26.860,1,67.0,884.0,187.0,1022.0,,,,,,,,
7700,08:26.893,1,49.0,872.0,172.0,1010.0,,,,,,,,
7701,08:26.927,1,25.0,853.0,155.0,994.0,,,,,,,,
7702,08:26.960,1,13.0,846.0,139.0,986.0,,,,,,,,
7703,08:26.993,1,5.0,835.0,126.0,980.0,,,,,,,,
7704,08:27.027,1,-8.0,837.0,113.0,980.0,,,,,,,,
7705,08:27.060,1,-20.0,841.0,103.0,983.0,,,,,,,,
7706,08:27.093,1,-21.0,845.0,96.0,985.0,,,,,,,,
7707,08:27.127,1,-27.0,848.0,89.0,988.0,,,,,,,,
7708,08:27.160,1,-29.0,849.0,83.0,989.0,,,,,,,,
7709,08:27.193,1,-38.0,849.0,72.0,987.0,,,,,,,,
7710,08:27.227,1,-41.0,845.0,68.0,983.0,,,,,,,,
7711,08:27.260,1,-42.0,836.0,67.0,979.0,,,,,,,,
7712,08:27.293,1,-41.0,833.0,67.0,976.0,,,,,,,,
7713,08:27.328,1,-39.0,823.0,69.0,969.0,,,,,,,,
7714,08:27.362,1,-36.0,817.0,74.0,956.0,,,,,,,,
7715,08:27.395,1,-30.0,807.0,81.0,951.0,,,,,,,,
7716,08:27.428,1,-28.0,801.0,82.0,942.0,,,,,,,,
7717,08:27.462,1,-29.0,798.0,81.0,937.0,,,,,,,,
7718,08:27.495,1,-31.0,796.0,77.0,936.0,,,,,,,,
7719,08:27.528,1,-33.0,800.0,78.0,942.0,,,,,,,,
7720,08:27.562,1,-31.0,806.0,80.0,949.0,,,,,,,,
7721,08:27.595,1,-28.0,810.0,84.0,950.0,,,,,,,,
7722,08:27.628,1,-25.0,811.0,89.0,950.0,,,,,,,,
7723,08:27.662,1,-22.0,814.0,95.0,952.0,,,,,,,,
7724,08:27.695,1,-21.0,819.0,101.0,956.0,,,,,,,,
7725,08:27.728,1,-15.0,821.0,105.0,962.0,,,,,,,,
7726,08:27.762,1,-11.0,821.0,111.0,964.0,,,,,,,,
7727,08:27.795,1,-8.0,817.0,117.0,961.0,,,,,,,,
7728,08:27.828,1,2.0,814.0,124.0,955.0,,,,,,,,
7729,08:27.862,1,9.0,810.0,131.0,952.0,,,,,,,,
7730,08:27.895,1,20.0,807.0,140.0,948.0,,,,,,,,
7731,08:27.928,1,24.0,802.0,147.0,941.0,,,,,,,,
7732,08:27.962,1,32.0,797.0,155.0,936.0,,,,,,,,
7733,08:27.995,1,42.0,792.0,167.0,933.0,,,,,,,,
7734,08:28.028,1,52.0,792.0,176.0,933.0,,,,,,,,
7735,08:28.062,1,57.0,787.0,184.0,929.0,,,,,,,,
7736,08:28.095,1,61.0,783.0,187.0,925.0,,,,,,,,
7737,08:28.128,1,60.0,783.0,186.0,925.0,,,,,,,,
7738,08:28.162,1,54.0,785.0,183.0,929.0,,,,,,,,
7739,08:28.195,1,58.0,794.0,181.0,935.0,,,,,,,,
7740,08:28.228,1,62.0,802.0,183.0,944.0,,,,,,,,
7741,08:28.262,1,62.0,810.0,188.0,954.0,,,,,,,,
7742,08:28.295,1,69.0,816.0,194.0,961.0,,,,,,,,
7743,08:28.328,1,76.0,823.0,200.0,965.0,,,,,,,,
7744,08:28.362,1,78.0,828.0,202.0,968.0,,,,,,,,
7745,08:28.395,1,78.0,831.0,200.0,972.0,,,,,,,,
7746,08:28.428,1,71.0,832.0,192.0,974.0,,,,,,,,
7747,08:28.462,1,58.0,831.0,182.0,973.0,,,,,,,,
7748,08:28.495,1,36.0,829.0,166.0,975.0,,,,,,,,
7749,08:28.528,1,21.0,832.0,149.0,976.0,,,,,,,,
7750,08:28.562,1,7.0,834.0,133.0,977.0,,,,,,,,
7751,08:28.595,1,-6.0,834.0,119.0,979.0,,,,,,,,
7752,08:28.628,1,-13.0,839.0,107.0,982.0,,,,,,,,
7753,08:28.662,1,-19.0,841.0,100.0,982.0,,,,,,,,
7754,08:28.695,1,-22.0,843.0,98.0,984.0,,,,,,,,
7755,08:28.728,1,-20.0,847.0,97.0,987.0,,,,,,,,
7756,08:28.762,1,-17.0,850.0,100.0,991.0,,,,,,,,
7757,08:28.795,1,-17.0,853.0,104.0,996.0,,,,,,,,
7758,08:28.828,1,-12.0,857.0,107.0,1000.0,,,,,,,,
7759,08:28.862,1,-9.0,863.0,113.0,1005.0,,,,,,,,
7760,08:28.895,1,-5.0,865.0,120.0,1008.0,,,,,,,,
7761,08:28.928,1,0.0,866.0,125.0,1009.0,,,,,,,,
7762,08:28.962,1,7.0,869.0,130.0,1012.0,,,,,,,,
7763,08:28.995,1,10.0,873.0,135.0,1013.0,,,,,,,,
