frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
7263,06:35.000,2,1602.0,710.0,1750.0,933.0,-62.0,769.0,120.0,1016.0
7264,07:58.200,2,1602.0,712.0,1750.0,933.0,-63.0,772.0,122.0,1019.0
7265,07:58.233,2,1596.0,709.0,1746.0,932.0,-62.0,772.0,121.0,1018.0
7266,07:58.267,2,1596.0,709.0,1745.0,932.0,-63.0,770.0,120.0,1017.0
7267,07:58.300,2,1595.0,707.0,1742.0,931.0,-62.0,770.0,121.0,1020.0
7268,07:58.333,2,1597.0,710.0,1742.0,931.0,-61.0,772.0,123.0,1021.0
7269,07:58.367,2,1598.0,712.0,1743.0,931.0,-61.0,770.0,125.0,1022.0
7270,07:58.400,2,1600.0,711.0,1742.0,931.0,-59.0,769.0,125.0,1019.0
7271,07:58.433,2,1600.0,710.0,1743.0,930.0,-60.0,766.0,124.0,1017.0
7272,07:58.467,2,1601.0,710.0,1744.0,931.0,-60.0,766.0,124.0,1015.0
7273,07:58.500,2,1599.0,708.0,1743.0,931.0,-62.0,764.0,122.0,1013.0
7274,07:58.533,2,1599.0,710.0,1744.0,931.0,-68.0,761.0,120.0,1016.0
7275,07:58.567,2,1598.0,710.0,1744.0,931.0,-68.0,762.0,119.0,1017.0
7276,07:58.600,2,1598.0,711.0,1745.0,932.0,-67.0,763.0,118.0,1018.0
7277,07:58.633,2,1597.0,708.0,1745.0,932.0,-68.0,763.0,117.0,1016.0
7278,07:58.667,2,1596.0,709.0,1744.0,931.0,-67.0,764.0,117.0,1015.0
7279,07:58.700,2,1597.0,710.0,1745.0,932.0,-67.0,765.0,116.0,1014.0
7280,07:58.733,2,1596.0,711.0,1745.0,932.0,-67.0,768.0,114.0,1014.0
7281,07:58.767,2,1599.0,710.0,1747.0,931.0,-68.0,769.0,114.0,1014.0
7282,07:58.800,2,1599.0,709.0,1749.0,928.0,-68.0,767.0,113.0,1013.0
7283,07:58.835,2,1602.0,707.0,1752.0,928.0,-68.0,766.0,114.0,1013.0
7284,07:58.868,2,1604.0,708.0,1753.0,928.0,-68.0,765.0,114.0,1012.0
7285,07:58.902,2,1605.0,708.0,1754.0,928.0,-69.0,765.0,113.0,1012.0
7286,07:58.935,2,1604.0,709.0,1754.0,925.0,-69.0,766.0,113.0,1011.0
7287,07:58.968,2,1604.0,708.0,1754.0,926.0,-70.0,763.0,111.0,1010.0
7288,07:59.002,2,1604.0,706.0,1753.0,925.0,-71.0,761.0,111.0,1010.0
7289,07:59.035,2,1603.0,706.0,1753.0,924.0,-71.0,761.0,111.0,1010.0
7290,07:59.068,2,1604.0,707.0,1754.0,926.0,-70.0,762.0,112.0,1011.0
7291,07:59.102,2,1605.0,709.0,1755.0,927.0,-70.0,763.0,113.0,1012.0
7292,07:59.135,2,1606.0,707.0,1757.0,924.0,-70.0,762.0,113.0,1013.0
7293,07:59.168,2,1606.0,705.0,1756.0,924.0,-70.0,762.0,113.0,1013.0
