frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
15774,07:51.000,07:51.032,2,1166.0,753.0,1249.0,875.0,1830.0,723.0,1926.0,859.0,,,,
15789,07:51.500,07:51.532,2,1166.0,747.0,1248.0,869.0,1830.0,715.0,1929.0,848.0,,,,
15804,07:52.000,07:52.032,2,1186.0,752.0,1267.0,875.0,1857.0,735.0,1959.0,869.0,,,,
15819,07:52.500,07:52.532,2,1154.0,724.0,1236.0,847.0,1806.0,694.0,1907.0,833.0,,,,
15834,07:53.000,07:53.032,2,1163.0,684.0,1243.0,811.0,1813.0,655.0,1915.0,797.0,,,,
15849,07:53.500,07:53.532,2,1140.0,643.0,1222.0,776.0,1792.0,611.0,1893.0,751.0,,,,
15864,07:54.000,07:54.032,2,1333.0,686.0,1415.0,810.0,2035.0,634.0,2153.0,779.0,,,,
15879,07:54.500,07:54.532,1,1783.0,768.0,1880.0,911.0,,,,,,,,
15893,07:55.000,07:55.000,1,1831.0,786.0,1930.0,928.0,,,,,,,,
15908,07:55.500,07:55.500,1,1828.0,776.0,1928.0,920.0,,,,,,,,
15923,07:56.000,07:56.000,1,1744.0,764.0,1840.0,903.0,,,,,,,,
15938,07:56.500,07:56.500,2,1503.0,725.0,1590.0,859.0,2271.0,675.0,2391.0,833.0,,,,
15953,07:57.000,07:57.000,2,1412.0,736.0,1496.0,858.0,2136.0,684.0,2259.0,837.0,,,,
15968,07:57.500,07:57.500,2,1399.0,743.0,1482.0,862.0,2116.0,687.0,2235.0,841.0,,,,
15983,07:58.000,07:58.000,2,1472.0,771.0,1558.0,900.0,2225.0,716.0,2356.0,873.0,,,,
15998,07:58.500,07:58.500,1,1925.0,873.0,2031.0,1020.0,,,,,,,,
16014,07:59.000,07:59.027,1,1960.0,893.0,2067.0,1040.0,,,,,,,,
16029,07:59.500,07:59.527,1,1953.0,881.0,2061.0,1027.0,,,,,,,,
16044,08:00.000,08:00.027,1,1944.0,868.0,2050.0,1013.0,,,,,,,,
16059,08:00.500,08:00.527,1,1935.0,861.0,2040.0,1006.0,,,,,,,,
16074,08:01.000,08:01.027,1,1913.0,850.0,2016.0,995.0,,,,,,,,
16089,08:01.500,08:01.527,1,1905.0,832.0,2008.0,974.0,,,,,,,,
16104,08:02.000,08:02.027,1,1891.0,812.0,1992.0,953.0,,,,,,,,
16119,08:02.500,08:02.527,1,1887.0,797.0,1988.0,940.0,,,,,,,,
16134,08:03.000,08:03.028,1,1886.0,776.0,1989.0,919.0,,,,,,,,
16149,08:03.500,08:03.528,1,1888.0,783.0,1990.0,926.0,,,,,,,,
16164,08:04.000,08:04.028,1,1889.0,778.0,1990.0,922.0,,,,,,,,
16179,08:04.500,08:04.528,1,1888.0,773.0,1989.0,916.0,,,,,,,,
16194,08:05.000,08:05.028,1,1886.0,777.0,1988.0,921.0,,,,,,,,
16209,08:05.500,08:05.528,1,1604.0,768.0,1694.0,899.0,,,,,,,,
16224,08:06.000,08:06.028,3,736.0,812.0,824.0,942.0,1361.0,811.0,1449.0,941.0,2110.0,836.0,2337.0,1124.0
16239,08:06.500,08:06.528,3,510.0,813.0,607.0,947.0,1853.0,837.0,2042.0,1109.0,1167.0,817.0,1256.0,944.0
16254,08:07.000,08:07.030,2,1018.0,778.0,1101.0,903.0,1640.0,784.0,1737.0,920.0,,,,
16269,08:07.500,08:07.530,2,1849.0,839.0,1957.0,978.0,1210.0,825.0,1290.0,942.0,,,,
16284,08:08.000,08:08.030,2,1271.0,787.0,1353.0,912.0,1925.0,802.0,2037.0,945.0,,,,
16299,08:08.500,08:08.530,2,1279.0,795.0,1360.0,919.0,1933.0,811.0,2044.0,954.0,,,,
16314,08:09.000,08:09.030,2,1278.0,763.0,1359.0,887.0,1932.0,775.0,2044.0,919.0,,,,
16329,08:09.500,08:09.530,2,1283.0,739.0,1365.0,862.0,1940.0,752.0,2051.0,896.0,,,,
16343,08:10.000,08:10.022,2,1494.0,757.0,1580.0,886.0,2234.0,777.0,2368.0,929.0,,,,
16359,08:10.500,08:10.530,1,1635.0,743.0,1726.0,876.0,,,,,,,,
