frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
5195,02:19.000,02:19.000,1,249.0,724.0,378.0,865.0,,,,,,,,,,,,
5210,02:19.500,02:19.500,1,272.0,716.0,392.0,861.0,,,,,,,,,,,,
5225,02:20.000,02:20.000,1,314.0,720.0,430.0,863.0,,,,,,,,,,,,
5240,02:20.500,02:20.500,1,307.0,714.0,421.0,860.0,,,,,,,,,,,,
5255,02:21.000,02:21.000,1,292.0,722.0,407.0,866.0,,,,,,,,,,,,
5270,02:21.500,02:21.502,1,282.0,713.0,401.0,863.0,,,,,,,,,,,,
5285,02:22.000,02:22.002,1,261.0,706.0,376.0,853.0,,,,,,,,,,,,
5300,02:22.500,02:22.502,1,229.0,700.0,354.0,846.0,,,,,,,,,,,,
5315,02:23.000,02:23.002,1,219.0,709.0,351.0,860.0,,,,,,,,,,,,
5330,02:23.500,02:23.502,1,326.0,693.0,457.0,847.0,,,,,,,,,,,,
5345,02:24.000,02:24.002,1,234.0,709.0,378.0,874.0,,,,,,,,,,,,
5360,02:24.500,02:24.502,1,72.0,674.0,231.0,850.0,,,,,,,,,,,,
5375,02:25.000,02:25.002,1,138.0,671.0,288.0,837.0,,,,,,,,,,,,
5391,02:25.500,02:25.528,1,503.0,719.0,629.0,877.0,,,,,,,,,,,,
5406,02:26.000,02:26.028,1,302.0,736.0,440.0,899.0,,,,,,,,,,,,
5421,02:26.500,02:26.528,1,60.0,717.0,221.0,893.0,,,,,,,,,,,,
5436,02:27.000,02:27.028,1,79.0,723.0,235.0,899.0,,,,,,,,,,,,
5451,02:27.500,02:27.528,1,56.0,727.0,216.0,904.0,,,,,,,,,,,,
5466,02:28.000,02:28.028,1,112.0,725.0,268.0,897.0,,,,,,,,,,,,
5481,02:28.500,02:28.528,1,142.0,742.0,291.0,907.0,,,,,,,,,,,,
5496,02:29.000,02:29.028,1,140.0,737.0,293.0,905.0,,,,,,,,,,,,
5511,02:29.500,02:29.530,1,133.0,731.0,283.0,898.0,,,,,,,,,,,,
5526,02:30.000,02:30.030,1,133.0,732.0,283.0,899.0,,,,,,,,,,,,
5541,02:30.500,02:30.530,1,138.0,732.0,290.0,896.0,,,,,,,,,,,,
5556,02:31.000,02:31.030,1,143.0,744.0,294.0,908.0,,,,,,,,,,,,
5571,02:31.500,02:31.530,1,154.0,737.0,303.0,903.0,,,,,,,,,,,,
5586,02:32.000,02:32.030,1,155.0,736.0,304.0,899.0,,,,,,,,,,,,
5601,02:32.500,02:32.530,1,153.0,741.0,299.0,905.0,,,,,,,,,,,,
5616,02:33.000,02:33.032,1,276.0,733.0,416.0,898.0,,,,,,,,,,,,
5631,02:33.500,02:33.532,1,280.0,748.0,417.0,907.0,,,,,,,,,,,,
5646,02:34.000,02:34.032,1,252.0,745.0,393.0,908.0,,,,,,,,,,,,
5661,02:34.500,02:34.532,1,187.0,748.0,333.0,910.0,,,,,,,,,,,,
5676,02:35.000,02:35.032,1,197.0,744.0,341.0,903.0,,,,,,,,,,,,
5691,02:35.500,02:35.532,1,186.0,747.0,331.0,908.0,,,,,,,,,,,,
