frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
10429,05:43.000,05:43.012,1,1065.0,769.0,1165.0,916.0,,,,
10446,05:43.500,05:43.520,1,1068.0,761.0,1167.0,902.0,,,,
10462,05:44.000,05:44.003,1,1067.0,769.0,1165.0,909.0,,,,
10479,05:44.500,05:44.513,1,1068.0,760.0,1165.0,899.0,,,,
10496,05:45.000,05:45.022,1,1069.0,743.0,1167.0,870.0,,,,
10512,05:45.500,05:45.505,0,,,,,,,,
10529,05:46.000,05:46.013,1,1090.0,725.0,1184.0,862.0,,,,
10546,05:46.500,05:46.522,1,1087.0,657.0,1190.0,802.0,,,,
10562,05:47.000,05:47.005,1,1092.0,631.0,1197.0,779.0,,,,
10579,05:47.500,05:47.513,1,1075.0,669.0,1177.0,809.0,,,,
10596,05:48.000,05:48.022,1,1058.0,672.0,1161.0,814.0,,,,
10612,05:48.500,05:48.507,2,450.0,730.0,657.0,987.0,1510.0,746.0,1622.0,898.0
10629,05:49.000,05:49.015,2,759.0,726.0,939.0,963.0,1788.0,742.0,1911.0,905.0
10646,05:49.500,05:49.523,2,1692.0,752.0,1810.0,908.0,660.0,728.0,843.0,968.0
10663,05:50.000,05:50.032,2,594.0,702.0,780.0,944.0,1634.0,740.0,1749.0,892.0
10679,05:50.500,05:50.515,2,-23.0,655.0,219.0,952.0,1188.0,741.0,1293.0,889.0
10696,05:51.000,05:51.023,1,641.0,744.0,755.0,897.0,,,,
10713,05:51.500,05:51.532,1,702.0,745.0,813.0,898.0,,,,
10729,05:52.000,05:52.015,1,732.0,737.0,843.0,886.0,,,,
10746,05:52.500,05:52.525,1,759.0,725.0,867.0,874.0,,,,
10762,05:53.000,05:53.000,1,784.0,717.0,891.0,862.0,,,,
10779,05:53.500,05:53.508,1,781.0,707.0,887.0,856.0,,,,
10796,05:54.000,05:54.025,1,780.0,705.0,886.0,854.0,,,,
10812,05:54.500,05:54.500,1,790.0,700.0,895.0,850.0,,,,
10829,05:55.000,05:55.008,1,804.0,673.0,912.0,825.0,,,,
10846,05:55.500,05:55.525,1,809.0,669.0,917.0,822.0,,,,
10862,05:56.000,05:56.000,1,722.0,687.0,831.0,841.0,,,,
10879,05:56.500,05:56.508,1,428.0,793.0,552.0,958.0,,,,
10896,05:57.000,05:57.018,1,50.0,929.0,208.0,1111.0,,,,
10912,05:57.500,05:57.502,1,85.0,1019.0,242.0,1204.0,,,,
10929,05:58.000,05:58.010,0,,,,,,,,
10946,05:58.500,05:58.518,0,,,,,,,,
10962,05:59.000,05:59.002,0,,,,,,,,
10979,05:59.500,05:59.510,0,,,,,,,,
10996,06:00.000,06:00.018,0,,,,,,,,
11012,06:00.500,06:00.502,2,21.0,1149.0,245.0,1450.0,1232.0,1256.0,1341.0,1420.0
11029,06:01.000,06:01.012,2,1650.0,964.0,1767.0,1126.0,629.0,863.0,793.0,1095.0
11046,06:01.500,06:01.520,2,1668.0,909.0,1784.0,1075.0,656.0,827.0,808.0,1054.0
