frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
12937,12:00.000,0,,,,,,,,
12938,14:23.595,0,,,,,,,,
12939,14:23.628,0,,,,,,,,
12940,14:23.662,0,,,,,,,,
12941,14:23.695,0,,,,,,,,
12942,14:23.728,0,,,,,,,,
12943,14:23.762,0,,,,,,,,
12944,14:23.795,0,,,,,,,,
12945,14:23.828,0,,,,,,,,
12946,14:23.862,0,,,,,,,,
12947,14:23.895,0,,,,,,,,
12948,14:23.928,0,,,,,,,,
12949,14:23.962,0,,,,,,,,
12950,14:23.995,0,,,,,,,,
12951,14:24.028,0,,,,,,,,
12952,14:24.062,0,,,,,,,,
12953,14:24.095,0,,,,,,,,
12954,14:24.128,0,,,,,,,,
12955,14:24.162,0,,,,,,,,
12956,14:24.195,0,,,,,,,,
12957,14:24.228,0,,,,,,,,
12958,14:24.262,0,,,,,,,,
12959,14:24.295,0,,,,,,,,
12960,14:24.328,0,,,,,,,,
12961,14:24.362,0,,,,,,,,
12962,14:24.395,0,,,,,,,,
12963,14:24.428,0,,,,,,,,
12964,14:24.462,0,,,,,,,,
12965,14:24.495,0,,,,,,,,
12966,14:24.530,0,,,,,,,,
12967,14:24.563,0,,,,,,,,
12968,14:24.597,0,,,,,,,,
12969,14:24.630,0,,,,,,,,
12970,14:24.663,0,,,,,,,,
12971,14:24.697,0,,,,,,,,
12972,14:24.730,0,,,,,,,,
12973,14:24.763,0,,,,,,,,
12974,14:24.797,0,,,,,,,,
12975,14:24.830,0,,,,,,,,
12976,14:24.863,0,,,,,,,,
12977,14:24.897,0,,,,,,,,
12978,14:24.930,0,,,,,,,,
12979,14:24.963,0,,,,,,,,
12980,14:24.997,0,,,,,,,,
12981,14:25.030,0,,,,,,,,
12982,14:25.063,0,,,,,,,,
12983,14:25.097,0,,,,,,,,
12984,14:25.130,0,,,,,,,,
12985,14:25.163,0,,,,,,,,
12986,14:25.197,0,,,,,,,,
12987,14:25.230,0,,,,,,,,
12988,14:25.263,0,,,,,,,,
12989,14:25.297,0,,,,,,,,
12990,14:25.330,0,,,,,,,,
12991,14:25.363,0,,,,,,,,
12992,14:25.397,0,,,,,,,,
12993,14:25.430,0,,,,,,,,
12994,14:25.463,0,,,,,,,,
12995,14:25.497,0,,,,,,,,
12996,14:25.530,0,,,,,,,,
12997,14:25.563,0,,,,,,,,
12998,14:25.597,0,,,,,,,,
12999,14:25.630,0,,,,,,,,
13000,14:25.663,0,,,,,,,,
13001,14:25.697,0,,,,,,,,
13002,14:25.730,0,,,,,,,,
13003,14:25.763,0,,,,,,,,
13004,14:25.797,0,,,,,,,,
13005,14:25.830,0,,,,,,,,
13006,14:25.863,0,,,,,,,,
13007,14:25.905,0,,,,,,,,
13008,14:25.930,0,,,,,,,,
13009,14:25.963,0,,,,,,,,
13010,14:25.997,0,,,,,,,,
13011,14:26.030,0,,,,,,,,
13012,14:26.063,0,,,,,,,,
13013,14:26.097,0,,,,,,,,
13014,14:26.130,0,,,,,,,,
13015,14:26.163,0,,,,,,,,
13016,14:26.197,0,,,,,,,,
13017,14:26.230,0,,,,,,,,
13018,14:26.263,0,,,,,,,,
13019,14:26.297,0,,,,,,,,
13020,14:26.330,0,,,,,,,,
13021,14:26.363,0,,,,,,,,
13022,14:26.397,0,,,,,,,,
13023,14:26.430,0,,,,,,,,
13024,14:26.463,0,,,,,,,,
13025,14:26.497,0,,,,,,,,
13026,14:26.530,0,,,,,,,,
13027,14:26.563,0,,,,,,,,
13028,14:26.597,0,,,,,,,,
13029,14:26.630,0,,,,,,,,
13030,14:26.663,0,,,,,,,,
13031,14:26.697,0,,,,,,,,
13032,14:26.730,0,,,,,,,,
13033,14:26.763,0,,,,,,,,
13034,14:26.797,0,,,,,,,,
13035,14:26.830,0,,,,,,,,
13036,14:26.863,0,,,,,,,,
13037,14:26.897,0,,,,,,,,
13038,14:26.930,0,,,,,,,,
13039,14:26.963,0,,,,,,,,
13040,14:26.997,0,,,,,,,,
13041,14:27.030,0,,,,,,,,
13042,14:27.063,0,,,,,,,,
13043,14:27.097,0,,,,,,,,
13044,14:27.130,0,,,,,,,,
13045,14:27.163,0,,,,,,,,
13046,14:27.197,0,,,,,,,,
13047,14:27.230,0,,,,,,,,
13048,14:27.263,0,,,,,,,,
13049,14:27.297,0,,,,,,,,
13050,14:27.330,0,,,,,,,,
13051,14:27.363,0,,,,,,,,
13052,14:27.397,0,,,,,,,,
13053,14:27.430,0,,,,,,,,
13054,14:27.463,0,,,,,,,,
13055,14:27.497,0,,,,,,,,
13056,14:27.530,0,,,,,,,,
13057,14:27.563,0,,,,,,,,
13058,14:27.597,0,,,,,,,,
13059,14:27.630,0,,,,,,,,
13060,14:27.663,0,,,,,,,,
13061,14:27.697,0,,,,,,,,
13062,14:27.730,0,,,,,,,,
13063,14:27.763,0,,,,,,,,
13064,14:27.797,0,,,,,,,,
13065,14:27.830,0,,,,,,,,
13066,14:27.863,0,,,,,,,,
13067,14:27.897,0,,,,,,,,
13068,14:27.930,0,,,,,,,,
13069,14:27.963,0,,,,,,,,
13070,14:27.997,0,,,,,,,,
13071,14:28.030,0,,,,,,,,
13072,14:28.063,0,,,,,,,,
13073,14:28.097,0,,,,,,,,
13074,14:28.130,0,,,,,,,,
13075,14:28.163,0,,,,,,,,
13076,14:28.197,0,,,,,,,,
13077,14:28.230,0,,,,,,,,
13078,14:28.263,0,,,,,,,,
13079,14:28.297,0,,,,,,,,
13080,14:28.330,0,,,,,,,,
13081,14:28.363,0,,,,,,,,
13082,14:28.397,0,,,,,,,,
13083,14:28.430,0,,,,,,,,
13084,14:28.463,0,,,,,,,,
13085,14:28.498,0,,,,,,,,
13086,14:28.532,0,,,,,,,,
13087,14:28.565,0,,,,,,,,
13088,14:28.598,0,,,,,,,,
13089,14:28.632,0,,,,,,,,
13090,14:28.665,0,,,,,,,,
13091,14:28.698,0,,,,,,,,
13092,14:28.732,0,,,,,,,,
13093,14:28.765,0,,,,,,,,
13094,14:28.798,0,,,,,,,,
13095,14:28.832,0,,,,,,,,
13096,14:28.865,0,,,,,,,,
13097,14:28.898,0,,,,,,,,
13098,14:28.932,0,,,,,,,,
13099,14:28.965,0,,,,,,,,
13100,14:28.990,0,,,,,,,,
13101,14:29.007,0,,,,,,,,
13102,14:29.032,0,,,,,,,,
13103,14:29.065,0,,,,,,,,
13104,14:29.098,0,,,,,,,,
13105,14:29.132,0,,,,,,,,
13106,14:29.165,0,,,,,,,,
13107,14:29.198,0,,,,,,,,
13108,14:29.232,0,,,,,,,,
13109,14:29.265,0,,,,,,,,
13110,14:29.298,0,,,,,,,,
13111,14:29.332,0,,,,,,,,
13112,14:29.365,0,,,,,,,,
13113,14:29.398,0,,,,,,,,
13114,14:29.432,0,,,,,,,,
13115,14:29.465,0,,,,,,,,
13116,14:29.498,0,,,,,,,,
13117,14:29.532,0,,,,,,,,
13118,14:29.565,0,,,,,,,,
13119,14:29.598,0,,,,,,,,
13120,14:29.632,0,,,,,,,,
13121,14:29.665,0,,,,,,,,
13122,14:29.698,0,,,,,,,,
13123,14:29.732,0,,,,,,,,
13124,14:29.765,0,,,,,,,,
13125,14:29.798,0,,,,,,,,
13126,14:29.832,0,,,,,,,,
13127,14:29.865,0,,,,,,,,
13128,14:29.898,0,,,,,,,,
13129,14:29.932,1,1057.0,148.0,1176.0,263.0,,,,
13130,14:29.965,1,1039.0,172.0,1162.0,327.0,,,,
13131,14:29.998,1,1039.0,172.0,1163.0,327.0,,,,
13132,14:30.032,1,1005.0,290.0,1122.0,436.0,,,,
13133,14:30.065,1,981.0,336.0,1098.0,487.0,,,,
13134,14:30.098,1,955.0,398.0,1070.0,539.0,,,,
13135,14:30.132,1,923.0,444.0,1037.0,583.0,,,,
13136,14:30.165,1,887.0,490.0,998.0,627.0,,,,
13137,14:30.198,1,850.0,530.0,962.0,666.0,,,,
13138,14:30.232,1,808.0,566.0,922.0,704.0,,,,
13139,14:30.265,1,769.0,604.0,881.0,739.0,,,,
13140,14:30.298,1,729.0,636.0,844.0,775.0,,,,
13141,14:30.332,1,689.0,670.0,807.0,808.0,,,,
13142,14:30.365,1,654.0,700.0,772.0,841.0,,,,
13143,14:30.398,1,621.0,730.0,741.0,871.0,,,,
13144,14:30.432,1,589.0,762.0,709.0,903.0,,,,
13145,14:30.465,1,553.0,788.0,676.0,933.0,,,,
13146,14:30.498,1,517.0,817.0,642.0,963.0,,,,
13147,14:30.532,1,474.0,842.0,603.0,992.0,,,,
13148,14:30.565,1,429.0,865.0,556.0,1014.0,,,,
13149,14:30.598,1,375.0,878.0,510.0,1034.0,,,,
13150,14:30.632,1,320.0,889.0,460.0,1052.0,,,,
13151,14:30.665,1,257.0,898.0,404.0,1070.0,,,,
13152,14:30.698,1,198.0,916.0,350.0,1085.0,,,,
13153,14:30.732,1,138.0,920.0,295.0,1096.0,,,,
13154,14:30.765,1,78.0,925.0,246.0,1105.0,,,,
13155,14:30.798,1,29.0,925.0,202.0,1110.0,,,,
13156,14:30.832,1,-9.0,925.0,165.0,1109.0,,,,
13157,14:30.865,1,-34.0,932.0,138.0,1104.0,,,,
13158,14:30.898,1,-43.0,932.0,117.0,1100.0,,,,
13159,14:30.932,1,-47.0,932.0,99.0,1093.0,,,,
13160,14:30.965,1,-54.0,932.0,91.0,1091.0,,,,
13161,14:30.998,1,-55.0,936.0,83.0,1088.0,,,,
13162,14:31.032,1,-55.0,939.0,78.0,1087.0,,,,
13163,14:31.065,0,,,,,,,,
13164,14:31.098,0,,,,,,,,
13165,14:31.132,0,,,,,,,,
13166,14:31.165,0,,,,,,,,
13167,14:31.198,0,,,,,,,,
13168,14:31.232,0,,,,,,,,
13169,14:31.265,0,,,,,,,,
13170,14:31.298,0,,,,,,,,
13171,14:31.332,0,,,,,,,,
13172,14:31.365,0,,,,,,,,
13173,14:31.398,0,,,,,,,,
13174,14:31.432,0,,,,,,,,
13175,14:31.465,0,,,,,,,,
13176,14:31.498,0,,,,,,,,
13177,14:31.532,0,,,,,,,,
13178,14:31.565,0,,,,,,,,
13179,14:31.598,0,,,,,,,,
13180,14:31.632,0,,,,,,,,
13181,14:31.665,0,,,,,,,,
13182,14:31.698,0,,,,,,,,
13183,14:31.732,0,,,,,,,,
13184,14:31.765,0,,,,,,,,
13185,14:31.798,0,,,,,,,,
13186,14:31.832,0,,,,,,,,
13187,14:31.865,0,,,,,,,,
13188,14:31.898,0,,,,,,,,
13189,14:31.932,0,,,,,,,,
13190,14:31.965,0,,,,,,,,
13191,14:31.998,0,,,,,,,,
13192,14:32.032,0,,,,,,,,
13193,14:32.065,0,,,,,,,,
13194,14:32.098,0,,,,,,,,
13195,14:32.132,0,,,,,,,,
13196,14:32.165,0,,,,,,,,
13197,14:32.198,0,,,,,,,,
13198,14:32.232,0,,,,,,,,
13199,14:32.265,1,-55.0,967.0,80.0,1118.0,,,,
13200,14:32.298,1,-51.0,958.0,82.0,1107.0,,,,
13201,14:32.332,1,-49.0,954.0,88.0,1106.0,,,,
13202,14:32.365,1,-47.0,949.0,93.0,1105.0,,,,
13203,14:32.398,1,-48.0,946.0,99.0,1106.0,,,,
13204,14:32.432,1,-45.0,943.0,107.0,1103.0,,,,
13205,14:32.467,1,-40.0,934.0,119.0,1101.0,,,,
13206,14:32.500,1,-24.0,915.0,147.0,1094.0,,,,
13207,14:32.533,1,20.0,899.0,192.0,1081.0,,,,
13208,14:32.567,1,85.0,896.0,244.0,1072.0,,,,
13209,14:32.600,1,155.0,891.0,310.0,1062.0,,,,
13210,14:32.633,1,224.0,886.0,375.0,1061.0,,,,
13211,14:32.667,1,282.0,895.0,428.0,1063.0,,,,
13212,14:32.700,1,321.0,899.0,464.0,1069.0,,,,
13213,14:32.733,1,349.0,900.0,490.0,1069.0,,,,
13214,14:32.767,1,373.0,896.0,513.0,1062.0,,,,
13215,14:32.800,1,398.0,892.0,534.0,1056.0,,,,
13216,14:32.833,1,423.0,883.0,557.0,1048.0,,,,
13217,14:32.867,1,448.0,891.0,581.0,1046.0,,,,
13218,14:32.900,1,471.0,896.0,603.0,1046.0,,,,
13219,14:32.933,1,493.0,894.0,621.0,1047.0,,,,
13220,14:32.967,1,512.0,897.0,640.0,1048.0,,,,
13221,14:33.000,1,525.0,898.0,651.0,1047.0,,,,
13222,14:33.033,1,539.0,897.0,665.0,1045.0,,,,
13223,14:33.067,1,552.0,893.0,676.0,1040.0,,,,
13224,14:33.100,1,562.0,888.0,686.0,1034.0,,,,
13225,14:33.133,1,571.0,885.0,695.0,1033.0,,,,
13226,14:33.167,1,577.0,883.0,701.0,1029.0,,,,
13227,14:33.200,1,581.0,882.0,705.0,1027.0,,,,
13228,14:33.233,1,582.0,880.0,706.0,1028.0,,,,
13229,14:33.267,1,583.0,879.0,705.0,1026.0,,,,
13230,14:33.300,1,581.0,879.0,703.0,1025.0,,,,
13231,14:33.333,1,581.0,878.0,703.0,1024.0,,,,
13232,14:33.367,1,582.0,878.0,704.0,1024.0,,,,
13233,14:33.400,1,584.0,878.0,707.0,1026.0,,,,
13234,14:33.433,1,589.0,881.0,710.0,1026.0,,,,
13235,14:33.467,1,593.0,881.0,714.0,1028.0,,,,
13236,14:33.500,1,597.0,881.0,717.0,1027.0,,,,
13237,14:33.533,1,600.0,880.0,719.0,1025.0,,,,
13238,14:33.567,1,600.0,881.0,719.0,1026.0,,,,
13239,14:33.600,1,601.0,880.0,721.0,1026.0,,,,
13240,14:33.633,1,601.0,882.0,721.0,1027.0,,,,
13241,14:33.667,1,602.0,883.0,722.0,1028.0,,,,
13242,14:33.700,1,603.0,884.0,722.0,1030.0,,,,
13243,14:33.733,1,606.0,883.0,724.0,1032.0,,,,
13244,14:33.767,1,608.0,883.0,726.0,1033.0,,,,
13245,14:33.800,1,610.0,882.0,728.0,1034.0,,,,
13246,14:33.833,1,610.0,885.0,731.0,1034.0,,,,
13247,14:33.867,1,612.0,889.0,733.0,1036.0,,,,
13248,14:33.900,1,612.0,888.0,722.0,1037.0,,,,
13249,14:33.933,1,613.0,889.0,725.0,1036.0,,,,
13250,14:33.967,1,613.0,889.0,726.0,1036.0,,,,
13251,14:34.000,1,612.0,890.0,729.0,1036.0,,,,
13252,14:34.033,1,613.0,890.0,731.0,1037.0,,,,
13253,14:34.067,1,615.0,890.0,732.0,1037.0,,,,
13254,14:34.100,1,616.0,890.0,733.0,1037.0,,,,
13255,14:34.133,1,616.0,890.0,733.0,1037.0,,,,
13256,14:34.167,1,616.0,887.0,733.0,1035.0,,,,
13257,14:34.200,1,617.0,887.0,732.0,1035.0,,,,
13258,14:34.233,1,617.0,887.0,732.0,1035.0,,,,
13259,14:34.267,1,616.0,887.0,731.0,1034.0,,,,
