frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
15549,14:08.333,2,1745.0,662.0,1928.0,908.0,1183.0,668.0,1348.0,914.0,,,,
15550,17:06.025,2,1735.0,662.0,1917.0,908.0,1175.0,669.0,1341.0,911.0,,,,
15551,17:06.058,2,1727.0,659.0,1910.0,906.0,1169.0,664.0,1334.0,907.0,,,,
15552,17:06.092,2,1718.0,658.0,1900.0,903.0,1160.0,663.0,1328.0,904.0,,,,
15553,17:06.125,2,1707.0,657.0,1887.0,900.0,1149.0,660.0,1316.0,903.0,,,,
15554,17:06.158,2,1690.0,652.0,1871.0,897.0,1136.0,658.0,1304.0,902.0,,,,
15555,17:06.192,2,1672.0,652.0,1848.0,895.0,1116.0,660.0,1286.0,903.0,,,,
15556,17:06.225,2,1651.0,653.0,1828.0,892.0,1098.0,657.0,1266.0,900.0,,,,
15557,17:06.258,2,1629.0,651.0,1803.0,889.0,1078.0,649.0,1245.0,900.0,,,,
15558,17:06.292,2,1607.0,650.0,1779.0,887.0,1057.0,644.0,1223.0,893.0,,,,
15559,17:06.325,2,1583.0,644.0,1755.0,882.0,1033.0,634.0,1204.0,886.0,,,,
15560,17:06.358,2,1563.0,641.0,1733.0,876.0,1014.0,625.0,1182.0,871.0,,,,
15561,17:06.392,2,1543.0,635.0,1710.0,868.0,993.0,615.0,1161.0,861.0,,,,
15562,17:06.425,2,972.0,599.0,1141.0,845.0,1523.0,624.0,1691.0,858.0,,,,
15563,17:06.458,2,1502.0,618.0,1669.0,851.0,952.0,583.0,1122.0,833.0,,,,
15564,17:06.492,2,1484.0,611.0,1647.0,845.0,933.0,576.0,1101.0,829.0,,,,
15565,17:06.525,2,1465.0,610.0,1628.0,842.0,912.0,571.0,1084.0,818.0,,,,
15566,17:06.558,2,1447.0,608.0,1608.0,842.0,895.0,562.0,1066.0,809.0,,,,
15567,17:06.592,2,1437.0,613.0,1598.0,843.0,883.0,566.0,1057.0,815.0,,,,
15568,17:06.625,2,1435.0,604.0,1597.0,837.0,880.0,559.0,1056.0,810.0,,,,
15569,17:06.658,2,1435.0,607.0,1595.0,839.0,881.0,559.0,1056.0,811.0,,,,
15570,17:06.692,2,1437.0,614.0,1597.0,843.0,881.0,564.0,1057.0,817.0,,,,
15571,17:06.725,2,1439.0,615.0,1601.0,846.0,886.0,568.0,1060.0,818.0,,,,
