frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
4518,04:05.000,1,1411.0,798.0,1549.0,976.0
4519,04:39.600,1,1412.0,798.0,1550.0,976.0
4520,04:39.633,1,1412.0,797.0,1551.0,977.0
4521,04:39.667,1,1413.0,797.0,1552.0,977.0
4522,04:39.700,1,1415.0,798.0,1554.0,977.0
4523,04:39.733,1,1416.0,799.0,1556.0,977.0
4524,04:39.767,1,1417.0,797.0,1557.0,976.0
4525,04:39.800,1,1417.0,795.0,1557.0,975.0
4526,04:39.833,1,1419.0,793.0,1558.0,971.0
4527,04:39.867,1,1421.0,792.0,1559.0,970.0
4528,04:39.900,1,1421.0,791.0,1559.0,967.0
4529,04:39.933,1,1420.0,791.0,1558.0,967.0
4530,04:39.967,1,1422.0,791.0,1559.0,967.0
4531,04:40.000,1,1423.0,790.0,1561.0,966.0
4532,04:40.033,1,1425.0,789.0,1562.0,965.0
4533,04:40.067,1,1426.0,790.0,1563.0,964.0
4534,04:40.100,1,1427.0,790.0,1564.0,965.0
4535,04:40.133,1,1429.0,792.0,1565.0,966.0
4536,04:40.167,1,1432.0,790.0,1567.0,964.0
4537,04:40.200,1,1434.0,789.0,1571.0,965.0
4538,04:40.233,1,1435.0,788.0,1573.0,963.0
4539,04:40.267,1,1435.0,787.0,1574.0,963.0
4540,04:40.300,1,1436.0,787.0,1574.0,962.0
4541,04:40.333,1,1435.0,785.0,1573.0,960.0
4542,04:40.358,1,1435.0,783.0,1574.0,958.0
4543,04:40.392,1,1438.0,784.0,1576.0,959.0
4544,04:40.425,1,1438.0,786.0,1577.0,960.0
4545,04:40.458,1,1439.0,786.0,1578.0,961.0
4546,04:40.492,1,1440.0,784.0,1579.0,961.0
4547,04:40.527,1,1440.0,785.0,1580.0,961.0
4548,04:40.560,1,1442.0,786.0,1582.0,962.0
4549,04:40.593,1,1446.0,787.0,1586.0,962.0
4550,04:40.627,1,1454.0,783.0,1594.0,958.0
4551,04:40.660,1,1462.0,777.0,1602.0,955.0
4552,04:40.693,1,1469.0,778.0,1609.0,954.0
4553,04:40.727,1,1472.0,775.0,1613.0,953.0
4554,04:40.760,1,1469.0,777.0,1609.0,954.0
4555,04:40.793,1,1464.0,777.0,1604.0,955.0
4556,04:40.827,1,1459.0,779.0,1599.0,956.0
4557,04:40.860,1,1460.0,782.0,1599.0,958.0
4558,04:40.893,1,1466.0,780.0,1607.0,958.0
4559,04:40.927,1,1476.0,774.0,1617.0,952.0
4560,04:40.960,1,1489.0,768.0,1630.0,947.0
4561,04:40.993,1,1496.0,762.0,1637.0,942.0
4562,04:41.027,1,1497.0,762.0,1639.0,940.0
4563,04:41.060,1,1495.0,759.0,1637.0,939.0
4564,04:41.093,1,1491.0,758.0,1632.0,938.0
4565,04:41.127,1,1485.0,760.0,1626.0,941.0
4566,04:41.160,1,1481.0,760.0,1623.0,942.0
4567,04:41.193,1,1479.0,762.0,1621.0,945.0
4568,04:41.227,1,1477.0,767.0,1619.0,947.0
4569,04:41.260,1,1476.0,768.0,1618.0,947.0
4570,04:41.293,1,1475.0,770.0,1616.0,947.0
4571,04:41.327,1,1473.0,770.0,1615.0,947.0
4572,04:41.360,1,1471.0,770.0,1612.0,947.0
4573,04:41.393,1,1469.0,767.0,1609.0,946.0
4574,04:41.427,1,1467.0,761.0,1607.0,942.0
4575,04:41.460,1,1465.0,756.0,1604.0,933.0
4576,04:41.493,1,1461.0,756.0,1599.0,932.0
4577,04:41.527,1,1454.0,790.0,1594.0,973.0
4578,04:41.560,1,1445.0,845.0,1588.0,1026.0
4579,04:41.593,1,1439.0,896.0,1579.0,1073.0
4580,04:41.627,1,1431.0,934.0,1572.0,1116.0
4581,04:41.660,1,1420.0,958.0,1562.0,1141.0
4582,04:41.693,1,1412.0,966.0,1555.0,1147.0
4583,04:41.727,1,1409.0,943.0,1549.0,1124.0
4584,04:41.760,1,1407.0,909.0,1546.0,1086.0
4585,04:41.793,1,1404.0,864.0,1542.0,1040.0
4586,04:41.827,1,1402.0,828.0,1540.0,1004.0
4587,04:41.860,1,1403.0,824.0,1541.0,998.0
4588,04:41.893,1,1403.0,833.0,1541.0,1008.0
4589,04:41.927,1,1402.0,846.0,1540.0,1023.0
4590,04:41.960,1,1401.0,857.0,1540.0,1035.0
4591,04:41.993,1,1399.0,869.0,1538.0,1044.0
4592,04:42.027,1,1398.0,872.0,1536.0,1049.0
4593,04:42.060,1,1401.0,872.0,1538.0,1051.0
4594,04:42.093,1,1403.0,869.0,1541.0,1046.0
4595,04:42.127,1,1403.0,857.0,1542.0,1036.0
4596,04:42.160,1,1404.0,849.0,1544.0,1027.0
4597,04:42.193,1,1404.0,836.0,1543.0,1011.0
4598,04:42.227,1,1404.0,816.0,1542.0,991.0
4599,04:42.260,1,1402.0,797.0,1541.0,975.0
4600,04:42.293,1,1402.0,813.0,1540.0,990.0
4601,04:42.327,1,1401.0,847.0,1539.0,1026.0
4602,04:42.360,1,1397.0,878.0,1537.0,1058.0
4603,04:42.393,1,1393.0,885.0,1534.0,1069.0
4604,04:42.427,1,1389.0,882.0,1529.0,1061.0
4605,04:42.460,1,1384.0,859.0,1525.0,1038.0
4606,04:42.493,1,1381.0,836.0,1522.0,1013.0
4607,04:42.527,1,1384.0,826.0,1523.0,1004.0
4608,04:42.560,1,1387.0,827.0,1528.0,1004.0
4609,04:42.593,1,1390.0,836.0,1531.0,1015.0
4610,04:42.627,1,1392.0,845.0,1533.0,1021.0
4611,04:42.660,1,1392.0,849.0,1533.0,1028.0
4612,04:42.693,1,1391.0,850.0,1533.0,1031.0
4613,04:42.727,1,1391.0,850.0,1533.0,1031.0
4614,04:42.760,1,1391.0,851.0,1532.0,1031.0
4615,04:42.793,1,1390.0,850.0,1531.0,1029.0
4616,04:42.827,1,1389.0,849.0,1530.0,1028.0
