frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
5732,05:05.000,1,1585.0,656.0,1697.0,808.0,,,,,,,,
5733,06:13.207,2,1586.0,656.0,1699.0,808.0,959.0,662.0,1080.0,916.0,,,,
5734,06:13.240,2,1588.0,656.0,1700.0,808.0,967.0,660.0,1088.0,918.0,,,,
5735,06:13.273,2,1589.0,655.0,1703.0,805.0,950.0,654.0,1086.0,922.0,,,,
5736,06:13.307,2,1591.0,655.0,1704.0,804.0,952.0,654.0,1088.0,920.0,,,,
5737,06:13.340,2,1595.0,655.0,1706.0,804.0,949.0,654.0,1090.0,921.0,,,,
5738,06:13.373,2,950.0,653.0,1092.0,923.0,1596.0,655.0,1708.0,805.0,,,,
5739,06:13.407,2,942.0,659.0,1091.0,926.0,1597.0,655.0,1710.0,807.0,,,,
5740,06:13.440,2,946.0,656.0,1094.0,927.0,1601.0,655.0,1714.0,810.0,,,,
5741,06:13.473,2,936.0,659.0,1093.0,930.0,1606.0,657.0,1719.0,811.0,,,,
5742,06:13.507,2,939.0,661.0,1098.0,932.0,1612.0,659.0,1723.0,814.0,,,,
5743,06:13.540,2,939.0,663.0,1100.0,934.0,1616.0,660.0,1729.0,814.0,,,,
5744,06:13.573,2,935.0,664.0,1103.0,934.0,1620.0,660.0,1732.0,813.0,,,,
5745,06:13.607,2,933.0,665.0,1104.0,935.0,1622.0,659.0,1734.0,813.0,,,,
5746,06:13.640,2,930.0,665.0,1105.0,935.0,1624.0,659.0,1736.0,813.0,,,,
5747,06:13.673,2,926.0,666.0,1105.0,934.0,1624.0,659.0,1736.0,812.0,,,,
5748,06:13.707,2,925.0,663.0,1107.0,934.0,1624.0,657.0,1737.0,809.0,,,,
5749,06:13.740,2,924.0,663.0,1108.0,933.0,1626.0,656.0,1738.0,808.0,,,,
5750,06:13.773,2,925.0,660.0,1109.0,933.0,1627.0,656.0,1741.0,807.0,,,,
5751,06:13.807,2,926.0,659.0,1112.0,933.0,1630.0,654.0,1744.0,807.0,,,,
5752,06:13.840,2,927.0,663.0,1115.0,933.0,1634.0,656.0,1748.0,808.0,,,,
5753,06:13.873,2,930.0,665.0,1117.0,933.0,1639.0,656.0,1751.0,808.0,,,,
5754,06:13.907,2,932.0,667.0,1119.0,933.0,1642.0,656.0,1754.0,809.0,,,,
5755,06:13.940,2,932.0,665.0,1120.0,933.0,1644.0,657.0,1757.0,810.0,,,,
5756,06:13.973,2,929.0,666.0,1121.0,934.0,1645.0,658.0,1758.0,811.0,,,,
5757,06:14.007,2,927.0,665.0,1120.0,934.0,1645.0,658.0,1758.0,813.0,,,,
5758,06:14.040,2,925.0,665.0,1120.0,936.0,1645.0,660.0,1758.0,815.0,,,,
5759,06:14.073,2,922.0,666.0,1117.0,938.0,1644.0,663.0,1757.0,817.0,,,,
5760,06:14.107,2,920.0,667.0,1116.0,939.0,1643.0,664.0,1757.0,818.0,,,,
5761,06:14.140,2,918.0,668.0,1115.0,941.0,1644.0,665.0,1758.0,818.0,,,,
5762,06:14.173,2,1644.0,666.0,1758.0,820.0,917.0,668.0,1115.0,943.0,,,,
5763,06:14.207,2,1646.0,668.0,1760.0,821.0,915.0,669.0,1115.0,945.0,,,,
5764,06:14.240,2,1648.0,671.0,1761.0,822.0,914.0,669.0,1114.0,946.0,,,,
5765,06:14.273,2,915.0,672.0,1115.0,947.0,1650.0,672.0,1762.0,824.0,,,,
5766,06:14.307,2,916.0,674.0,1116.0,949.0,1651.0,669.0,1766.0,826.0,,,,
5767,06:14.340,2,915.0,676.0,1115.0,952.0,1654.0,672.0,1769.0,827.0,,,,
5768,06:14.373,2,915.0,678.0,1116.0,953.0,1655.0,674.0,1770.0,828.0,,,,
5769,06:14.407,2,915.0,681.0,1116.0,956.0,1658.0,676.0,1773.0,831.0,,,,
5770,06:14.440,2,916.0,684.0,1118.0,957.0,1659.0,678.0,1774.0,831.0,,,,
5771,06:14.473,2,918.0,687.0,1120.0,959.0,1662.0,678.0,1777.0,832.0,,,,
5772,06:14.507,2,922.0,689.0,1123.0,962.0,1667.0,683.0,1781.0,835.0,,,,
5773,06:14.540,2,926.0,693.0,1129.0,963.0,1672.0,683.0,1788.0,837.0,,,,
5774,06:14.573,2,933.0,693.0,1134.0,966.0,1677.0,685.0,1794.0,841.0,,,,
