frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
7357,06:45.000,3,975.0,555.0,1123.0,782.0,1522.0,491.0,1669.0,702.0,492.0,469.0,662.0,691.0,,,,
7358,08:05.232,3,975.0,555.0,1123.0,779.0,1521.0,490.0,1669.0,701.0,492.0,463.0,663.0,689.0,,,,
7359,08:05.265,3,976.0,554.0,1123.0,776.0,493.0,460.0,664.0,685.0,1522.0,489.0,1670.0,700.0,,,,
7360,08:05.298,3,494.0,457.0,666.0,681.0,976.0,553.0,1123.0,774.0,1523.0,490.0,1670.0,699.0,,,,
7361,08:05.332,3,977.0,553.0,1124.0,772.0,495.0,452.0,668.0,678.0,1524.0,490.0,1671.0,698.0,,,,
7362,08:05.365,3,978.0,552.0,1125.0,772.0,497.0,450.0,671.0,676.0,1525.0,488.0,1672.0,697.0,,,,
7363,08:05.398,3,497.0,448.0,672.0,674.0,978.0,553.0,1125.0,772.0,1525.0,489.0,1673.0,697.0,,,,
7364,08:05.432,3,497.0,447.0,672.0,671.0,978.0,552.0,1125.0,771.0,1525.0,488.0,1673.0,697.0,,,,
7365,08:05.465,3,497.0,443.0,672.0,669.0,978.0,551.0,1125.0,770.0,1525.0,488.0,1673.0,696.0,,,,
7366,08:05.498,3,497.0,440.0,671.0,668.0,978.0,550.0,1125.0,769.0,1525.0,487.0,1673.0,695.0,,,,
7367,08:05.532,3,497.0,439.0,671.0,666.0,978.0,550.0,1125.0,769.0,1525.0,487.0,1673.0,695.0,,,,
7368,08:05.565,3,497.0,437.0,671.0,665.0,978.0,551.0,1125.0,769.0,1525.0,486.0,1674.0,695.0,,,,
7369,08:05.598,3,498.0,436.0,671.0,664.0,979.0,550.0,1126.0,769.0,1525.0,486.0,1674.0,695.0,,,,
7370,08:05.632,3,497.0,436.0,671.0,662.0,981.0,549.0,1127.0,769.0,1526.0,486.0,1674.0,695.0,,,,
7371,08:05.665,3,497.0,436.0,671.0,662.0,981.0,549.0,1127.0,769.0,1526.0,485.0,1675.0,695.0,,,,
7372,08:05.698,3,497.0,434.0,670.0,661.0,1526.0,484.0,1675.0,694.0,982.0,548.0,1129.0,768.0,,,,
7373,08:05.732,3,496.0,432.0,670.0,660.0,982.0,548.0,1129.0,768.0,1526.0,484.0,1675.0,694.0,,,,
7374,08:05.765,3,496.0,432.0,669.0,659.0,982.0,547.0,1129.0,768.0,1526.0,484.0,1676.0,693.0,,,,
7375,08:05.798,3,494.0,431.0,667.0,659.0,982.0,547.0,1129.0,768.0,1526.0,484.0,1675.0,692.0,,,,
7376,08:05.832,3,493.0,431.0,666.0,658.0,981.0,548.0,1128.0,769.0,1526.0,485.0,1674.0,692.0,,,,
7377,08:05.865,3,491.0,431.0,664.0,658.0,980.0,549.0,1127.0,771.0,1525.0,485.0,1673.0,693.0,,,,
7378,08:05.898,3,487.0,432.0,660.0,658.0,978.0,550.0,1125.0,772.0,1524.0,486.0,1671.0,693.0,,,,
7379,08:05.932,3,484.0,432.0,658.0,658.0,977.0,551.0,1124.0,772.0,1522.0,486.0,1670.0,695.0,,,,
7380,08:05.965,3,482.0,432.0,656.0,658.0,976.0,552.0,1123.0,774.0,1520.0,487.0,1669.0,697.0,,,,
7381,08:05.998,3,481.0,432.0,655.0,659.0,976.0,554.0,1123.0,776.0,1520.0,489.0,1668.0,699.0,,,,
7382,08:06.032,3,480.0,433.0,654.0,661.0,975.0,556.0,1123.0,779.0,1519.0,490.0,1669.0,702.0,,,,
7383,08:06.065,3,480.0,434.0,654.0,664.0,975.0,559.0,1123.0,781.0,1520.0,491.0,1669.0,703.0,,,,
7384,08:06.098,3,479.0,434.0,653.0,666.0,976.0,559.0,1124.0,784.0,1520.0,491.0,1669.0,704.0,,,,
7385,08:06.132,3,477.0,435.0,652.0,667.0,976.0,561.0,1123.0,787.0,1520.0,492.0,1668.0,705.0,,,,
7386,08:06.165,3,476.0,439.0,651.0,668.0,975.0,562.0,1123.0,789.0,1519.0,493.0,1668.0,706.0,,,,
7387,08:06.198,3,475.0,442.0,650.0,669.0,975.0,563.0,1122.0,790.0,1518.0,494.0,1668.0,707.0,,,,
7388,08:06.232,3,474.0,445.0,650.0,673.0,976.0,564.0,1122.0,791.0,1519.0,495.0,1669.0,708.0,,,,
7389,08:06.265,3,482.0,457.0,653.0,684.0,1524.0,503.0,1672.0,715.0,982.0,576.0,1128.0,797.0,,,,
7390,08:06.298,3,495.0,472.0,664.0,701.0,993.0,591.0,1139.0,811.0,1535.0,515.0,1686.0,725.0,,,,
7391,08:06.332,3,521.0,496.0,688.0,724.0,1015.0,612.0,1159.0,831.0,1557.0,536.0,1705.0,745.0,,,,
7392,08:06.365,3,1038.0,625.0,1183.0,847.0,554.0,516.0,719.0,744.0,1583.0,546.0,1732.0,758.0,,,,
7393,08:06.398,3,588.0,534.0,750.0,757.0,1614.0,553.0,1766.0,768.0,1068.0,639.0,1212.0,856.0,,,,
7394,08:06.432,3,618.0,544.0,779.0,764.0,1639.0,560.0,1794.0,771.0,1093.0,644.0,1238.0,860.0,,,,
7395,08:06.465,3,1663.0,558.0,1821.0,773.0,644.0,547.0,802.0,766.0,1113.0,646.0,1259.0,861.0,,,,
7396,08:06.498,3,662.0,544.0,818.0,764.0,1678.0,556.0,1837.0,771.0,1129.0,647.0,1270.0,863.0,,,,
7397,08:06.532,3,672.0,546.0,829.0,765.0,1689.0,558.0,1849.0,773.0,1137.0,647.0,1281.0,862.0,,,,
7398,08:06.565,3,1691.0,558.0,1853.0,775.0,678.0,544.0,836.0,765.0,1140.0,646.0,1286.0,865.0,,,,
7399,08:06.598,3,680.0,546.0,837.0,766.0,1691.0,564.0,1853.0,779.0,1141.0,648.0,1287.0,870.0,,,,
7400,08:06.632,3,678.0,547.0,837.0,767.0,1690.0,571.0,1851.0,782.0,1140.0,651.0,1285.0,873.0,,,,
7401,08:06.665,3,676.0,547.0,835.0,770.0,1686.0,574.0,1846.0,784.0,1136.0,654.0,1280.0,870.0,,,,
7402,08:06.698,3,673.0,546.0,831.0,772.0,1683.0,574.0,1843.0,786.0,1133.0,653.0,1277.0,871.0,,,,
