frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
19716,17:51.667,2,928.0,479.0,1099.0,731.0,1432.0,491.0,1586.0,699.0
19717,21:38.868,2,934.0,477.0,1104.0,731.0,1438.0,492.0,1593.0,699.0
19718,21:38.902,2,940.0,477.0,1111.0,731.0,1445.0,493.0,1599.0,700.0
19719,21:38.935,2,948.0,480.0,1118.0,734.0,1452.0,497.0,1607.0,704.0
19720,21:38.968,2,950.0,483.0,1119.0,736.0,1456.0,500.0,1610.0,707.0
19721,21:39.002,2,949.0,486.0,1118.0,739.0,1454.0,504.0,1609.0,710.0
19722,21:39.035,2,945.0,490.0,1116.0,743.0,1449.0,507.0,1603.0,713.0
19723,21:39.068,2,938.0,489.0,1109.0,744.0,1442.0,507.0,1596.0,713.0
19724,21:39.102,2,932.0,491.0,1102.0,743.0,1436.0,508.0,1588.0,712.0
19725,21:39.135,2,926.0,493.0,1096.0,743.0,1430.0,508.0,1581.0,714.0
19726,21:39.168,2,922.0,496.0,1093.0,742.0,1425.0,510.0,1576.0,717.0
19727,21:39.202,2,919.0,499.0,1089.0,745.0,1421.0,515.0,1572.0,721.0
19728,21:39.235,2,916.0,502.0,1088.0,748.0,1418.0,516.0,1570.0,723.0
19729,21:39.268,2,913.0,504.0,1085.0,752.0,1417.0,519.0,1569.0,725.0
19730,21:39.302,2,913.0,504.0,1085.0,753.0,1416.0,519.0,1568.0,725.0
19731,21:39.335,2,914.0,501.0,1087.0,751.0,1417.0,518.0,1569.0,724.0
19732,21:39.368,2,919.0,500.0,1090.0,749.0,1418.0,518.0,1570.0,724.0
19733,21:39.402,2,923.0,502.0,1094.0,751.0,1422.0,523.0,1574.0,727.0
19734,21:39.435,2,925.0,503.0,1098.0,750.0,1425.0,524.0,1578.0,728.0
19735,21:39.468,2,928.0,502.0,1100.0,749.0,1429.0,525.0,1582.0,729.0
19736,21:39.502,2,929.0,503.0,1101.0,751.0,1430.0,526.0,1583.0,730.0
19737,21:39.535,2,928.0,507.0,1100.0,752.0,1431.0,528.0,1584.0,732.0
19738,21:39.568,2,926.0,511.0,1097.0,754.0,1430.0,528.0,1583.0,734.0
