participant_num,count_0,count_1,count_2,count_3,count_4,total_frames
1,134,656,1696,38,0,2524
2,72,755,1647,50,0,2524
4,95,1194,1233,2,0,2524
5,211,509,1098,0,0,1818
7,142,1187,489,0,0,1818
8,305,1099,1970,238,0,3612
9,378,1474,1610,231,0,3693
10,371,1460,1852,125,0,3808
11,389,1229,1971,219,0,3808
13,345,425,292,1583,9,2654
14,394,310,658,1240,0,2602
16,101,192,2367,0,0,2660
17,4,64,2564,0,0,2632
18,14,55,2557,16,0,2642
19,163,1776,703,0,0,2642
20,303,1318,1023,0,0,2644
21,337,1542,765,0,0,2644
22,168,315,497,1842,0,2822
23,161,97,304,2267,0,2829
24,106,64,211,2429,0,2810
25,94,124,160,2449,0,2827
26,41,43,2728,0,0,2812
27,13,2,2803,0,0,2818
28,79,55,2661,14,0,2809
29,690,605,1429,108,0,2832
30,312,660,1828,30,0,2830
31,298,836,1696,12,0,2842
32,293,909,1468,160,0,2830
33,291,1173,1574,0,0,3038
34,439,645,1868,72,0,3024
35,29,933,2021,57,0,3040
36,303,857,1859,3,0,3022
37,195,2415,0,0,0,2610
38,175,3035,0,0,0,3210
39,848,856,1054,0,0,2758
40,380,1865,515,0,0,2760
41,359,1579,838,0,0,2776
42,542,1423,702,1,0,2668
43,97,767,1806,0,0,2670
44,219,1306,1169,0,0,2694
45,583,951,1220,40,0,2794
46,55,969,1714,49,0,2787
47,423,767,1526,0,0,2716
48,147,728,1661,263,1,2800
49,16,2394,2,0,0,2412
50,4,2398,0,0,0,2402
51,423,2315,0,0,0,2738
52,484,2091,0,0,0,2575
53,431,2174,0,0,0,2605
54,351,1472,3,0,0,1826
55,58,2554,0,0,0,2612
56,41,2563,0,0,0,2604
57,237,1311,1209,197,0,2954
58,310,1326,1329,3,0,2968
59,298,961,1590,119,0,2968
60,162,842,1947,21,0,2972
61,319,2293,10,0,0,2622
62,80,2535,1,0,0,2616
63,233,371,1928,312,0,2844
64,21,48,2648,145,0,2862
65,42,191,2385,229,0,2847
66,141,121,577,3033,10,3882
67,72,201,891,2720,8,3892
68,365,71,253,2946,253,3888
69,273,132,601,2394,2,3402
70,31,16,102,2611,0,2760
71,72,41,225,2424,0,2762
72,37,78,459,2200,0,2774
73,7,42,268,2477,0,2794
74,345,1711,576,0,0,2632
75,248,1662,709,0,0,2619
76,103,1694,801,2,0,2600
77,299,255,1969,13,0,2536
78,150,176,2224,0,0,2550
79,2,13,2513,0,0,2528
80,314,2154,0,0,0,2468
81,558,1916,0,0,0,2474
82,134,402,2118,164,0,2818
83,127,313,2357,79,0,2876
84,119,282,2349,144,0,2894
85,6,1,2533,0,0,2540
86,0,2,2558,0,0,2560
87,6,9,2533,0,0,2548
88,127,2285,0,0,0,2412
89,243,2177,6,0,0,2426
90,6,2491,0,0,0,2497
91,17,2489,0,0,0,2506
92,176,620,1866,84,0,2746
93,75,356,2340,9,0,2780
94,665,872,1465,0,0,3002
95,665,639,1488,0,0,2792
100,292,1996,466,0,0,2754
101,327,1525,880,0,0,2732
103,377,95,100,2830,0,3402
104,108,228,424,2704,0,3464
105,209,80,632,2513,0,3434
106,94,253,1289,1778,0,3414
107,8,0,45,2969,0,3022
108,11,11,220,2774,0,3016
109,9,9,29,2957,0,3004
110,0,2,73,2933,0,3008
111,374,489,1871,0,0,2734
112,10,1359,1345,24,0,2738
113,154,662,1841,60,0,2717
114,207,562,1983,2,0,2754
115,133,1240,1164,0,0,2537
116,307,1178,1049,0,0,2534
117,261,1342,971,0,0,2574
118,12,11,194,2567,0,2784
119,14,52,301,2366,41,2774
120,33,3,52,2714,0,2802
122,36,64,2590,0,0,2690
123,67,92,2519,0,0,2678
124,5,14,2685,0,0,2704
125,530,1214,1056,0,0,2800
126,580,909,1313,0,0,2802
127,329,1665,800,0,0,2794
128,399,2143,0,0,0,2542
129,328,2214,0,0,0,2542
130,3,2457,0,0,0,2460
131,50,2410,0,0,0,2460
132,6,8,2598,0,0,2612
133,13,33,2563,3,0,2612
134,9,44,2559,0,0,2612
135,384,801,1501,0,0,2686
136,66,693,1892,33,0,2684
137,26,1354,1277,29,0,2686
138,359,559,1764,2,0,2684
139,309,2088,3,0,0,2400
140,405,1996,0,0,0,2401
141,68,82,2420,0,0,2570
142,110,57,2322,81,0,2570
143,57,120,2392,1,0,2570
