frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
36780,20:26.000,20:26.003,3,1722.0,719.0,1873.0,916.0,1263.0,659.0,1403.0,854.0,317.0,781.0,463.0,970.0,,,,,,,,
36795,20:26.500,20:26.503,3,-17.0,745.0,160.0,957.0,1488.0,653.0,1624.0,836.0,1048.0,597.0,1189.0,798.0,,,,,,,,
36810,20:27.000,20:27.003,2,1336.0,568.0,1468.0,744.0,895.0,547.0,1038.0,748.0,,,,,,,,,,,,
36825,20:27.500,20:27.503,3,394.0,712.0,552.0,908.0,1404.0,528.0,1556.0,737.0,947.0,657.0,1096.0,858.0,,,,,,,,
36840,20:28.000,20:28.005,3,1618.0,574.0,1778.0,787.0,680.0,694.0,819.0,879.0,1144.0,685.0,1286.0,884.0,,,,,,,,
36855,20:28.500,20:28.505,3,1664.0,530.0,1828.0,753.0,710.0,660.0,844.0,835.0,1171.0,651.0,1317.0,853.0,,,,,,,,
36870,20:29.000,20:29.005,3,1728.0,590.0,1896.0,808.0,774.0,717.0,908.0,898.0,1238.0,712.0,1383.0,904.0,,,,,,,,
36885,20:29.500,20:29.505,3,1665.0,594.0,1830.0,813.0,716.0,706.0,852.0,891.0,1192.0,694.0,1336.0,893.0,,,,,,,,
36900,20:30.000,20:30.005,3,1722.0,635.0,1894.0,852.0,1246.0,724.0,1389.0,916.0,778.0,724.0,910.0,907.0,,,,,,,,
36915,20:30.500,20:30.505,3,1701.0,640.0,1872.0,857.0,752.0,728.0,887.0,912.0,1225.0,727.0,1368.0,919.0,,,,,,,,
36930,20:31.000,20:31.005,3,1649.0,649.0,1813.0,864.0,684.0,754.0,821.0,940.0,1169.0,745.0,1314.0,936.0,,,,,,,,
36945,20:31.500,20:31.505,3,1620.0,652.0,1779.0,857.0,656.0,761.0,796.0,947.0,1147.0,736.0,1293.0,935.0,,,,,,,,
36960,20:32.000,20:32.005,3,729.0,718.0,867.0,899.0,1690.0,621.0,1856.0,829.0,1212.0,697.0,1356.0,896.0,,,,,,,,
36975,20:32.500,20:32.507,3,1674.0,592.0,1839.0,806.0,1198.0,675.0,1346.0,881.0,722.0,691.0,859.0,878.0,,,,,,,,
36990,20:33.000,20:33.007,3,1645.0,609.0,1808.0,825.0,696.0,712.0,834.0,897.0,1175.0,695.0,1320.0,901.0,,,,,,,,
37005,20:33.500,20:33.507,3,1550.0,627.0,1706.0,828.0,1086.0,703.0,1232.0,907.0,596.0,719.0,740.0,907.0,,,,,,,,
37020,20:34.000,20:34.007,3,1533.0,640.0,1690.0,842.0,1076.0,717.0,1221.0,922.0,580.0,721.0,725.0,905.0,,,,,,,,
37035,20:34.500,20:34.507,3,648.0,778.0,785.0,963.0,1595.0,688.0,1754.0,897.0,1133.0,773.0,1277.0,983.0,,,,,,,,
37050,20:35.000,20:35.007,3,1491.0,772.0,1646.0,979.0,1033.0,852.0,1181.0,1063.0,532.0,864.0,674.0,1056.0,,,,,,,,
