frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
31408,17:24.000,17:24.000,2,1390.0,829.0,1566.0,1080.0,840.0,842.0,1036.0,1099.0,,,,
31423,17:24.500,17:24.502,2,834.0,823.0,1033.0,1085.0,1385.0,811.0,1557.0,1061.0,,,,
31438,17:25.000,17:25.002,2,836.0,842.0,1036.0,1097.0,1403.0,814.0,1574.0,1065.0,,,,
31453,17:25.500,17:25.502,2,841.0,820.0,1038.0,1078.0,1412.0,792.0,1584.0,1046.0,,,,
31468,17:26.000,17:26.002,2,840.0,829.0,1036.0,1087.0,1409.0,799.0,1582.0,1051.0,,,,
31483,17:26.500,17:26.502,2,847.0,827.0,1043.0,1083.0,1415.0,799.0,1585.0,1051.0,,,,
31498,17:27.000,17:27.002,2,846.0,828.0,1044.0,1087.0,1405.0,811.0,1574.0,1068.0,,,,
31513,17:27.500,17:27.502,2,840.0,820.0,1039.0,1083.0,1411.0,804.0,1583.0,1061.0,,,,
31528,17:28.000,17:28.002,2,845.0,834.0,1045.0,1091.0,1427.0,810.0,1600.0,1063.0,,,,
31543,17:28.500,17:28.503,2,834.0,826.0,1036.0,1090.0,1423.0,815.0,1593.0,1067.0,,,,
31558,17:29.000,17:29.003,2,838.0,868.0,1037.0,1133.0,1429.0,848.0,1602.0,1102.0,,,,
31573,17:29.500,17:29.503,2,845.0,927.0,1047.0,1187.0,1426.0,885.0,1598.0,1138.0,,,,
31588,17:30.000,17:30.003,2,819.0,918.0,1020.0,1177.0,1393.0,869.0,1566.0,1123.0,,,,
31603,17:30.500,17:30.503,2,1379.0,894.0,1554.0,1144.0,812.0,946.0,1015.0,1207.0,,,,
31618,17:31.000,17:31.003,2,1369.0,890.0,1544.0,1143.0,816.0,935.0,1016.0,1191.0,,,,
31633,17:31.500,17:31.503,2,1387.0,868.0,1564.0,1123.0,836.0,904.0,1036.0,1165.0,,,,
31648,17:32.000,17:32.003,2,836.0,916.0,1041.0,1175.0,1380.0,861.0,1556.0,1118.0,,,,
31663,17:32.500,17:32.505,2,838.0,938.0,1040.0,1196.0,1386.0,870.0,1561.0,1130.0,,,,
31678,17:33.000,17:33.005,2,833.0,937.0,1037.0,1196.0,1396.0,853.0,1569.0,1102.0,,,,
31693,17:33.500,17:33.505,2,1388.0,861.0,1563.0,1112.0,837.0,940.0,1040.0,1193.0,,,,
31708,17:34.000,17:34.005,2,851.0,964.0,1052.0,1222.0,1395.0,904.0,1570.0,1161.0,,,,
31723,17:34.500,17:34.505,2,836.0,993.0,1039.0,1253.0,1391.0,922.0,1565.0,1180.0,,,,
31738,17:35.000,17:35.005,2,1397.0,892.0,1575.0,1151.0,844.0,962.0,1045.0,1227.0,,,,
31754,17:35.500,17:35.530,2,829.0,953.0,1029.0,1218.0,1382.0,872.0,1562.0,1133.0,,,,
31769,17:36.000,17:36.030,2,831.0,930.0,1031.0,1199.0,1397.0,843.0,1576.0,1101.0,,,,
31784,17:36.500,17:36.532,2,835.0,940.0,1035.0,1204.0,1407.0,855.0,1586.0,1108.0,,,,
31799,17:37.000,17:37.032,2,819.0,929.0,1022.0,1203.0,1386.0,846.0,1563.0,1097.0,,,,
31814,17:37.500,17:37.532,2,1388.0,831.0,1564.0,1085.0,817.0,915.0,1018.0,1183.0,,,,
31829,17:38.000,17:38.032,2,797.0,904.0,996.0,1174.0,1371.0,819.0,1547.0,1074.0,,,,
