frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
21524,11:41.000,11:41.023,1,26.0,645.0,223.0,865.0
21539,11:41.500,11:41.523,1,150.0,704.0,337.0,908.0
21554,11:42.000,11:42.023,1,80.0,591.0,288.0,804.0
21569,11:42.500,11:42.525,1,217.0,606.0,411.0,808.0
21581,11:43.000,11:43.042,1,193.0,691.0,376.0,894.0
21596,11:43.500,11:43.525,1,1027.0,716.0,1151.0,879.0
21611,11:44.000,11:44.017,1,1202.0,800.0,1326.0,970.0
21626,11:44.500,11:44.517,1,1158.0,871.0,1281.0,1041.0
21641,11:45.000,11:45.017,1,1135.0,855.0,1262.0,1034.0
21656,11:45.500,11:45.517,1,1207.0,790.0,1334.0,969.0
21671,11:46.000,11:46.017,1,1483.0,752.0,1620.0,941.0
21686,11:46.500,11:46.517,1,1547.0,740.0,1685.0,923.0
21701,11:47.000,11:47.018,1,1628.0,738.0,1773.0,924.0
21717,11:47.500,11:47.518,1,1632.0,720.0,1775.0,905.0
21732,11:48.000,11:48.018,1,1575.0,745.0,1715.0,930.0
21747,11:48.500,11:48.518,1,1243.0,787.0,1373.0,969.0
21762,11:49.000,11:49.018,1,1204.0,775.0,1331.0,954.0
21777,11:49.500,11:49.518,1,1247.0,1045.0,1382.0,1227.0
21792,11:50.000,11:50.018,1,1318.0,1284.0,1458.0,1486.0
21807,11:50.500,11:50.518,1,1278.0,1219.0,1406.0,1412.0
21822,11:51.000,11:51.018,1,1059.0,766.0,1174.0,944.0
21837,11:51.500,11:51.520,1,1080.0,603.0,1200.0,783.0
21852,11:52.000,11:52.020,1,1160.0,575.0,1292.0,754.0
21867,11:52.500,11:52.520,1,1199.0,763.0,1325.0,939.0
21882,11:53.000,11:53.020,1,1188.0,824.0,1313.0,995.0
21897,11:53.500,11:53.520,1,1156.0,833.0,1282.0,1006.0
21912,11:54.000,11:54.020,1,1184.0,708.0,1312.0,884.0
21927,11:54.500,11:54.520,1,1147.0,692.0,1275.0,865.0
21942,11:55.000,11:55.020,1,1149.0,683.0,1276.0,859.0
21957,11:55.500,11:55.522,1,1201.0,715.0,1327.0,884.0
21972,11:56.000,11:56.022,1,1159.0,710.0,1285.0,883.0
21987,11:56.500,11:56.522,1,1129.0,719.0,1254.0,888.0
22002,11:57.000,11:57.022,1,1157.0,717.0,1283.0,887.0
22017,11:57.500,11:57.522,1,1151.0,710.0,1277.0,882.0
22032,11:58.000,11:58.022,1,1144.0,716.0,1269.0,887.0
22047,11:58.500,11:58.522,1,1138.0,718.0,1266.0,887.0
22062,11:59.000,11:59.022,1,1144.0,711.0,1273.0,885.0
22077,11:59.500,11:59.523,1,1149.0,711.0,1277.0,888.0
22092,12:00.000,12:00.023,1,1142.0,705.0,1270.0,876.0
22107,12:00.500,12:00.523,1,1141.0,695.0,1270.0,868.0
22122,12:01.000,12:01.023,1,1143.0,687.0,1273.0,864.0
22137,12:01.500,12:01.523,1,1122.0,700.0,1252.0,875.0
22152,12:02.000,12:02.023,1,1123.0,694.0,1253.0,866.0
