frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
29550,16:00.000,16:00.018,2,1351.0,781.0,1515.0,1002.0,933.0,725.0,1082.0,938.0,,,,,,,,
29565,16:00.500,16:00.518,2,1349.0,671.0,1506.0,886.0,923.0,600.0,1069.0,807.0,,,,,,,,
29580,16:01.000,16:01.020,2,1369.0,537.0,1526.0,754.0,943.0,438.0,1091.0,654.0,,,,,,,,
29595,16:01.500,16:01.520,2,770.0,474.0,923.0,692.0,1200.0,585.0,1351.0,785.0,,,,,,,,
29610,16:02.000,16:02.012,2,894.0,607.0,1045.0,821.0,1299.0,666.0,1453.0,868.0,,,,,,,,
29625,16:02.500,16:02.512,2,1298.0,766.0,1454.0,967.0,894.0,731.0,1043.0,941.0,,,,,,,,
29640,16:03.000,16:03.012,2,806.0,776.0,956.0,984.0,1227.0,800.0,1379.0,1003.0,,,,,,,,
29655,16:03.500,16:03.512,2,730.0,759.0,884.0,973.0,1163.0,776.0,1315.0,974.0,,,,,,,,
29670,16:04.000,16:04.012,2,1227.0,807.0,1379.0,1005.0,799.0,783.0,952.0,995.0,,,,,,,,
29685,16:04.500,16:04.512,2,1194.0,788.0,1340.0,990.0,760.0,762.0,910.0,976.0,,,,,,,,
29700,16:05.000,16:05.013,2,730.0,781.0,883.0,992.0,1168.0,805.0,1314.0,1003.0,,,,,,,,
29715,16:05.500,16:05.513,2,766.0,779.0,915.0,986.0,1199.0,813.0,1344.0,1008.0,,,,,,,,
29730,16:06.000,16:06.013,2,1202.0,863.0,1348.0,1055.0,773.0,823.0,921.0,1032.0,,,,,,,,
29745,16:06.500,16:06.513,2,782.0,826.0,932.0,1037.0,1207.0,865.0,1355.0,1057.0,,,,,,,,
29760,16:07.000,16:07.013,2,784.0,829.0,935.0,1040.0,1210.0,867.0,1356.0,1058.0,,,,,,,,
29775,16:07.500,16:07.513,2,1208.0,870.0,1351.0,1062.0,780.0,827.0,927.0,1036.0,,,,,,,,
