frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
21415,11:34.000,11:34.000,1,728.0,992.0,843.0,1136.0,,,,
21430,11:34.500,11:34.500,2,216.0,976.0,427.0,1239.0,1925.0,826.0,2108.0,1063.0
21445,11:35.000,11:35.000,2,291.0,886.0,489.0,1141.0,1987.0,757.0,2181.0,1003.0
21460,11:35.500,11:35.500,2,421.0,714.0,605.0,957.0,2130.0,620.0,2336.0,861.0
21475,11:36.000,11:36.000,2,440.0,668.0,625.0,913.0,2172.0,592.0,2397.0,838.0
21490,11:36.500,11:36.500,2,412.0,662.0,595.0,909.0,2143.0,573.0,2372.0,828.0
21505,11:37.000,11:37.000,1,567.0,640.0,740.0,873.0,,,,
21520,11:37.500,11:37.500,1,594.0,608.0,763.0,839.0,,,,
21535,11:38.000,11:38.002,1,541.0,613.0,728.0,852.0,,,,
21550,11:38.500,11:38.502,2,413.0,600.0,615.0,847.0,2188.0,522.0,2390.0,770.0
21565,11:39.000,11:39.002,2,360.0,615.0,566.0,860.0,2126.0,540.0,2332.0,782.0
21581,11:39.500,11:39.527,2,222.0,656.0,442.0,916.0,1986.0,628.0,2177.0,867.0
21596,11:40.000,11:40.027,2,186.0,642.0,407.0,906.0,1947.0,625.0,2135.0,860.0
21611,11:40.500,11:40.527,2,196.0,623.0,415.0,889.0,1960.0,598.0,2151.0,833.0
21626,11:41.000,11:41.027,2,239.0,628.0,457.0,889.0,1999.0,598.0,2191.0,833.0
21641,11:41.500,11:41.527,2,315.0,602.0,523.0,868.0,2067.0,574.0,2267.0,817.0
21656,11:42.000,11:42.028,2,340.0,584.0,544.0,840.0,2098.0,557.0,2301.0,803.0
21671,11:42.500,11:42.528,2,377.0,530.0,575.0,784.0,2146.0,498.0,2361.0,747.0
21686,11:43.000,11:43.028,0,,,,,,,,
21701,11:43.500,11:43.528,0,,,,,,,,
21716,11:44.000,11:44.028,0,,,,,,,,
21731,11:44.500,11:44.528,0,,,,,,,,
21746,11:45.000,11:45.028,0,,,,,,,,
21761,11:45.500,11:45.528,0,,,,,,,,
21776,11:46.000,11:46.030,0,,,,,,,,
21791,11:46.500,11:46.530,0,,,,,,,,
21805,11:47.000,11:47.113,0,,,,,,,,
21818,11:47.500,11:47.538,0,,,,,,,,
21833,11:48.000,11:48.030,0,,,,,,,,
21848,11:48.500,11:48.530,0,,,,,,,,
21863,11:49.000,11:49.030,0,,,,,,,,
21878,11:49.500,11:49.530,1,428.0,62.0,636.0,328.0,,,,
21893,11:50.000,11:50.032,1,441.0,178.0,638.0,440.0,,,,
21908,11:50.500,11:50.532,1,440.0,366.0,625.0,610.0,,,,
21923,11:51.000,11:51.032,2,321.0,699.0,519.0,948.0,2073.0,730.0,2286.0,958.0
21938,11:51.500,11:51.532,2,254.0,807.0,470.0,1066.0,2022.0,796.0,2227.0,1022.0
21953,11:52.000,11:52.032,2,325.0,841.0,526.0,1098.0,2057.0,747.0,2267.0,983.0
21968,11:52.500,11:52.532,2,2044.0,739.0,2241.0,969.0,366.0,866.0,552.0,1114.0
21983,11:53.000,11:53.032,2,360.0,841.0,547.0,1085.0,2046.0,736.0,2232.0,965.0
21998,11:53.500,11:53.532,2,374.0,818.0,554.0,1060.0,2064.0,709.0,2253.0,942.0
22012,11:54.000,11:54.000,2,322.0,811.0,510.0,1056.0,2017.0,687.0,2210.0,921.0
22027,11:54.500,11:54.500,2,301.0,800.0,490.0,1049.0,2007.0,665.0,2193.0,899.0
