group,filename,sync_time,task_time,condition
1,001_POV_tracking.csv,19:46,26:40,Spatial/MR
1,002_POV_tracking.csv,17:10,,
1,004_POV_tracking.csv,9:21,,
2,005_POV_tracking.csv,14:21,14:24,Spatial/VR
2,007_POV_tracking.csv,12:10,,
4,013_POV_tracking.csv,0:23,9:14,Grid/MR
4,014_POV_tracking.csv,7:22,,
5,016_POV_tracking.csv,4:37,13:06,Grid/VR
5,017_POV_tracking.csv,9:16,,
5,018_POV_tracking.csv,6:25,,
6,019_POV_tracking.csv,3:18,11:12,Spatial/VR
6,020_POV_tracking.csv,5:53,,
6,021_POV_tracking.csv,9:23,,
7,022_POV_tracking.csv,9:23,19:00,Grid/VR
7,023_POV_tracking.csv,5:14,,
7,024_POV_tracking.csv,7:14,,
7,025_POV_tracking.csv,13:17,,
8,026_POV_tracking.csv,6:01,15:32,Grid/MR
8,027_POV_tracking.csv,8:41,,
8,028_POV_tracking.csv,12:05,,
9,029_POV_tracking.csv,3:03,12:52,Spatial/VR
9,030_POV_tracking.csv,7:53,,
9,031_POV_tracking.csv,7:39,,
9,032_POV_tracking.csv,10:55,,
10,033_POV_tracking.csv,3:21,14:39,Spatial/MR
10,034_POV_tracking.csv,3:04,,
10,035_POV_tracking.csv,8:53,,
10,036_POV_tracking.csv,12:06,,
11,037_POV_tracking.csv,4:11,11:56,Grid/VR
11,038_POV_tracking.csv,7:18,,
12,039_POV_tracking.csv,3:57,12:53,Spatial/VR
12,040_POV_tracking.csv,6:53,,
12,041_POV_tracking.csv,8:32,,
13,042_POV_tracking.csv,3:40,12:04,Spatial/MR
13,043_POV_tracking.csv,5:19,,
13,044_POV_tracking.csv,8:03,,
14,045_POV_tracking.csv,8:13,17:29,Spatial/MR
14,046_POV_tracking.csv,15:57,,
14,047_POV_tracking.csv,19:24,,
14,048_POV_tracking.csv,13:00,,
15,049_POV_tracking.csv,0:04,6:15,Grid/MR
15,050_POV_tracking.csv,11:17,,
16,051_POV_tracking.csv,1:46,10:45,Spatial/VR
16,052_POV_tracking.csv,7:50,,
17,053_POV_tracking.csv,3:02,11:00,Spatial/MR
17,054_POV_tracking.csv,6:34,,
18,055_POV_tracking.csv,3:51,11:29,Grid/VR
18,056_POV_tracking.csv,6:34,,
19,057_POV_tracking.csv,7:51,18:24,Spatial/VR
19,058_POV_tracking.csv,9:27,,
19,059_POV_tracking.csv,12:10,,
19,060_POV_tracking.csv,3:44,,
20,061_POV_tracking.csv,2:59,10:31,Spatial/MR
20,062_POV_tracking.csv,4:27,,
21,063_POV_tracking.csv,11:41,21:48,Grid/MR
21,064_POV_tracking.csv,8:09,,
21,065_POV_tracking.csv,13:47,,
22,066_POV_tracking.csv,0:58,18:20,Grid/VR
22,067_POV_tracking.csv,3:04,,
22,068_POV_tracking.csv,9:26,,
22,069_POV_tracking.csv,6:18,,
23,070_POV_tracking.csv,4:39,13:45,Grid/MR
23,071_POV_tracking.csv,7:04,,
23,072_POV_tracking.csv,10:20,,
23,073_POV_tracking.csv,13:33,,
24,074_POV_tracking.csv,2:44,10:57,Spatial/MR
24,075_POV_tracking.csv,5:14,,
24,076_POV_tracking.csv,8:30,,
25,077_POV_tracking.csv,3:35,11:02,Grid/VR
25,078_POV_tracking.csv,5:31,,
25,079_POV_tracking.csv,9:57,,
26,080_POV_tracking.csv,2:05,8:55,Spatial/VR
26,081_POV_tracking.csv,4:51,,
27,082_POV_tracking.csv,6:36,16:00,Grid/VR
27,083_POV_tracking.csv,8:29,,
