participant_num,count_0,count_1,count_2,count_3,count_4,total_frames
1,82,416,1071,2,0,1571
2,55,576,940,0,0,1571
4,46,436,1089,0,0,1571
5,127,424,1020,0,0,1571
7,74,1048,449,0,0,1571
13,113,154,212,1085,7,1571
14,229,40,217,1054,0,1540
16,55,106,1410,0,0,1571
17,4,40,1527,0,0,1571
18,6,42,1507,16,0,1571
19,40,1113,418,0,0,1571
20,48,734,789,0,0,1571
21,120,835,616,0,0,1571
22,127,247,269,928,0,1571
23,99,69,161,1242,0,1571
24,67,43,128,1333,0,1571
25,58,87,77,1349,0,1571
26,32,41,1498,0,0,1571
27,0,0,1571,0,0,1571
28,69,34,1454,14,0,1571
29,179,325,1065,2,0,1571
30,21,180,1370,0,0,1571
31,1,260,1310,0,0,1571
32,8,558,1004,1,0,1571
33,22,362,1187,0,0,1571
34,0,373,1198,0,0,1571
35,0,690,881,0,0,1571
36,1,228,1339,3,0,1571
37,124,1447,0,0,0,1571
38,75,1496,0,0,0,1571
39,105,665,801,0,0,1571
40,167,1094,310,0,0,1571
41,125,752,694,0,0,1571
42,14,1066,490,1,0,1571
43,5,171,1395,0,0,1571
44,4,803,764,0,0,1571
45,282,513,776,0,0,1571
46,29,185,1353,4,0,1571
47,78,266,1227,0,0,1571
48,14,100,1197,259,1,1571
49,0,1571,0,0,0,1571
50,0,1571,0,0,0,1571
51,94,1477,0,0,0,1571
52,61,1436,0,0,0,1497
53,157,1414,0,0,0,1571
54,7,860,3,0,0,870
55,31,1540,0,0,0,1571
56,27,1544,0,0,0,1571
57,22,914,635,0,0,1571
58,22,782,767,0,0,1571
59,9,621,941,0,0,1571
60,2,153,1412,4,0,1571
61,33,1535,3,0,0,1571
62,9,1561,1,0,0,1571
63,192,191,1119,69,0,1571
64,4,14,1553,0,0,1571
65,0,1,1541,29,0,1571
66,1,1,11,1558,0,1571
67,2,1,19,1549,0,1571
68,20,9,12,1530,0,1571
69,2,1,16,1299,0,1318
70,22,15,43,1491,0,1571
71,41,36,110,1384,0,1571
72,23,62,188,1298,0,1571
73,1,33,119,1418,0,1571
74,6,1170,395,0,0,1571
75,14,931,626,0,0,1571
76,7,1030,532,2,0,1571
77,196,160,1202,13,0,1571
78,79,67,1425,0,0,1571
79,0,3,1568,0,0,1571
80,174,1397,0,0,0,1571
81,317,1254,0,0,0,1571
82,69,166,1176,160,0,1571
83,83,210,1252,26,0,1571
84,74,67,1375,55,0,1571
85,0,0,1571,0,0,1571
86,0,0,1571,0,0,1571
87,0,8,1563,0,0,1571
88,92,1479,0,0,0,1571
89,143,1422,6,0,0,1571
90,0,1571,0,0,0,1571
91,0,1571,0,0,0,1571
92,134,367,1069,1,0,1571
93,0,108,1463,0,0,1571
94,77,406,1088,0,0,1571
95,146,243,1182,0,0,1571
100,93,1288,190,0,0,1571
101,32,914,625,0,0,1571
103,2,4,7,1558,0,1571
104,8,13,40,1510,0,1571
105,9,21,50,1491,0,1571
106,3,25,469,1074,0,1571
107,0,0,1,1570,0,1571
108,1,9,12,1549,0,1571
109,3,5,7,1556,0,1571
110,0,0,1,1570,0,1571
111,0,123,1448,0,0,1571
112,5,761,805,0,0,1571
113,3,320,1248,0,0,1571
114,0,81,1490,0,0,1571
115,74,713,784,0,0,1571
116,31,671,869,0,0,1571
117,54,850,667,0,0,1571
118,6,5,14,1546,0,1571
119,5,6,40,1499,21,1571
120,6,0,16,1549,0,1571
122,22,23,1526,0,0,1571
123,10,26,1535,0,0,1571
124,0,1,1570,0,0,1571
125,271,376,924,0,0,1571
126,42,259,1270,0,0,1571
127,72,926,573,0,0,1571
128,0,1571,0,0,0,1571
129,2,1569,0,0,0,1571
130,3,1568,0,0,0,1571
131,21,1550,0,0,0,1571
132,6,8,1557,0,0,1571
133,8,17,1546,0,0,1571
134,5,18,1548,0,0,1571
135,7,352,1212,0,0,1571
136,7,92,1471,1,0,1571
137,1,743,827,0,0,1571
138,12,249,1309,1,0,1571
139,13,1557,1,0,0,1571
140,22,1549,0,0,0,1571
141,51,63,1457,0,0,1571
142,53,38,1399,81,0,1571
143,29,67,1474,1,0,1571
