participant_num,total_frames_processed,total_faces_detected,mean_faces_per_frame
001,682,1466,2.15
002,2524,3003,1.19
004,2524,4083,1.62
033,3038,4785,1.58
034,3024,4574,1.51
035,3040,5282,1.74
036,3022,5761,1.91
037,2600,2461,0.95
038,3210,3110,0.97
039,2758,3695,1.34
040,2760,2920,1.06
041,2776,3604,1.3
042,2668,3377,1.27
043,2670,4245,1.59
044,2694,3965,1.47
045,2794,2958,1.06
046,2787,4752,1.71
047,2716,4539,1.67
048,2800,5348,1.91
049,1708,1755,1.03
050,2622,2618,1.0
051,2738,2327,0.85
052,2575,2514,0.98
053,2605,2305,0.88
054,1826,868,0.48
055,2612,2562,0.98
056,2604,2573,0.99
057,2954,3105,1.05
058,2968,4483,1.51
059,2968,4637,1.56
060,2972,5210,1.75
005,498,279,0.56
007,1818,1298,0.71
061,2622,2417,0.92
062,2616,2537,0.97
063,3658,7202,1.97
064,2862,5644,1.97
065,2847,5689,2.0
066,3882,10596,2.73
067,3892,10671,2.74
068,3888,11483,2.95
069,3402,9304,2.73
070,2760,7959,2.88
071,2762,7733,2.8
072,2774,7934,2.86
073,2794,8189,2.93
074,2632,2805,1.07
075,2646,2949,1.11
076,2600,3653,1.4
077,2536,4120,1.62
078,2550,4445,1.74
079,2528,5051,2.0
080,2468,2157,0.87
081,2474,1448,0.59
082,2818,5886,2.09
083,2876,5409,1.88
084,2894,5807,2.01
085,2540,5067,1.99
086,2560,5119,2.0
087,2548,5083,1.99
088,2412,2289,0.95
089,2426,2246,0.93
008,3612,5654,1.57
009,3693,4837,1.31
010,3808,5342,1.4
011,3808,5784,1.52
090,2496,2491,1.0
091,2506,2489,0.99
092,2746,4637,1.69
093,2780,5218,1.88
094,3002,4483,1.49
095,2792,4823,1.73
100,2754,2661,0.97
101,2732,3796,1.39
103,3402,8999,2.65
104,3464,8444,2.44
105,3434,9232,2.69
106,2544,6202,2.44
107,3022,8997,2.98
108,3016,8974,2.98
109,3004,8947,2.98
110,3008,8981,2.99
111,2734,4899,1.79
112,2738,3633,1.33
113,2717,4401,1.62
114,2754,4819,1.75
115,2537,3670,1.45
116,2534,3477,1.37
117,2574,2350,0.91
118,2784,8285,2.98
119,2774,8100,2.92
120,2802,8261,2.95
121,2756,8012,2.91
122,2690,5308,1.97
123,2678,5176,1.93
124,2704,5394,1.99
013,2654,5879,2.22
014,2602,6188,2.38
125,2800,3400,1.21
126,2802,4034,1.44
127,2794,2720,0.97
128,2542,2301,0.91
129,2542,2215,0.87
130,2460,2459,1.0
131,2460,2459,1.0
132,2612,5205,1.99
133,2612,5144,1.97
134,2612,5209,1.99
135,2686,4299,1.6
136,2684,4239,1.58
137,2686,3886,1.45
138,2684,3243,1.21
139,2400,2140,0.89
140,2401,1592,0.66
141,2570,4914,1.91
142,2570,5209,2.03
143,2570,5061,1.97
016,2660,4610,1.73
017,2632,5235,1.99
018,2642,5255,1.99
019,2642,3257,1.23
020,2644,3313,1.25
021,2644,3344,1.26
022,2822,6145,2.18
023,2829,7668,2.71
024,2810,7583,2.7
025,2827,7955,2.81
026,2812,5525,1.96
027,2818,5621,1.99
028,2809,5477,1.95
029,2832,4072,1.44
030,2830,4705,1.66
031,2842,4304,1.51
032,2830,4624,1.63
