frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
728,00:38.333,0,,,,,,,,,,,,,,,,
729,00:44.635,0,,,,,,,,,,,,,,,,
730,00:44.668,0,,,,,,,,,,,,,,,,
731,00:44.702,0,,,,,,,,,,,,,,,,
732,00:44.735,0,,,,,,,,,,,,,,,,
733,00:44.768,0,,,,,,,,,,,,,,,,
734,00:44.802,0,,,,,,,,,,,,,,,,
735,00:44.835,0,,,,,,,,,,,,,,,,
736,00:44.868,0,,,,,,,,,,,,,,,,
737,00:44.902,0,,,,,,,,,,,,,,,,
738,00:44.935,0,,,,,,,,,,,,,,,,
739,00:44.968,0,,,,,,,,,,,,,,,,
740,00:45.002,0,,,,,,,,,,,,,,,,
741,00:45.035,0,,,,,,,,,,,,,,,,
742,00:45.068,0,,,,,,,,,,,,,,,,
743,00:45.102,0,,,,,,,,,,,,,,,,
744,00:45.135,0,,,,,,,,,,,,,,,,
745,00:45.168,0,,,,,,,,,,,,,,,,
746,00:45.193,0,,,,,,,,,,,,,,,,
747,00:45.210,0,,,,,,,,,,,,,,,,
748,00:45.235,0,,,,,,,,,,,,,,,,
749,00:45.268,0,,,,,,,,,,,,,,,,
750,00:45.302,0,,,,,,,,,,,,,,,,
751,00:45.335,0,,,,,,,,,,,,,,,,
752,00:45.368,0,,,,,,,,,,,,,,,,
753,00:45.402,0,,,,,,,,,,,,,,,,
754,00:45.435,0,,,,,,,,,,,,,,,,
755,00:45.468,0,,,,,,,,,,,,,,,,
756,00:45.502,0,,,,,,,,,,,,,,,,
757,00:45.535,0,,,,,,,,,,,,,,,,
758,00:45.568,0,,,,,,,,,,,,,,,,
759,00:45.602,0,,,,,,,,,,,,,,,,
760,00:45.635,0,,,,,,,,,,,,,,,,
761,00:45.668,0,,,,,,,,,,,,,,,,
762,00:45.702,0,,,,,,,,,,,,,,,,
763,00:45.735,0,,,,,,,,,,,,,,,,
764,00:45.770,0,,,,,,,,,,,,,,,,
765,00:45.803,0,,,,,,,,,,,,,,,,
766,00:45.837,0,,,,,,,,,,,,,,,,
767,00:45.870,0,,,,,,,,,,,,,,,,
768,00:45.903,0,,,,,,,,,,,,,,,,
769,00:45.937,0,,,,,,,,,,,,,,,,
770,00:45.970,0,,,,,,,,,,,,,,,,
771,00:46.003,0,,,,,,,,,,,,,,,,
772,00:46.037,0,,,,,,,,,,,,,,,,
773,00:46.070,0,,,,,,,,,,,,,,,,
774,00:46.103,0,,,,,,,,,,,,,,,,
787,00:46.503,1,702.0,664.0,805.0,801.0,,,,,,,,,,,,
811,00:47.020,1,830.0,667.0,924.0,797.0,,,,,,,,,,,,
837,00:47.503,1,837.0,658.0,935.0,790.0,,,,,,,,,,,,
865,00:48.003,1,820.0,642.0,919.0,774.0,,,,,,,,,,,,
887,00:48.503,1,816.0,646.0,914.0,777.0,,,,,,,,,,,,
903,00:49.012,1,792.0,646.0,891.0,777.0,,,,,,,,,,,,
918,00:49.503,1,797.0,636.0,896.0,770.0,,,,,,,,,,,,
933,00:50.005,1,371.0,642.0,494.0,783.0,,,,,,,,,,,,
948,00:50.505,1,291.0,689.0,412.0,839.0,,,,,,,,,,,,
964,00:51.005,1,282.0,887.0,397.0,1035.0,,,,,,,,,,,,
979,00:51.505,1,496.0,826.0,607.0,966.0,,,,,,,,,,,,
995,00:52.005,2,286.0,644.0,480.0,921.0,1361.0,734.0,1458.0,863.0,,,,,,,,
1010,00:52.505,2,717.0,603.0,900.0,849.0,1755.0,703.0,1869.0,841.0,,,,,,,,
1027,00:53.005,2,614.0,549.0,813.0,813.0,1679.0,701.0,1788.0,839.0,,,,,,,,
1043,00:53.505,1,1169.0,688.0,1258.0,818.0,,,,,,,,,,,,
1059,00:54.007,1,225.0,640.0,338.0,787.0,,,,,,,,,,,,
1075,00:54.507,1,118.0,722.0,242.0,875.0,,,,,,,,,,,,
1090,00:55.007,1,191.0,666.0,310.0,819.0,,,,,,,,,,,,
1107,00:55.532,1,786.0,630.0,873.0,762.0,,,,,,,,,,,,
1122,00:56.032,1,786.0,622.0,880.0,753.0,,,,,,,,,,,,
1137,00:56.532,1,743.0,666.0,839.0,800.0,,,,,,,,,,,,
1153,00:57.032,1,711.0,691.0,801.0,825.0,,,,,,,,,,,,
1168,00:57.532,1,779.0,672.0,866.0,801.0,,,,,,,,,,,,
1182,00:58.000,1,552.0,706.0,645.0,844.0,,,,,,,,,,,,
1195,00:58.508,0,,,,,,,,,,,,,,,,
1205,00:59.117,1,-22.0,713.0,100.0,863.0,,,,,,,,,,,,
1209,00:59.500,1,-11.0,699.0,112.0,852.0,,,,,,,,,,,,
1226,01:00.000,1,-11.0,765.0,115.0,921.0,,,,,,,,,,,,
1241,01:00.500,1,-13.0,739.0,133.0,896.0,,,,,,,,,,,,
1256,01:01.000,1,-8.0,697.0,147.0,867.0,,,,,,,,,,,,
1271,01:01.500,1,954.0,697.0,1049.0,838.0,,,,,,,,,,,,
1286,01:02.002,1,1115.0,662.0,1207.0,789.0,,,,,,,,,,,,
1297,01:02.527,2,371.0,498.0,596.0,792.0,1498.0,666.0,1599.0,800.0,,,,,,,,
1303,01:03.010,2,491.0,504.0,709.0,784.0,1598.0,668.0,1702.0,801.0,,,,,,,,
1318,01:03.585,1,444.0,611.0,559.0,752.0,,,,,,,,,,,,
1321,01:04.060,1,216.0,596.0,340.0,743.0,,,,,,,,,,,,
1325,01:04.577,1,125.0,604.0,257.0,755.0,,,,,,,,,,,,
1329,01:05.052,1,43.0,644.0,184.0,805.0,,,,,,,,,,,,
1340,01:05.502,1,758.0,651.0,833.0,774.0,,,,,,,,,,,,
1355,01:06.003,1,299.0,658.0,402.0,799.0,,,,,,,,,,,,
1370,01:06.503,1,29.0,679.0,165.0,831.0,,,,,,,,,,,,
1385,01:07.003,1,3.0,682.0,151.0,839.0,,,,,,,,,,,,
1400,01:07.503,1,43.0,683.0,185.0,843.0,,,,,,,,,,,,
1415,01:08.003,1,385.0,676.0,505.0,824.0,,,,,,,,,,,,
1430,01:08.503,1,132.0,706.0,266.0,854.0,,,,,,,,,,,,
