frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
1864,01:43.333,1,634.0,886.0,780.0,1081.0
1865,02:02.627,1,633.0,885.0,779.0,1081.0
1866,02:02.660,1,633.0,886.0,779.0,1082.0
1867,02:02.693,1,632.0,886.0,779.0,1082.0
1868,02:02.727,1,632.0,888.0,779.0,1083.0
1869,02:02.760,1,633.0,887.0,780.0,1083.0
1870,02:02.793,1,634.0,887.0,780.0,1084.0
1871,02:02.827,1,634.0,886.0,781.0,1083.0
1872,02:02.860,1,634.0,884.0,780.0,1081.0
1873,02:02.893,1,634.0,882.0,780.0,1079.0
1874,02:02.927,1,634.0,881.0,780.0,1078.0
1875,02:02.960,1,634.0,881.0,781.0,1077.0
1876,02:02.993,1,635.0,880.0,781.0,1077.0
1877,02:03.027,1,635.0,881.0,782.0,1076.0
1878,02:03.060,1,636.0,881.0,782.0,1076.0
1879,02:03.093,1,636.0,881.0,782.0,1076.0
1880,02:03.127,1,636.0,881.0,782.0,1075.0
1881,02:03.160,1,636.0,881.0,782.0,1076.0
1882,02:03.193,1,636.0,881.0,783.0,1076.0
1883,02:03.227,1,636.0,881.0,783.0,1076.0
1884,02:03.260,1,636.0,881.0,782.0,1076.0
1885,02:03.293,1,635.0,881.0,782.0,1077.0
1886,02:03.327,1,635.0,882.0,782.0,1077.0
1887,02:03.360,1,635.0,883.0,781.0,1077.0
1888,02:03.393,1,634.0,883.0,780.0,1077.0
1889,02:03.427,1,633.0,884.0,779.0,1078.0
1890,02:03.460,1,632.0,884.0,777.0,1078.0
1891,02:03.493,1,633.0,884.0,778.0,1078.0
1892,02:03.527,1,633.0,883.0,779.0,1078.0
1893,02:03.560,1,633.0,882.0,779.0,1077.0
1894,02:03.593,1,632.0,883.0,777.0,1075.0
1895,02:03.627,1,631.0,883.0,776.0,1074.0
1896,02:03.660,1,630.0,882.0,776.0,1072.0
1897,02:03.693,1,630.0,881.0,775.0,1070.0
1898,02:03.727,1,630.0,879.0,774.0,1068.0
1899,02:03.760,1,631.0,876.0,776.0,1068.0
1900,02:03.793,1,632.0,876.0,777.0,1067.0
1901,02:03.827,1,634.0,876.0,778.0,1066.0
1902,02:03.860,1,636.0,876.0,779.0,1065.0
1903,02:03.893,1,639.0,878.0,780.0,1063.0
1904,02:03.927,1,640.0,878.0,780.0,1062.0
1905,02:03.960,1,642.0,877.0,780.0,1060.0
1906,02:03.993,1,644.0,877.0,781.0,1061.0
1907,02:04.027,1,646.0,878.0,783.0,1061.0
1908,02:04.060,1,648.0,878.0,784.0,1060.0
1909,02:04.093,1,649.0,878.0,784.0,1059.0
1910,02:04.127,1,651.0,878.0,783.0,1059.0
1911,02:04.160,1,651.0,878.0,783.0,1059.0
1912,02:04.193,1,652.0,880.0,783.0,1060.0
1913,02:04.227,1,654.0,880.0,784.0,1061.0
1914,02:04.260,1,656.0,878.0,784.0,1061.0
1915,02:04.293,1,657.0,878.0,785.0,1061.0
1916,02:04.327,1,658.0,879.0,785.0,1062.0
1917,02:04.360,1,657.0,879.0,785.0,1061.0
1918,02:04.393,1,657.0,879.0,785.0,1061.0
1919,02:04.427,1,657.0,878.0,784.0,1062.0
1920,02:04.460,1,658.0,880.0,784.0,1063.0
1921,02:04.493,1,658.0,881.0,784.0,1065.0
1922,02:04.527,1,657.0,882.0,785.0,1066.0
1923,02:04.560,1,658.0,885.0,784.0,1067.0
1924,02:04.593,1,659.0,886.0,785.0,1068.0
1925,02:04.627,1,660.0,886.0,786.0,1069.0
1926,02:04.660,1,660.0,886.0,787.0,1070.0
1927,02:04.693,1,660.0,885.0,787.0,1070.0
1928,02:04.727,1,660.0,886.0,786.0,1069.0
1929,02:04.760,1,660.0,887.0,786.0,1068.0
1930,02:04.793,1,659.0,886.0,784.0,1066.0
1931,02:04.827,1,657.0,886.0,783.0,1065.0
1932,02:04.860,1,656.0,887.0,782.0,1065.0
1933,02:04.893,1,656.0,887.0,782.0,1065.0
1934,02:04.927,1,653.0,887.0,781.0,1067.0
1935,02:04.943,1,650.0,888.0,779.0,1070.0
1936,02:04.960,1,648.0,890.0,778.0,1071.0
1937,02:04.993,1,648.0,894.0,778.0,1075.0
1938,02:05.027,1,647.0,896.0,778.0,1078.0
1939,02:05.060,1,647.0,898.0,779.0,1081.0
1940,02:05.093,1,647.0,899.0,780.0,1081.0
1941,02:05.127,1,648.0,899.0,781.0,1082.0
1942,02:05.160,1,649.0,897.0,783.0,1082.0
1943,02:05.193,1,650.0,897.0,784.0,1082.0
1944,02:05.227,1,652.0,896.0,785.0,1082.0
1945,02:05.262,1,654.0,896.0,785.0,1082.0
1946,02:05.295,1,653.0,894.0,785.0,1079.0
1947,02:05.328,1,653.0,894.0,785.0,1076.0
1948,02:05.362,1,653.0,891.0,784.0,1073.0
1949,02:05.395,1,652.0,888.0,783.0,1071.0
1950,02:05.428,1,651.0,886.0,782.0,1069.0
1951,02:05.462,1,649.0,884.0,781.0,1068.0
1952,02:05.495,1,648.0,885.0,780.0,1068.0
1953,02:05.528,1,646.0,885.0,780.0,1068.0
1954,02:05.562,1,643.0,884.0,778.0,1068.0
1955,02:05.595,1,640.0,883.0,776.0,1068.0
1956,02:05.628,1,638.0,885.0,774.0,1068.0
1957,02:05.662,1,636.0,885.0,772.0,1068.0
1958,02:05.695,1,635.0,885.0,772.0,1070.0
1959,02:05.728,1,635.0,887.0,771.0,1071.0
1960,02:05.762,1,635.0,888.0,772.0,1072.0
1961,02:05.795,1,636.0,888.0,773.0,1072.0
1962,02:05.828,1,635.0,888.0,773.0,1073.0
1963,02:05.862,1,635.0,888.0,773.0,1073.0
1964,02:05.895,1,635.0,889.0,773.0,1073.0
1965,02:05.928,1,636.0,888.0,774.0,1073.0
1966,02:05.962,1,637.0,887.0,776.0,1073.0
1967,02:05.995,1,638.0,888.0,777.0,1073.0
1968,02:06.028,1,640.0,888.0,779.0,1073.0
1969,02:06.062,1,641.0,887.0,780.0,1074.0
