frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
12789,11:35.000,1,2159.0,629.0,2294.0,796.0,,,,
12790,14:02.420,1,2162.0,629.0,2297.0,795.0,,,,
12791,14:02.453,1,2164.0,628.0,2299.0,794.0,,,,
12792,14:02.487,1,2166.0,626.0,2303.0,794.0,,,,
12793,14:02.520,1,2168.0,627.0,2306.0,794.0,,,,
12794,14:02.553,1,2169.0,627.0,2308.0,793.0,,,,
12795,14:02.587,1,2170.0,626.0,2310.0,793.0,,,,
12796,14:02.620,1,2173.0,626.0,2313.0,792.0,,,,
12797,14:02.653,1,2175.0,623.0,2316.0,791.0,,,,
12798,14:02.687,1,2180.0,619.0,2322.0,788.0,,,,
12799,14:02.720,1,2188.0,616.0,2330.0,786.0,,,,
12800,14:02.753,1,2196.0,614.0,2337.0,785.0,,,,
12801,14:02.787,1,2205.0,615.0,2345.0,784.0,,,,
12802,14:02.820,1,2213.0,617.0,2353.0,782.0,,,,
12803,14:02.853,1,2221.0,616.0,2361.0,782.0,,,,
12804,14:02.887,1,2231.0,615.0,2368.0,779.0,,,,
12805,14:02.920,1,2239.0,615.0,2377.0,778.0,,,,
12806,14:02.953,1,2246.0,615.0,2383.0,779.0,,,,
12807,14:02.987,1,2253.0,615.0,2388.0,779.0,,,,
12808,14:03.020,1,2262.0,616.0,2394.0,779.0,,,,
12809,14:03.053,1,2268.0,619.0,2396.0,781.0,,,,
12810,14:03.087,1,2278.0,619.0,2405.0,781.0,,,,
12811,14:03.120,1,2288.0,617.0,2413.0,778.0,,,,
12812,14:03.153,1,2297.0,613.0,2419.0,773.0,,,,
12813,14:03.187,1,2304.0,606.0,2427.0,773.0,,,,
12814,14:03.220,1,2310.0,597.0,2430.0,768.0,,,,
12815,14:03.253,1,2321.0,596.0,2434.0,766.0,,,,
12816,14:03.287,0,,,,,,,,
12817,14:03.320,0,,,,,,,,
12818,14:03.353,0,,,,,,,,
12819,14:03.387,0,,,,,,,,
12820,14:03.420,0,,,,,,,,
12821,14:03.453,0,,,,,,,,
12822,14:03.487,0,,,,,,,,
12823,14:03.520,0,,,,,,,,
12824,14:03.553,0,,,,,,,,
12825,14:03.587,0,,,,,,,,
12826,14:03.620,0,,,,,,,,
12827,14:03.653,0,,,,,,,,
12828,14:03.687,0,,,,,,,,
12829,14:03.720,0,,,,,,,,
12830,14:03.753,0,,,,,,,,
12831,14:03.787,0,,,,,,,,
12832,14:03.820,0,,,,,,,,
12833,14:03.853,0,,,,,,,,
12834,14:03.887,0,,,,,,,,
12835,14:03.920,0,,,,,,,,
12836,14:03.953,0,,,,,,,,
12837,14:03.987,0,,,,,,,,
12838,14:04.020,0,,,,,,,,
12839,14:04.053,0,,,,,,,,
12840,14:04.087,0,,,,,,,,
12841,14:04.120,0,,,,,,,,
12842,14:04.153,0,,,,,,,,
12843,14:04.187,0,,,,,,,,
12844,14:04.220,0,,,,,,,,
12845,14:04.253,0,,,,,,,,
12846,14:04.287,0,,,,,,,,
12847,14:04.320,0,,,,,,,,
12848,14:04.353,0,,,,,,,,
12849,14:04.387,0,,,,,,,,
12850,14:04.420,0,,,,,,,,
12851,14:04.453,0,,,,,,,,
12852,14:04.487,0,,,,,,,,
12853,14:04.520,0,,,,,,,,
12854,14:04.553,0,,,,,,,,
12855,14:04.587,0,,,,,,,,
12856,14:04.620,0,,,,,,,,
12857,14:04.653,0,,,,,,,,
12858,14:04.687,0,,,,,,,,
12859,14:04.720,0,,,,,,,,
12860,14:04.753,0,,,,,,,,
12861,14:04.787,0,,,,,,,,
12862,14:04.820,0,,,,,,,,
12863,14:04.853,0,,,,,,,,
12864,14:04.888,0,,,,,,,,
12865,14:04.922,0,,,,,,,,
12866,14:04.955,0,,,,,,,,
12867,14:04.988,0,,,,,,,,
12868,14:05.022,0,,,,,,,,
12869,14:05.055,0,,,,,,,,
12870,14:05.088,0,,,,,,,,
12871,14:05.122,0,,,,,,,,
12872,14:05.155,0,,,,,,,,
12873,14:05.188,0,,,,,,,,
12874,14:05.222,0,,,,,,,,
12875,14:05.255,0,,,,,,,,
12876,14:05.288,0,,,,,,,,
12877,14:05.322,0,,,,,,,,
12878,14:05.355,0,,,,,,,,
12879,14:05.388,0,,,,,,,,
12880,14:05.422,0,,,,,,,,
12881,14:05.455,0,,,,,,,,
12882,14:05.488,0,,,,,,,,
12883,14:05.522,0,,,,,,,,
12884,14:05.555,0,,,,,,,,
12885,14:05.588,0,,,,,,,,
12886,14:05.622,0,,,,,,,,
12887,14:05.655,0,,,,,,,,
12888,14:05.688,0,,,,,,,,
12889,14:05.722,0,,,,,,,,
12890,14:05.755,0,,,,,,,,
12891,14:05.788,0,,,,,,,,
12892,14:05.822,0,,,,,,,,
12893,14:05.855,0,,,,,,,,
12894,14:05.888,0,,,,,,,,
12895,14:05.922,0,,,,,,,,
12896,14:05.955,0,,,,,,,,
12897,14:05.988,0,,,,,,,,
12898,14:06.022,0,,,,,,,,
12899,14:06.055,0,,,,,,,,
12900,14:06.088,0,,,,,,,,
12901,14:06.122,0,,,,,,,,
12902,14:06.155,0,,,,,,,,
12903,14:06.188,0,,,,,,,,
12904,14:06.222,0,,,,,,,,
12905,14:06.255,0,,,,,,,,
12906,14:06.288,0,,,,,,,,
12907,14:06.322,0,,,,,,,,
12908,14:06.355,0,,,,,,,,
12909,14:06.388,0,,,,,,,,
12910,14:06.422,0,,,,,,,,
12911,14:06.455,0,,,,,,,,
12912,14:06.488,0,,,,,,,,
12913,14:06.522,0,,,,,,,,
12914,14:06.555,0,,,,,,,,
12915,14:06.588,0,,,,,,,,
12916,14:06.622,0,,,,,,,,
12917,14:06.655,0,,,,,,,,
12918,14:06.688,0,,,,,,,,
12919,14:06.722,0,,,,,,,,
12920,14:06.755,0,,,,,,,,
12921,14:06.780,0,,,,,,,,
12922,14:06.813,0,,,,,,,,
12923,14:06.847,0,,,,,,,,
12924,14:06.880,0,,,,,,,,
12925,14:06.913,0,,,,,,,,
12926,14:06.947,0,,,,,,,,
12927,14:06.980,0,,,,,,,,
12928,14:07.013,0,,,,,,,,
12929,14:07.047,0,,,,,,,,
12930,14:07.080,0,,,,,,,,
12931,14:07.113,0,,,,,,,,
12932,14:07.147,0,,,,,,,,
12933,14:07.180,0,,,,,,,,
12934,14:07.213,0,,,,,,,,
12935,14:07.247,0,,,,,,,,
12936,14:07.280,0,,,,,,,,
12937,14:07.313,0,,,,,,,,
12938,14:07.347,0,,,,,,,,
12939,14:07.380,0,,,,,,,,
12940,14:07.413,0,,,,,,,,
12941,14:07.447,0,,,,,,,,
12942,14:07.480,0,,,,,,,,
12943,14:07.513,0,,,,,,,,
12944,14:07.547,0,,,,,,,,
12945,14:07.580,0,,,,,,,,
12946,14:07.613,0,,,,,,,,
12947,14:07.647,0,,,,,,,,
12948,14:07.680,0,,,,,,,,
12949,14:07.713,0,,,,,,,,
12950,14:07.747,0,,,,,,,,
12951,14:07.780,0,,,,,,,,
12952,14:07.813,0,,,,,,,,
12953,14:07.847,0,,,,,,,,
12954,14:07.880,0,,,,,,,,
12955,14:07.913,0,,,,,,,,
12956,14:07.947,0,,,,,,,,
12957,14:07.980,0,,,,,,,,
12958,14:08.013,0,,,,,,,,
12959,14:08.047,0,,,,,,,,
12960,14:08.080,0,,,,,,,,
12961,14:08.113,0,,,,,,,,
12962,14:08.147,0,,,,,,,,
12963,14:08.180,0,,,,,,,,
12964,14:08.213,1,-69.0,675.0,158.0,991.0,,,,
12965,14:08.247,1,13.0,675.0,243.0,987.0,,,,
12966,14:08.280,1,83.0,677.0,319.0,976.0,,,,
12967,14:08.313,1,157.0,678.0,381.0,972.0,,,,
12968,14:08.347,1,219.0,682.0,434.0,971.0,,,,
12969,14:08.380,1,271.0,681.0,480.0,973.0,,,,
12970,14:08.413,1,325.0,679.0,531.0,971.0,,,,
12971,14:08.447,1,374.0,683.0,574.0,971.0,,,,
