frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
6863,06:15.000,0,,,,,,,,,,,,
6864,07:32.398,0,,,,,,,,,,,,
6865,07:32.432,0,,,,,,,,,,,,
6866,07:32.465,0,,,,,,,,,,,,
6867,07:32.498,0,,,,,,,,,,,,
6868,07:32.532,0,,,,,,,,,,,,
6869,07:32.582,0,,,,,,,,,,,,
6870,07:32.598,0,,,,,,,,,,,,
6871,07:32.632,0,,,,,,,,,,,,
6872,07:32.665,0,,,,,,,,,,,,
6873,07:32.698,0,,,,,,,,,,,,
6874,07:32.732,1,-108.0,414.0,149.0,715.0,,,,,,,,
6875,07:32.765,1,-70.0,416.0,201.0,724.0,,,,,,,,
6876,07:32.798,1,-18.0,429.0,246.0,734.0,,,,,,,,
6877,07:32.832,1,23.0,437.0,289.0,737.0,,,,,,,,
6878,07:32.865,1,63.0,438.0,324.0,739.0,,,,,,,,
6879,07:32.898,1,104.0,449.0,355.0,746.0,,,,,,,,
6880,07:32.932,1,148.0,458.0,397.0,746.0,,,,,,,,
6881,07:32.965,1,192.0,474.0,431.0,757.0,,,,,,,,
6882,07:32.998,1,230.0,482.0,464.0,765.0,,,,,,,,
6883,07:33.032,1,271.0,479.0,500.0,762.0,,,,,,,,
6884,07:33.065,1,309.0,475.0,532.0,755.0,,,,,,,,
6885,07:33.098,1,344.0,478.0,564.0,756.0,,,,,,,,
6886,07:33.132,1,383.0,488.0,600.0,763.0,,,,,,,,
6887,07:33.165,1,429.0,496.0,640.0,768.0,,,,,,,,
6888,07:33.198,1,473.0,510.0,682.0,775.0,,,,,,,,
6889,07:33.232,1,527.0,519.0,732.0,785.0,,,,,,,,
6890,07:33.265,1,590.0,538.0,786.0,796.0,,,,,,,,
6891,07:33.298,2,658.0,558.0,847.0,808.0,-86.0,440.0,162.0,738.0,,,,
6892,07:33.332,2,23.0,468.0,261.0,760.0,734.0,575.0,919.0,818.0,,,,
6893,07:33.365,2,141.0,499.0,362.0,781.0,815.0,581.0,996.0,831.0,,,,
6894,07:33.398,2,252.0,528.0,462.0,804.0,893.0,601.0,1070.0,845.0,,,,
6895,07:33.490,2,359.0,562.0,554.0,826.0,971.0,620.0,1146.0,859.0,,,,
6896,07:33.523,2,557.0,607.0,732.0,859.0,1128.0,645.0,1300.0,881.0,,,,
6897,07:33.540,2,1200.0,653.0,1373.0,892.0,641.0,622.0,815.0,876.0,,,,
6898,07:33.565,2,1270.0,663.0,1442.0,904.0,715.0,643.0,885.0,892.0,,,,
6899,07:33.598,2,1330.0,679.0,1506.0,916.0,783.0,663.0,948.0,908.0,,,,
6900,07:33.632,2,836.0,677.0,998.0,922.0,1380.0,686.0,1557.0,927.0,,,,
6901,07:33.665,2,878.0,695.0,1040.0,934.0,1420.0,696.0,1600.0,939.0,,,,
6902,07:33.698,2,1449.0,704.0,1631.0,949.0,908.0,707.0,1068.0,944.0,,,,
6903,07:33.732,2,1471.0,712.0,1653.0,957.0,926.0,709.0,1086.0,949.0,,,,
6904,07:33.765,2,1481.0,708.0,1661.0,956.0,938.0,708.0,1094.0,951.0,,,,
6905,07:33.798,2,1484.0,707.0,1666.0,955.0,943.0,705.0,1098.0,948.0,,,,
6906,07:33.832,2,1484.0,708.0,1666.0,957.0,942.0,705.0,1098.0,949.0,,,,
6907,07:33.865,2,1482.0,717.0,1663.0,964.0,940.0,713.0,1096.0,954.0,,,,
6908,07:33.898,2,1480.0,722.0,1661.0,972.0,938.0,721.0,1095.0,959.0,,,,
6909,07:33.932,2,1482.0,733.0,1660.0,983.0,935.0,728.0,1092.0,964.0,,,,
6910,07:33.965,2,1480.0,737.0,1660.0,989.0,935.0,732.0,1091.0,967.0,,,,
6911,07:33.998,2,1480.0,739.0,1660.0,990.0,937.0,735.0,1091.0,968.0,,,,
6912,07:34.032,2,1481.0,735.0,1659.0,985.0,936.0,732.0,1092.0,967.0,,,,
6913,07:34.065,2,1480.0,725.0,1660.0,975.0,936.0,728.0,1093.0,964.0,,,,
6914,07:34.098,2,1482.0,723.0,1661.0,973.0,938.0,725.0,1094.0,964.0,,,,
6915,07:34.132,2,1484.0,723.0,1663.0,974.0,940.0,726.0,1096.0,965.0,,,,
6916,07:34.165,2,1485.0,728.0,1664.0,980.0,941.0,730.0,1097.0,970.0,,,,
