frame,time,faces_detected_count,042_detected,042_tl_x,042_tl_y,042_br_x,042_br_y,043_detected,043_tl_x,043_tl_y,043_br_x,043_br_y,044_detected,044_tl_x,044_tl_y,044_br_x,044_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
9676,05:18.989,2,True,1711,855,1877,1074,False,,,,,True,-91,806,131,1074,False,,,,
9691,05:19.484,2,True,1717,847,1883,1064,False,,,,,True,-78,891,152,1164,False,,,,
9706,05:19.978,1,True,1419,755,1570,961,False,,,,,False,,,,,False,,,,
9721,05:20.473,1,True,1504,736,1655,946,False,,,,,False,,,,,False,,,,
9736,05:20.967,1,True,1579,673,1735,887,False,,,,,False,,,,,False,,,,
9751,05:21.462,1,True,1562,635,1713,845,False,,,,,False,,,,,False,,,,
9766,05:21.956,2,True,2205,699,2416,951,False,,,,,True,478,687,668,930,False,,,,
9781,05:22.451,1,False,,,,,False,,,,,True,766,697,937,919,False,,,,
9796,05:22.945,1,False,,,,,False,,,,,True,627,722,806,949,False,,,,
9811,05:23.440,1,False,,,,,False,,,,,True,619,747,796,974,False,,,,
9826,05:23.934,1,False,,,,,False,,,,,True,595,642,774,873,False,,,,
9841,05:24.429,1,False,,,,,False,,,,,True,684,625,858,853,False,,,,
9856,05:24.923,1,False,,,,,False,,,,,True,664,625,841,856,False,,,,
9871,05:25.418,1,False,,,,,False,,,,,True,652,621,829,852,False,,,,
9886,05:25.912,1,False,,,,,False,,,,,True,597,678,780,915,False,,,,
9901,05:26.407,2,True,2178,653,2394,898,False,,,,,True,435,695,629,931,False,,,,
9916,05:26.901,2,True,2143,644,2356,894,False,,,,,True,414,683,610,918,False,,,,
9931,05:27.396,2,True,2143,665,2356,911,False,,,,,True,415,691,610,924,False,,,,
9946,05:27.890,2,True,2119,668,2330,905,False,,,,,True,392,695,588,931,False,,,,
9961,05:28.385,1,False,,,,,False,,,,,True,546,730,727,961,False,,,,
9976,05:28.879,2,True,2173,578,2392,817,False,,,,,True,435,631,629,871,False,,,,
9991,05:29.374,2,True,1783,623,1950,840,False,,,,,True,1,620,241,886,False,,,,
10006,05:29.868,2,True,1835,628,2010,846,False,,,,,True,74,632,307,896,False,,,,
10021,05:30.363,2,True,1889,640,2069,860,False,,,,,True,151,667,373,921,False,,,,
10036,05:30.857,2,True,1979,642,2169,874,False,,,,,True,272,683,471,928,False,,,,
10051,05:31.352,1,True,1594,665,1748,874,False,,,,,False,,,,,False,,,,
10066,05:31.846,1,True,1599,665,1755,875,False,,,,,False,,,,,False,,,,
10081,05:32.341,2,True,1727,649,1895,864,False,,,,,True,-41,641,175,903,False,,,,
10096,05:32.835,2,True,1838,646,2015,867,False,,,,,True,49,633,289,900,False,,,,
10111,05:33.330,2,True,1894,656,2076,886,False,,,,,True,131,642,361,903,False,,,,
10126,05:33.824,2,True,1959,723,2149,956,False,,,,,True,218,692,437,944,False,,,,
10141,05:34.319,2,True,1963,698,2152,927,False,,,,,True,229,670,446,920,False,,,,
10156,05:34.813,2,True,1755,698,1921,919,False,,,,,True,-13,669,216,931,False,,,,
10171,05:35.308,2,True,1725,699,1887,914,False,,,,,True,-20,687,191,946,False,,,,
10186,05:35.802,2,True,1758,764,1925,986,False,,,,,True,18,742,242,1001,False,,,,
10201,05:36.297,2,True,2110,755,2324,999,False,,,,,True,431,708,612,943,False,,,,
10216,05:36.791,1,False,,,,,False,,,,,False,,,,,True,-64,895,118,1156
10231,05:37.286,0,False,,,,,False,,,,,False,,,,,False,,,,
10246,05:37.780,0,False,,,,,False,,,,,False,,,,,False,,,,
10261,05:38.275,0,False,,,,,False,,,,,False,,,,,False,,,,
10276,05:38.769,0,False,,,,,False,,,,,False,,,,,False,,,,
10291,05:39.264,0,False,,,,,False,,,,,False,,,,,False,,,,
10306,05:39.758,0,False,,,,,False,,,,,False,,,,,False,,,,
10321,05:40.253,0,False,,,,,False,,,,,False,,,,,False,,,,
10336,05:40.747,0,False,,,,,False,,,,,False,,,,,False,,,,
10351,05:41.242,0,False,,,,,False,,,,,False,,,,,False,,,,
10366,05:41.736,0,False,,,,,False,,,,,False,,,,,False,,,,
10381,05:42.231,0,False,,,,,False,,,,,False,,,,,False,,,,
10396,05:42.725,0,False,,,,,False,,,,,False,,,,,False,,,,
10411,05:43.220,0,False,,,,,False,,,,,False,,,,,False,,,,
10426,05:43.714,0,False,,,,,False,,,,,False,,,,,False,,,,
10441,05:44.209,0,False,,,,,False,,,,,False,,,,,False,,,,
10456,05:44.703,0,False,,,,,False,,,,,False,,,,,False,,,,
10471,05:45.198,0,False,,,,,False,,,,,False,,,,,False,,,,
10486,05:45.692,0,False,,,,,False,,,,,False,,,,,False,,,,
10501,05:46.187,0,False,,,,,False,,,,,False,,,,,False,,,,
10516,05:46.681,0,False,,,,,False,,,,,False,,,,,False,,,,
10531,05:47.176,0,False,,,,,False,,,,,False,,,,,False,,,,
10546,05:47.670,0,False,,,,,False,,,,,False,,,,,False,,,,
10561,05:48.165,0,False,,,,,False,,,,,False,,,,,False,,,,
10576,05:48.659,0,False,,,,,False,,,,,False,,,,,False,,,,
10591,05:49.154,0,False,,,,,False,,,,,False,,,,,False,,,,
10606,05:49.648,0,False,,,,,False,,,,,False,,,,,False,,,,
10621,05:50.143,0,False,,,,,False,,,,,False,,,,,False,,,,
10636,05:50.637,0,False,,,,,False,,,,,False,,,,,False,,,,
10651,05:51.132,0,False,,,,,False,,,,,False,,,,,False,,,,
10666,05:51.626,0,False,,,,,False,,,,,False,,,,,False,,,,
10681,05:52.121,0,False,,,,,False,,,,,False,,,,,False,,,,
10696,05:52.616,0,False,,,,,False,,,,,False,,,,,False,,,,
10711,05:53.110,0,False,,,,,False,,,,,False,,,,,False,,,,
10726,05:53.605,0,False,,,,,False,,,,,False,,,,,False,,,,
10741,05:54.099,2,False,,,,,False,,,,,False,,,,,True,30,759,156,967
10756,05:54.594,1,False,,,,,False,,,,,False,,,,,True,1689,774,1783,938
10771,05:55.088,1,False,,,,,False,,,,,False,,,,,True,2004,769,2121,953
10786,05:55.583,2,False,,,,,False,,,,,False,,,,,True,30,774,153,977
10801,05:56.077,1,False,,,,,False,,,,,False,,,,,True,510,819,610,1000
10816,05:56.572,1,False,,,,,False,,,,,False,,,,,True,181,817,297,1018
10831,05:57.066,1,False,,,,,False,,,,,False,,,,,True,188,821,306,1024
10846,05:57.561,1,False,,,,,False,,,,,False,,,,,True,108,889,230,1096
10861,05:58.055,2,False,,,,,False,,,,,False,,,,,True,3,851,139,1062
10876,05:58.550,1,False,,,,,False,,,,,False,,,,,True,117,779,240,986
10891,05:59.044,1,False,,,,,False,,,,,False,,,,,True,126,721,251,924
10906,05:59.539,2,False,,,,,False,,,,,False,,,,,True,48,689,174,895
10921,06:00.033,2,False,,,,,False,,,,,False,,,,,True,30,687,159,894
10936,06:00.528,2,False,,,,,False,,,,,False,,,,,True,21,687,143,892
10951,06:01.022,2,False,,,,,False,,,,,True,30,686,168,897,True,2251,691,2382,886
10966,06:01.517,2,False,,,,,False,,,,,False,,,,,True,57,687,184,898
10981,06:02.011,2,False,,,,,False,,,,,False,,,,,True,54,695,178,903
10996,06:02.506,2,False,,,,,False,,,,,False,,,,,True,2260,710,2386,906
11011,06:03.000,2,False,,,,,False,,,,,False,,,,,True,64,730,189,938
11026,06:03.495,2,False,,,,,False,,,,,False,,,,,True,68,766,198,969
11041,06:03.989,1,False,,,,,False,,,,,False,,,,,True,134,816,256,1014
11056,06:04.484,1,False,,,,,False,,,,,False,,,,,True,135,792,258,991
11071,06:04.978,2,False,,,,,False,,,,,False,,,,,True,2320,828,2434,1030
11086,06:05.473,2,False,,,,,False,,,,,True,98,807,222,1009,True,2308,822,2430,1018
