frame,time,faces_detected_count,045_detected,045_tl_x,045_tl_y,045_br_x,045_br_y,046_detected,046_tl_x,046_tl_y,046_br_x,046_br_y,047_detected,047_tl_x,047_tl_y,047_br_x,047_br_y,048_detected,048_tl_x,048_tl_y,048_br_x,048_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
15261,08:12.996,1,False,,,,,True,1995,244,2128,419,False,,,,,False,,,,,False,,,,
15276,08:13.480,1,False,,,,,True,1994,259,2126,434,False,,,,,False,,,,,False,,,,
15291,08:13.965,1,False,,,,,True,2013,357,2145,524,False,,,,,False,,,,,False,,,,
15306,08:14.450,1,False,,,,,True,2221,822,2361,987,False,,,,,False,,,,,False,,,,
15321,08:14.934,1,False,,,,,True,2302,811,2428,974,False,,,,,False,,,,,False,,,,
15336,08:15.419,1,False,,,,,True,2306,831,2432,997,False,,,,,False,,,,,False,,,,
15351,08:15.903,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
15366,08:16.388,1,False,,,,,True,2188,820,2323,981,False,,,,,False,,,,,False,,,,
15381,08:16.872,1,False,,,,,True,1758,726,1862,873,False,,,,,False,,,,,False,,,,
15396,08:17.357,1,False,,,,,True,1685,723,1788,862,False,,,,,False,,,,,False,,,,
15411,08:17.841,1,False,,,,,True,1584,704,1683,840,False,,,,,False,,,,,False,,,,
15426,08:18.326,1,False,,,,,True,1692,588,1793,731,False,,,,,False,,,,,False,,,,
15441,08:18.811,1,False,,,,,True,1903,512,2019,663,False,,,,,False,,,,,False,,,,
15456,08:19.295,1,False,,,,,True,2089,512,2222,665,False,,,,,False,,,,,False,,,,
15471,08:19.780,1,False,,,,,True,2076,535,2209,685,False,,,,,False,,,,,False,,,,
15486,08:20.264,1,False,,,,,True,2051,542,2188,694,False,,,,,False,,,,,False,,,,
15501,08:20.749,1,False,,,,,True,1819,571,1934,709,False,,,,,False,,,,,False,,,,
15516,08:21.233,1,False,,,,,True,1610,630,1714,769,False,,,,,False,,,,,False,,,,
15531,08:21.718,1,False,,,,,True,1612,635,1714,771,False,,,,,False,,,,,False,,,,
15546,08:22.203,1,False,,,,,True,1620,629,1723,769,False,,,,,False,,,,,False,,,,
15561,08:22.687,1,False,,,,,True,1626,647,1730,788,False,,,,,False,,,,,False,,,,
15576,08:23.172,1,False,,,,,True,1631,657,1739,796,False,,,,,False,,,,,False,,,,
15591,08:23.656,1,False,,,,,True,1635,654,1737,792,False,,,,,False,,,,,False,,,,
15606,08:24.141,1,False,,,,,True,1673,716,1780,853,False,,,,,False,,,,,False,,,,
15621,08:24.625,1,False,,,,,True,1825,656,1940,797,False,,,,,False,,,,,False,,,,
15636,08:25.110,1,False,,,,,True,1846,644,1956,785,False,,,,,False,,,,,False,,,,
15651,08:25.594,1,False,,,,,True,2293,794,2416,959,False,,,,,False,,,,,False,,,,
15666,08:26.079,1,False,,,,,True,2326,801,2438,964,False,,,,,False,,,,,False,,,,
15681,08:26.564,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
15696,08:27.048,1,False,,,,,True,2321,786,2437,947,False,,,,,False,,,,,False,,,,
15711,08:27.533,1,False,,,,,True,2311,774,2436,941,False,,,,,False,,,,,False,,,,
15726,08:28.017,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
15741,08:28.502,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
15756,08:28.986,1,False,,,,,True,2045,613,2168,765,False,,,,,False,,,,,False,,,,
15771,08:29.471,1,False,,,,,True,1844,424,1957,574,False,,,,,False,,,,,False,,,,
15786,08:29.956,1,False,,,,,True,1860,478,1976,624,False,,,,,False,,,,,False,,,,
15801,08:30.440,1,False,,,,,True,2075,783,2205,936,False,,,,,False,,,,,False,,,,
