frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
14888,07:49.974,1,1170.0,830.0,1315.0,1025.0
14904,07:50.479,1,1178.0,838.0,1325.0,1032.0
14920,07:50.984,1,1173.0,838.0,1320.0,1034.0
14936,07:51.489,1,1170.0,837.0,1316.0,1030.0
14952,07:51.994,1,1170.0,838.0,1316.0,1029.0
14968,07:52.499,1,1170.0,838.0,1317.0,1032.0
14984,07:53.004,1,1168.0,853.0,1314.0,1050.0
15000,07:53.509,1,1169.0,847.0,1314.0,1042.0
15016,07:54.014,1,1174.0,850.0,1317.0,1041.0
15032,07:54.519,1,1176.0,850.0,1316.0,1039.0
15048,07:55.024,1,1203.0,863.0,1337.0,1053.0
15064,07:55.529,1,1204.0,858.0,1338.0,1051.0
15080,07:56.035,1,1194.0,875.0,1336.0,1076.0
15096,07:56.540,1,1221.0,848.0,1369.0,1050.0
15112,07:57.045,1,1092.0,852.0,1242.0,1050.0
15128,07:57.550,1,1146.0,843.0,1294.0,1039.0
15144,07:58.055,1,1157.0,852.0,1306.0,1050.0
15160,07:58.560,1,1168.0,849.0,1315.0,1050.0
15176,07:59.065,1,1172.0,873.0,1321.0,1069.0
15192,07:59.570,1,1206.0,904.0,1352.0,1099.0
15208,08:00.075,1,1197.0,880.0,1343.0,1075.0
15224,08:00.580,1,1212.0,845.0,1359.0,1040.0
15240,08:01.085,1,1225.0,988.0,1371.0,1184.0
15256,08:01.590,1,1205.0,846.0,1352.0,1037.0
15272,08:02.095,1,1220.0,854.0,1368.0,1053.0
15288,08:02.601,1,1257.0,905.0,1406.0,1098.0
15304,08:03.106,1,1247.0,916.0,1395.0,1109.0
15320,08:03.611,1,1246.0,924.0,1394.0,1116.0
15336,08:04.116,1,1286.0,894.0,1432.0,1087.0
15352,08:04.621,1,1330.0,864.0,1478.0,1053.0
15368,08:05.126,1,1296.0,866.0,1444.0,1054.0
15384,08:05.631,1,1296.0,867.0,1444.0,1057.0
15400,08:06.136,1,1276.0,837.0,1426.0,1027.0
15416,08:06.641,1,1255.0,822.0,1401.0,1013.0
15432,08:07.146,1,1233.0,778.0,1381.0,967.0
15448,08:07.651,1,1229.0,795.0,1376.0,992.0
15464,08:08.156,1,1302.0,989.0,1452.0,1188.0
15480,08:08.661,1,1243.0,999.0,1392.0,1198.0
15496,08:09.167,1,1137.0,1054.0,1284.0,1257.0
15512,08:09.672,1,1010.0,1035.0,1161.0,1234.0
15528,08:10.177,1,994.0,948.0,1144.0,1140.0
15544,08:10.682,1,1024.0,946.0,1173.0,1138.0
15560,08:11.187,1,1057.0,927.0,1206.0,1117.0
15576,08:11.692,1,1099.0,943.0,1247.0,1138.0
15592,08:12.197,1,1140.0,930.0,1288.0,1126.0
15608,08:12.702,1,1367.0,759.0,1518.0,955.0
15624,08:13.207,1,1403.0,783.0,1552.0,978.0
15640,08:13.712,1,1359.0,774.0,1509.0,967.0
15656,08:14.217,1,1348.0,758.0,1499.0,952.0
15672,08:14.722,1,1281.0,769.0,1432.0,967.0
15688,08:15.227,1,1226.0,605.0,1376.0,797.0
15704,08:15.733,1,1302.0,845.0,1448.0,1036.0
15720,08:16.238,1,1239.0,1046.0,1390.0,1249.0
15736,08:16.743,1,1202.0,899.0,1351.0,1091.0
15752,08:17.248,1,1163.0,839.0,1310.0,1027.0
15768,08:17.753,1,1176.0,787.0,1322.0,973.0
15784,08:18.258,1,1132.0,932.0,1280.0,1133.0
15800,08:18.763,1,1065.0,848.0,1212.0,1043.0
15816,08:19.268,1,1086.0,855.0,1235.0,1051.0
15832,08:19.773,1,1077.0,856.0,1224.0,1051.0
15848,08:20.278,1,1082.0,874.0,1229.0,1069.0
15864,08:20.783,1,1097.0,852.0,1245.0,1049.0
15880,08:21.288,1,1169.0,864.0,1318.0,1057.0
15896,08:21.793,1,1250.0,853.0,1399.0,1048.0
15912,08:22.299,1,1206.0,886.0,1354.0,1081.0
15928,08:22.804,1,1196.0,855.0,1341.0,1051.0
15944,08:23.309,1,1178.0,847.0,1325.0,1041.0
15960,08:23.814,1,1180.0,812.0,1329.0,1006.0
15976,08:24.319,1,1177.0,791.0,1324.0,989.0
15992,08:24.824,1,1183.0,798.0,1330.0,995.0
16008,08:25.329,1,1166.0,777.0,1313.0,972.0
16024,08:25.834,1,1179.0,737.0,1325.0,930.0
16040,08:26.339,1,1164.0,784.0,1311.0,974.0
16056,08:26.844,1,1167.0,761.0,1313.0,948.0
16072,08:27.349,1,1175.0,784.0,1323.0,975.0
16088,08:27.854,1,1195.0,756.0,1339.0,946.0
16104,08:28.359,1,1214.0,791.0,1358.0,982.0
16120,08:28.865,1,1231.0,769.0,1376.0,958.0
16136,08:29.370,1,1230.0,753.0,1375.0,939.0
16152,08:29.875,1,1249.0,765.0,1394.0,952.0
16168,08:30.380,1,1230.0,779.0,1374.0,966.0
16184,08:30.885,1,1237.0,804.0,1381.0,993.0
16200,08:31.390,1,1238.0,800.0,1382.0,990.0
16216,08:31.895,1,1226.0,788.0,1373.0,979.0
16232,08:32.400,1,1224.0,772.0,1370.0,962.0
16248,08:32.905,1,1223.0,769.0,1369.0,958.0
16264,08:33.410,1,1226.0,773.0,1372.0,962.0
16280,08:33.915,1,1222.0,785.0,1368.0,973.0
16296,08:34.420,1,1220.0,790.0,1366.0,977.0
16312,08:34.925,1,1221.0,791.0,1366.0,976.0
16328,08:35.431,1,1225.0,789.0,1370.0,979.0
16344,08:35.936,1,1222.0,786.0,1368.0,973.0
16360,08:36.441,1,1224.0,786.0,1370.0,974.0
16376,08:36.946,1,1225.0,783.0,1370.0,972.0
16392,08:37.451,1,1226.0,783.0,1370.0,969.0
16408,08:37.956,1,1223.0,786.0,1368.0,976.0
16424,08:38.461,1,1221.0,787.0,1367.0,974.0
16440,08:38.966,1,1226.0,788.0,1372.0,977.0
16456,08:39.471,1,1231.0,796.0,1377.0,986.0
16472,08:39.976,1,1260.0,846.0,1407.0,1040.0
16488,08:40.481,1,1266.0,837.0,1411.0,1024.0
16504,08:40.986,1,1262.0,840.0,1409.0,1026.0
16520,08:41.491,1,1254.0,844.0,1400.0,1035.0
16536,08:41.997,1,1242.0,854.0,1389.0,1047.0
16552,08:42.502,1,1188.0,920.0,1336.0,1113.0
16568,08:43.007,1,1110.0,960.0,1258.0,1154.0
16584,08:43.512,1,1166.0,989.0,1314.0,1184.0
16600,08:44.017,1,1210.0,954.0,1359.0,1148.0
16616,08:44.522,1,1220.0,1106.0,1375.0,1311.0
16632,08:45.027,1,1229.0,1041.0,1380.0,1243.0
16648,08:45.532,1,1201.0,1001.0,1350.0,1199.0
16664,08:46.037,1,1170.0,941.0,1318.0,1135.0
16680,08:46.542,1,1184.0,911.0,1332.0,1106.0
16696,08:47.047,1,1177.0,931.0,1326.0,1126.0
16712,08:47.552,1,1183.0,935.0,1331.0,1134.0
16728,08:48.057,1,1177.0,920.0,1325.0,1117.0
16744,08:48.563,1,1189.0,915.0,1336.0,1113.0
16760,08:49.068,1,1193.0,985.0,1338.0,1184.0
16776,08:49.573,1,1189.0,964.0,1338.0,1163.0
16792,08:50.078,1,1168.0,952.0,1316.0,1152.0
16808,08:50.583,1,1183.0,823.0,1328.0,1019.0
16824,08:51.088,1,1190.0,800.0,1337.0,994.0
16840,08:51.593,1,1199.0,823.0,1345.0,1018.0
16856,08:52.098,1,1195.0,824.0,1340.0,1017.0
16872,08:52.603,1,1188.0,833.0,1335.0,1023.0
16888,08:53.108,1,1178.0,814.0,1324.0,1002.0
16904,08:53.613,1,1158.0,841.0,1305.0,1028.0
16920,08:54.118,1,1185.0,846.0,1332.0,1033.0
16936,08:54.623,1,1190.0,811.0,1337.0,999.0
16952,08:55.129,1,1154.0,806.0,1301.0,998.0
16968,08:55.634,1,1145.0,803.0,1291.0,991.0
16984,08:56.139,1,1132.0,817.0,1278.0,1009.0
17000,08:56.644,1,1136.0,810.0,1281.0,1002.0
17016,08:57.149,1,1135.0,798.0,1280.0,992.0
17032,08:57.654,1,1130.0,800.0,1276.0,989.0
17048,08:58.159,1,1130.0,798.0,1276.0,984.0
17064,08:58.664,1,1126.0,808.0,1271.0,992.0
17080,08:59.169,1,1124.0,810.0,1268.0,996.0
17096,08:59.674,1,1124.0,813.0,1267.0,998.0
17112,09:00.179,1,1166.0,888.0,1310.0,1078.0
17128,09:00.684,1,1180.0,883.0,1323.0,1073.0
17144,09:01.189,1,1204.0,876.0,1349.0,1068.0
17160,09:01.695,1,1225.0,873.0,1371.0,1063.0
17176,09:02.200,1,1226.0,873.0,1371.0,1065.0
17192,09:02.705,1,1218.0,870.0,1366.0,1061.0
17208,09:03.210,1,1197.0,874.0,1340.0,1066.0
17224,09:03.715,1,1190.0,878.0,1336.0,1073.0
17240,09:04.220,1,1216.0,867.0,1363.0,1061.0
17256,09:04.725,1,1236.0,900.0,1385.0,1094.0
17272,09:05.230,1,1231.0,932.0,1381.0,1132.0
17288,09:05.735,1,1249.0,960.0,1398.0,1156.0
17304,09:06.240,1,1338.0,908.0,1487.0,1104.0
17320,09:06.745,1,1301.0,947.0,1447.0,1145.0
17336,09:07.250,1,1229.0,993.0,1375.0,1189.0
17352,09:07.755,1,1152.0,955.0,1299.0,1153.0
17368,09:08.260,1,922.0,908.0,1074.0,1102.0
17384,09:08.766,1,919.0,902.0,1068.0,1097.0
17400,09:09.271,1,978.0,927.0,1127.0,1121.0
17416,09:09.776,1,1037.0,971.0,1186.0,1169.0
17432,09:10.281,1,1114.0,1325.0,1267.0,1511.0
17448,09:10.786,1,1138.0,1170.0,1291.0,1380.0
17464,09:11.291,1,1065.0,1034.0,1214.0,1236.0
17480,09:11.796,1,1088.0,1008.0,1235.0,1206.0
17496,09:12.301,1,1045.0,1071.0,1195.0,1270.0
17512,09:12.806,1,1006.0,1075.0,1158.0,1280.0
17528,09:13.311,1,1023.0,989.0,1174.0,1197.0
17544,09:13.816,1,1038.0,954.0,1189.0,1150.0
17560,09:14.321,1,1072.0,935.0,1220.0,1136.0
17576,09:14.826,1,1048.0,960.0,1195.0,1157.0
17592,09:15.332,1,1026.0,947.0,1176.0,1144.0
17608,09:15.837,1,1025.0,932.0,1175.0,1136.0
17624,09:16.342,1,1025.0,931.0,1174.0,1130.0
17640,09:16.847,1,1031.0,906.0,1179.0,1106.0
17656,09:17.352,1,1046.0,930.0,1192.0,1138.0
17672,09:17.857,1,1068.0,919.0,1215.0,1125.0
17688,09:18.362,1,1065.0,919.0,1214.0,1117.0
17704,09:18.867,1,1067.0,912.0,1214.0,1111.0
17720,09:19.372,1,1071.0,907.0,1219.0,1103.0
17736,09:19.877,1,1075.0,900.0,1223.0,1100.0
17752,09:20.382,1,1067.0,906.0,1215.0,1101.0
17768,09:20.887,1,1071.0,903.0,1218.0,1104.0
17784,09:21.392,1,1053.0,1012.0,1203.0,1211.0
17800,09:21.898,1,1113.0,938.0,1262.0,1140.0
