frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
5533,05:03.333,1,1274.0,617.0,1406.0,805.0,,,,
5534,06:04.512,1,1273.0,612.0,1406.0,802.0,,,,
5535,06:04.545,1,1273.0,609.0,1407.0,798.0,,,,
5536,06:04.578,1,1272.0,608.0,1407.0,795.0,,,,
5537,06:04.612,1,1272.0,607.0,1406.0,791.0,,,,
5538,06:04.645,1,1272.0,604.0,1406.0,788.0,,,,
5539,06:04.678,1,1272.0,600.0,1405.0,785.0,,,,
5540,06:04.712,1,1273.0,595.0,1405.0,780.0,,,,
5541,06:04.745,1,1274.0,592.0,1406.0,775.0,,,,
5542,06:04.778,1,1274.0,591.0,1406.0,774.0,,,,
5543,06:04.812,1,1271.0,596.0,1405.0,781.0,,,,
5544,06:04.845,1,1270.0,604.0,1404.0,789.0,,,,
5545,06:04.878,1,1270.0,611.0,1405.0,800.0,,,,
5546,06:04.912,1,1270.0,622.0,1403.0,809.0,,,,
5547,06:04.945,1,1270.0,624.0,1404.0,812.0,,,,
5548,06:04.978,1,1271.0,620.0,1404.0,805.0,,,,
5549,06:05.012,1,1270.0,612.0,1404.0,799.0,,,,
5550,06:05.045,1,1268.0,610.0,1402.0,797.0,,,,
5551,06:05.078,1,1266.0,613.0,1400.0,800.0,,,,
5552,06:05.112,1,1264.0,623.0,1396.0,807.0,,,,
5553,06:05.145,1,1263.0,638.0,1396.0,822.0,,,,
5554,06:05.178,1,1262.0,647.0,1395.0,831.0,,,,
5555,06:05.212,1,1264.0,648.0,1396.0,831.0,,,,
5556,06:05.245,1,1266.0,639.0,1400.0,822.0,,,,
5557,06:05.278,1,1269.0,622.0,1403.0,808.0,,,,
5558,06:05.312,1,1268.0,613.0,1402.0,800.0,,,,
5559,06:05.345,1,1266.0,618.0,1400.0,803.0,,,,
5560,06:05.378,1,1263.0,625.0,1397.0,811.0,,,,
5561,06:05.412,1,1264.0,637.0,1397.0,821.0,,,,
5562,06:05.445,1,1266.0,646.0,1398.0,830.0,,,,
5563,06:05.478,1,1270.0,651.0,1402.0,835.0,,,,
5564,06:05.512,1,1276.0,650.0,1407.0,834.0,,,,
5565,06:05.545,1,1278.0,638.0,1411.0,826.0,,,,
5566,06:05.578,1,1279.0,626.0,1413.0,812.0,,,,
5567,06:05.612,1,1278.0,622.0,1410.0,808.0,,,,
5568,06:05.645,1,1273.0,622.0,1406.0,810.0,,,,
5569,06:05.678,1,1269.0,624.0,1404.0,813.0,,,,
5570,06:05.712,1,1269.0,624.0,1403.0,812.0,,,,
5571,06:05.745,1,1268.0,622.0,1401.0,806.0,,,,
5572,06:05.778,1,1265.0,620.0,1398.0,804.0,,,,
5573,06:05.812,1,1261.0,625.0,1394.0,810.0,,,,
5574,06:05.845,1,1257.0,634.0,1390.0,816.0,,,,
5575,06:05.878,1,1256.0,636.0,1389.0,820.0,,,,
5576,06:05.912,1,1257.0,635.0,1389.0,818.0,,,,
5577,06:05.945,1,1260.0,635.0,1392.0,819.0,,,,
5578,06:05.978,1,1262.0,636.0,1393.0,821.0,,,,
5579,06:06.012,1,1263.0,639.0,1393.0,823.0,,,,
