frame,time,faces_detected_count,061_detected,061_tl_x,061_tl_y,061_br_x,061_br_y,062_detected,062_tl_x,062_tl_y,062_br_x,062_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
8165,04:26.990,1,True,1135,561,1356,868,False,,,,,False,,,,
8180,04:27.481,1,True,1077,556,1299,861,False,,,,,False,,,,
8195,04:27.971,1,True,953,534,1180,856,False,,,,,False,,,,
8210,04:28.462,1,True,1017,577,1243,893,False,,,,,False,,,,
8225,04:28.952,1,True,1015,574,1240,891,False,,,,,False,,,,
8240,04:29.443,1,True,1038,561,1263,865,False,,,,,False,,,,
8255,04:29.933,1,True,1026,455,1248,762,False,,,,,False,,,,
8270,04:30.424,1,True,953,537,1172,841,False,,,,,False,,,,
8285,04:30.914,1,True,1092,468,1299,756,False,,,,,False,,,,
8300,04:31.405,1,True,853,378,1069,668,False,,,,,False,,,,
8315,04:31.895,1,True,891,341,1092,629,False,,,,,False,,,,
8330,04:32.386,1,True,898,403,1114,705,False,,,,,False,,,,
8345,04:32.876,1,True,1050,485,1261,786,False,,,,,False,,,,
8360,04:33.367,1,True,1020,347,1236,646,False,,,,,False,,,,
8375,04:33.857,1,True,1131,458,1341,746,False,,,,,False,,,,
8390,04:34.348,1,True,1245,393,1464,700,False,,,,,False,,,,
8405,04:34.838,1,True,1247,353,1487,698,False,,,,,False,,,,
8420,04:35.329,1,True,1177,679,1410,999,False,,,,,False,,,,
8435,04:35.819,1,True,1030,583,1250,887,False,,,,,False,,,,
8450,04:36.310,1,True,887,535,1102,837,False,,,,,False,,,,
8465,04:36.800,1,True,954,534,1171,831,False,,,,,False,,,,
8480,04:37.291,1,True,988,495,1209,805,False,,,,,False,,,,
8495,04:37.781,1,True,922,588,1168,938,False,,,,,False,,,,
8510,04:38.272,1,True,964,628,1184,930,False,,,,,False,,,,
8525,04:38.762,1,True,949,626,1197,966,False,,,,,False,,,,
8540,04:39.253,1,True,977,615,1200,926,False,,,,,False,,,,
8555,04:39.743,1,True,1026,665,1258,989,False,,,,,False,,,,
8570,04:40.234,1,True,1155,585,1378,891,False,,,,,False,,,,
8585,04:40.724,1,True,1035,697,1236,976,False,,,,,False,,,,
8600,04:41.215,1,True,1068,648,1278,933,False,,,,,False,,,,
8615,04:41.705,1,True,1114,365,1334,672,False,,,,,False,,,,
8630,04:42.196,1,True,1200,468,1479,871,False,,,,,False,,,,
8645,04:42.686,1,True,1035,647,1234,918,False,,,,,False,,,,
8660,04:43.177,1,True,1101,499,1287,759,False,,,,,False,,,,
8675,04:43.667,1,True,1127,514,1333,812,False,,,,,False,,,,
8690,04:44.158,1,True,1097,543,1313,841,False,,,,,False,,,,
8705,04:44.648,1,True,1065,480,1277,785,False,,,,,False,,,,
8720,04:45.139,1,True,1012,488,1238,804,False,,,,,False,,,,
8735,04:45.629,1,True,678,512,971,905,False,,,,,False,,,,
8750,04:46.120,0,False,,,,,False,,,,,False,,,,
8765,04:46.610,0,False,,,,,False,,,,,False,,,,
8780,04:47.101,1,True,749,576,879,757,False,,,,,False,,,,
8795,04:47.591,1,True,728,577,845,730,False,,,,,False,,,,
8810,04:48.082,1,True,734,562,856,717,False,,,,,False,,,,
8825,04:48.572,1,True,748,513,865,674,False,,,,,False,,,,
8840,04:49.063,1,True,759,446,881,610,False,,,,,False,,,,
8855,04:49.553,1,True,735,484,856,652,False,,,,,False,,,,
8870,04:50.043,1,True,761,515,866,679,False,,,,,False,,,,
8885,04:50.534,1,True,718,509,829,673,False,,,,,False,,,,
8900,04:51.024,1,True,685,509,805,684,False,,,,,False,,,,
8915,04:51.515,1,True,671,562,802,731,False,,,,,False,,,,
8930,04:52.005,1,True,648,759,768,923,False,,,,,False,,,,
8945,04:52.496,1,True,218,596,358,777,False,,,,,False,,,,
8960,04:52.986,1,True,97,602,251,787,False,,,,,False,,,,
8975,04:53.477,1,True,43,593,202,789,False,,,,,False,,,,
8990,04:53.967,1,True,-30,473,125,669,False,,,,,False,,,,
9005,04:54.458,1,True,30,612,185,807,False,,,,,False,,,,
9020,04:54.948,1,True,36,650,194,838,False,,,,,False,,,,
9035,04:55.439,1,True,49,665,200,853,False,,,,,False,,,,
9050,04:55.929,1,True,60,644,216,831,False,,,,,False,,,,
9065,04:56.420,1,True,559,688,675,853,False,,,,,False,,,,
9080,04:56.910,1,True,516,657,639,827,False,,,,,False,,,,
9095,04:57.401,1,True,269,636,405,815,False,,,,,False,,,,
9110,04:57.891,1,True,29,622,189,819,False,,,,,False,,,,
9125,04:58.382,1,True,-38,516,107,708,False,,,,,False,,,,
9140,04:58.872,0,False,,,,,False,,,,,False,,,,
9155,04:59.363,0,False,,,,,False,,,,,False,,,,
9170,04:59.853,1,True,-63,543,84,746,False,,,,,False,,,,
9185,05:00.344,0,False,,,,,False,,,,,False,,,,
9200,05:00.834,0,False,,,,,False,,,,,False,,,,
9215,05:01.325,0,False,,,,,False,,,,,False,,,,
9230,05:01.815,0,False,,,,,False,,,,,False,,,,
9245,05:02.306,0,False,,,,,False,,,,,False,,,,
9260,05:02.796,0,False,,,,,False,,,,,False,,,,
9275,05:03.287,1,True,-53,525,79,729,False,,,,,False,,,,
9290,05:03.777,1,True,-53,533,77,737,False,,,,,False,,,,
9305,05:04.268,1,True,-49,532,83,735,False,,,,,False,,,,
9320,05:04.758,1,True,-48,532,84,733,False,,,,,False,,,,
9335,05:05.249,1,True,-48,527,86,728,False,,,,,False,,,,
9350,05:05.739,1,True,-49,526,85,728,False,,,,,False,,,,
9365,05:06.230,1,True,-60,521,86,724,False,,,,,False,,,,
9380,05:06.720,1,True,-46,529,91,725,False,,,,,False,,,,
9395,05:07.211,1,True,284,587,425,772,False,,,,,False,,,,
9410,05:07.701,1,True,588,620,715,795,False,,,,,False,,,,
9425,05:08.192,1,True,520,608,648,782,False,,,,,False,,,,
9440,05:08.682,1,True,472,611,604,782,False,,,,,False,,,,
9455,05:09.173,1,True,570,627,690,800,False,,,,,False,,,,
9470,05:09.663,1,True,576,637,701,812,False,,,,,False,,,,
9485,05:10.154,1,True,538,623,663,802,False,,,,,False,,,,
9500,05:10.644,1,True,447,778,575,956,False,,,,,False,,,,
9515,05:11.135,1,True,344,623,481,812,False,,,,,False,,,,
9530,05:11.625,1,True,284,604,426,789,False,,,,,False,,,,
9545,05:12.116,1,True,368,603,500,788,False,,,,,False,,,,
9560,05:12.606,1,True,381,597,516,781,False,,,,,False,,,,
9575,05:13.097,1,True,380,602,513,784,False,,,,,False,,,,
9590,05:13.587,1,True,110,565,268,763,False,,,,,False,,,,
9605,05:14.078,1,True,105,525,272,725,False,,,,,False,,,,
9620,05:14.568,1,True,631,584,755,754,False,,,,,False,,,,
9635,05:15.059,1,True,609,580,733,750,False,,,,,False,,,,
9650,05:15.549,1,True,329,498,479,691,False,,,,,False,,,,
9665,05:16.040,1,True,206,501,364,697,False,,,,,False,,,,
9680,05:16.530,1,True,10,460,187,665,False,,,,,False,,,,
9695,05:17.020,1,True,46,472,217,672,False,,,,,False,,,,
9710,05:17.511,1,True,12,469,182,673,False,,,,,False,,,,
9725,05:18.001,1,True,-26,481,131,684,False,,,,,False,,,,
9740,05:18.492,1,True,-13,471,146,674,False,,,,,False,,,,
9755,05:18.982,1,True,-11,463,153,666,False,,,,,False,,,,
9770,05:19.473,1,True,7,453,171,654,False,,,,,False,,,,
9785,05:19.963,1,True,11,450,175,653,False,,,,,False,,,,
9800,05:20.454,1,True,6,437,171,644,False,,,,,False,,,,
9815,05:20.944,1,True,2,426,165,627,False,,,,,False,,,,
9830,05:21.435,1,True,9,416,168,615,False,,,,,False,,,,
9845,05:21.925,1,True,13,416,175,616,False,,,,,False,,,,
9860,05:22.416,1,True,16,421,179,621,False,,,,,False,,,,
9875,05:22.906,1,True,20,422,183,633,False,,,,,False,,,,
9890,05:23.397,1,True,21,420,184,627,False,,,,,False,,,,
9905,05:23.887,1,True,15,423,182,630,False,,,,,False,,,,
9920,05:24.378,1,True,312,514,442,704,False,,,,,False,,,,
9935,05:24.868,1,True,787,585,904,743,False,,,,,False,,,,
9950,05:25.359,1,True,760,583,877,742,False,,,,,False,,,,
9965,05:25.849,1,True,742,582,860,741,False,,,,,False,,,,
9980,05:26.340,1,True,732,576,853,741,False,,,,,False,,,,
9995,05:26.830,1,True,732,576,853,740,False,,,,,False,,,,
10010,05:27.321,1,True,722,575,845,743,False,,,,,False,,,,
10025,05:27.811,1,True,713,571,833,738,False,,,,,False,,,,
10040,05:28.302,1,True,700,571,822,741,False,,,,,False,,,,
10055,05:28.792,1,True,695,565,822,737,False,,,,,False,,,,
10070,05:29.283,1,True,679,580,803,743,False,,,,,False,,,,
10085,05:29.773,1,True,665,565,789,732,False,,,,,False,,,,
10100,05:30.264,1,True,608,557,740,727,False,,,,,False,,,,
10115,05:30.754,1,True,611,574,738,738,False,,,,,False,,,,
10130,05:31.245,1,True,605,570,732,736,False,,,,,False,,,,
10145,05:31.735,1,True,606,560,735,727,False,,,,,False,,,,
10160,05:32.226,1,True,613,564,744,732,False,,,,,False,,,,
10175,05:32.716,1,True,610,561,740,727,False,,,,,False,,,,
10190,05:33.207,1,True,609,559,739,726,False,,,,,False,,,,
10205,05:33.697,1,True,617,557,745,724,False,,,,,False,,,,
10220,05:34.188,1,True,609,554,738,721,False,,,,,False,,,,
10235,05:34.678,1,True,605,555,735,723,False,,,,,False,,,,
10250,05:35.169,1,True,512,566,646,738,False,,,,,False,,,,
10265,05:35.659,1,True,17,436,191,636,False,,,,,False,,,,
10280,05:36.150,1,True,65,434,240,630,False,,,,,False,,,,
10295,05:36.640,1,True,65,438,240,635,False,,,,,False,,,,
10310,05:37.131,1,True,81,432,258,633,False,,,,,False,,,,
10325,05:37.621,1,True,90,413,263,619,False,,,,,False,,,,
10340,05:38.112,1,True,86,408,257,609,False,,,,,False,,,,
10355,05:38.602,1,True,78,404,252,605,False,,,,,False,,,,
10370,05:39.093,1,True,82,355,252,548,False,,,,,False,,,,
10385,05:39.583,1,True,40,341,209,525,False,,,,,False,,,,
10400,05:40.074,1,True,157,350,325,546,False,,,,,False,,,,
10415,05:40.564,1,True,325,501,463,683,False,,,,,False,,,,
10430,05:41.055,1,True,439,431,572,594,False,,,,,False,,,,
10445,05:41.545,1,True,484,475,611,638,False,,,,,False,,,,
10460,05:42.036,1,True,444,438,575,609,False,,,,,False,,,,
10475,05:42.526,1,True,434,444,569,616,False,,,,,False,,,,
10490,05:43.016,1,True,437,451,572,626,False,,,,,False,,,,
10505,05:43.507,1,True,436,448,571,624,False,,,,,False,,,,
10520,05:43.997,1,True,438,459,572,632,False,,,,,False,,,,
10535,05:44.488,1,True,440,460,575,634,False,,,,,False,,,,
10550,05:44.978,1,True,442,467,573,641,False,,,,,False,,,,
10565,05:45.469,1,True,550,535,676,703,False,,,,,False,,,,
10580,05:45.959,1,True,577,560,697,718,False,,,,,False,,,,
10595,05:46.450,1,True,564,546,690,710,False,,,,,False,,,,
10610,05:46.940,1,True,71,468,240,646,False,,,,,False,,,,
10625,05:47.431,1,True,131,466,293,651,False,,,,,False,,,,
10640,05:47.921,1,True,134,457,297,648,False,,,,,False,,,,
10655,05:48.412,1,True,135,450,294,635,False,,,,,False,,,,
10670,05:48.902,1,True,138,459,304,647,False,,,,,False,,,,
10685,05:49.393,1,True,155,441,306,629,False,,,,,False,,,,
10700,05:49.883,1,True,167,441,311,628,False,,,,,False,,,,
10715,05:50.374,1,True,161,440,307,629,False,,,,,False,,,,
10730,05:50.864,1,True,155,433,303,622,False,,,,,False,,,,
10745,05:51.355,1,True,163,427,313,621,False,,,,,False,,,,
10760,05:51.845,1,True,175,437,322,627,False,,,,,False,,,,
10775,05:52.336,1,True,338,493,473,677,False,,,,,False,,,,
10790,05:52.826,1,True,418,510,545,682,False,,,,,False,,,,
10805,05:53.317,1,True,293,450,431,629,False,,,,,False,,,,
10820,05:53.807,1,True,224,429,368,612,False,,,,,False,,,,
10835,05:54.298,1,True,31,440,193,629,False,,,,,False,,,,
10850,05:54.788,1,True,-40,447,105,634,False,,,,,False,,,,
10865,05:55.279,1,True,-45,430,88,625,False,,,,,False,,,,
10880,05:55.769,1,True,-43,409,90,601,False,,,,,False,,,,
10895,05:56.260,1,True,-42,395,95,589,False,,,,,False,,,,
10910,05:56.750,1,True,-43,388,97,582,False,,,,,False,,,,
10925,05:57.241,1,True,-32,390,118,588,False,,,,,False,,,,
10940,05:57.731,1,True,6,401,170,589,False,,,,,False,,,,
10955,05:58.222,1,True,0,392,164,581,False,,,,,False,,,,
10970,05:58.712,1,True,2,388,167,580,False,,,,,False,,,,
10985,05:59.203,1,True,0,380,165,572,False,,,,,False,,,,
11000,05:59.693,1,True,3,380,168,571,False,,,,,False,,,,
11015,06:00.184,1,True,-4,366,163,564,False,,,,,False,,,,
11030,06:00.674,1,True,5,363,175,560,False,,,,,False,,,,
11045,06:01.165,1,True,-4,360,164,560,False,,,,,False,,,,
11060,06:01.655,1,True,-3,359,166,559,False,,,,,False,,,,
11075,06:02.146,1,True,5,360,179,558,False,,,,,False,,,,
11090,06:02.636,1,True,8,358,180,556,False,,,,,False,,,,
11105,06:03.127,1,True,8,352,176,551,False,,,,,False,,,,
11120,06:03.617,1,True,29,405,205,606,False,,,,,False,,,,
11135,06:04.108,1,True,319,395,464,586,False,,,,,False,,,,
11150,06:04.598,1,True,407,431,545,612,False,,,,,False,,,,
11165,06:05.089,1,True,446,452,581,631,False,,,,,False,,,,
11180,06:05.579,1,True,426,439,563,623,False,,,,,False,,,,
11195,06:06.070,1,True,409,409,548,590,False,,,,,False,,,,
11210,06:06.560,1,True,405,413,541,594,False,,,,,False,,,,
11225,06:07.051,1,True,385,419,527,595,False,,,,,False,,,,
11240,06:07.541,1,True,367,401,509,582,False,,,,,False,,,,
