frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
12063,06:35.980,2,378.0,803.0,556.0,1049.0,1393.0,758.0,1550.0,977.0,,,,,,,,
12078,06:36.472,2,452.0,789.0,622.0,1030.0,1463.0,737.0,1621.0,963.0,,,,,,,,
12093,06:36.965,2,1455.0,730.0,1616.0,959.0,443.0,799.0,610.0,1038.0,,,,,,,,
12108,06:37.457,2,430.0,808.0,602.0,1047.0,1453.0,749.0,1608.0,972.0,,,,,,,,
12123,06:37.949,2,439.0,814.0,606.0,1049.0,1459.0,755.0,1613.0,979.0,,,,,,,,
12138,06:38.442,1,555.0,380.0,734.0,635.0,,,,,,,,,,,,
12153,06:38.934,1,-40.0,382.0,182.0,672.0,,,,,,,,,,,,
12168,06:39.426,0,,,,,,,,,,,,,,,,
12183,06:39.919,0,,,,,,,,,,,,,,,,
12198,06:40.411,0,,,,,,,,,,,,,,,,
12213,06:40.904,0,,,,,,,,,,,,,,,,
12228,06:41.396,2,2043.0,764.0,2253.0,1031.0,832.0,833.0,973.0,1044.0,,,,,,,,
12243,06:41.888,2,2070.0,710.0,2282.0,977.0,872.0,703.0,1013.0,915.0,,,,,,,,
12258,06:42.381,2,2076.0,615.0,2287.0,884.0,877.0,667.0,1019.0,881.0,,,,,,,,
12273,06:42.873,2,1755.0,637.0,1929.0,878.0,624.0,630.0,777.0,851.0,,,,,,,,
12288,06:43.366,3,1697.0,616.0,1865.0,846.0,591.0,606.0,745.0,829.0,2109.0,993.0,2163.0,1069.0,,,,
12303,06:43.858,3,53.0,487.0,269.0,762.0,1267.0,595.0,1416.0,803.0,1609.0,934.0,1654.0,999.0,,,,
12318,06:44.350,3,1151.0,610.0,1297.0,816.0,-90.0,521.0,142.0,809.0,1486.0,934.0,1530.0,1000.0,,,,
12333,06:44.843,1,1075.0,531.0,1220.0,738.0,,,,,,,,,,,,
12348,06:45.335,3,-34.0,625.0,178.0,893.0,1126.0,623.0,1276.0,828.0,1493.0,913.0,1535.0,969.0,,,,
12363,06:45.828,2,-25.0,603.0,189.0,872.0,1138.0,615.0,1289.0,821.0,,,,,,,,
12378,06:46.320,2,1119.0,606.0,1267.0,811.0,-58.0,591.0,157.0,849.0,,,,,,,,
12393,06:46.812,2,1112.0,622.0,1261.0,831.0,-85.0,582.0,141.0,855.0,,,,,,,,
12408,06:47.305,3,1102.0,634.0,1254.0,841.0,-88.0,613.0,137.0,879.0,1468.0,922.0,1509.0,985.0,,,,
